Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Izak Rankine,Adelaide,Mid-Forward,20250107,3,18.5,13.01,128,107,0.74,5,76,10,18,28,67.9,332,6,16,10,8,7,3,37,7,3,0,0,3,2,1,1,7,5,15,0
1,Josh Rachele,Adelaide,Gen. Forward,20250107,4,18.0,8.89,107,84,0.1,0,75,12,9,21,76.2,396,6,7,6,5,5,0,0,2,5,0,0,4,2,2,4,12,1,13,0
1,Jake Soligo,Adelaide,Midfielder,20250107,8,17.9,10.97,114,125,1.85,25,77,16,13,29,65.5,549,6,13,8,7,5,5,51,5,3,1,0,2,1,0,2,8,8,20,0
1,Darcy Fogarty,Adelaide,Key Forward,20250107,0,17.5,8.84,73,81,0.1,0,84,11,1,12,75.0,284,4,2,1,2,1,1,0,0,6,1,1,5,4,0,1,8,1,8,0
1,Riley Thilthorpe,Adelaide,Key Forward,20250107,0,16.0,10.83,99,82,0.04,0,76,9,4,13,69.2,282,3,8,5,7,5,1,9,1,5,1,2,3,3,0,2,7,3,8,5
1,Reilly O'Brien,Adelaide,Ruck,20250107,3,14.4,12.14,82,98,0.07,0,85,7,5,12,75.0,166,1,4,2,1,1,2,91,5,2,0,0,0,0,0,0,5,4,12,47
1,Josh Worrell,Adelaide,Gen. Defender,20250107,1,12.4,9.38,106,96,0.05,0,86,16,9,25,84.0,422,1,8,8,8,8,9,0,0,6,3,0,0,0,0,0,7,3,7,0
1,Alex Neal-Bullen,Adelaide,Gen. Forward,20250107,0,12.2,10.76,81,78,0.01,0,79,10,11,21,76.2,338,4,5,5,4,4,3,0,1,3,0,0,3,1,1,2,9,4,26,0
1,Isaac Cumming,Adelaide,Midfielder,20250107,0,10.6,8.71,79,72,0.01,0,77,11,5,16,68.8,321,2,5,3,3,1,4,3,1,4,1,0,2,2,0,1,4,1,10,0
1,Mark Keane,Adelaide,Key Defender,20250107,0,10.4,10.15,83,75,0.02,0,100,14,7,21,71.4,371,1,5,4,5,4,9,0,0,6,3,1,0,0,0,0,3,0,4,0
