Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Alex Neal-Bullen,Adelaide,21.0,10.0,11.0,0.48,0.52,3.0,1.0,4.0,Gen. Forward
1,Ben Keays,Adelaide,18.0,11.0,7.0,0.61,0.39,7.0,1.0,0.0,Gen. Forward
1,Daniel Curtin,Adelaide,7.0,3.0,4.0,0.43,0.57,3.0,0.0,1.0,Midfielder
1,Darcy Fogarty,Adelaide,12.0,11.0,1.0,0.92,0.08,6.0,4.0,1.0,Key Forward
1,Isaac Cumming,Adelaide,16.0,11.0,5.0,0.69,0.31,4.0,2.0,1.0,Midfielder
1,Izak Rankine,Adelaide,28.0,10.0,18.0,0.36,0.64,3.0,2.0,5.0,Mid-Forward
1,Jake Soligo,Adelaide,29.0,16.0,13.0,0.55,0.45,3.0,1.0,8.0,Midfielder
1,James Peatling,Adelaide,19.0,11.0,8.0,0.58,0.42,2.0,1.0,3.0,Midfielder
1,Jordan Dawson,Adelaide,27.0,24.0,3.0,0.89,0.11,9.0,2.0,4.0,Midfielder
1,Josh Rachele,Adelaide,21.0,12.0,9.0,0.57,0.43,5.0,2.0,1.0,Gen. Forward
1,Josh Worrell,Adelaide,25.0,16.0,9.0,0.64,0.36,6.0,0.0,3.0,Gen. Defender
1,Lachlan Sholl,Adelaide,22.0,13.0,9.0,0.59,0.41,4.0,0.0,2.0,Midfielder
1,Mark Keane,Adelaide,21.0,14.0,7.0,0.67,0.33,6.0,0.0,0.0,Key Defender
1,Matt Crouch,Adelaide,31.0,8.0,23.0,0.26,0.74,1.0,1.0,4.0,Midfielder
1,Max Michalanney,Adelaide,14.0,11.0,3.0,0.79,0.21,3.0,0.0,0.0,Gen. Defender
1,Mitchell Hinge,Adelaide,19.0,10.0,9.0,0.53,0.47,6.0,0.0,3.0,Gen. Defender
1,Nick Murray,Adelaide,14.0,7.0,7.0,0.5,0.5,7.0,0.0,2.0,Key Defender
1,Reilly O'Brien,Adelaide,12.0,7.0,5.0,0.58,0.42,2.0,0.0,4.0,Ruck
1,Riley Thilthorpe,Adelaide,13.0,9.0,4.0,0.69,0.31,5.0,3.0,3.0,Key Forward
1,Rory Laird,Adelaide,29.0,12.0,17.0,0.41,0.59,7.0,0.0,4.0,Gen. Defender
1,Sid Draper,Adelaide,,,,,,,,,Mid-Forward
1,Taylor Walker,Adelaide,,,,,,,,,Key Forward
1,Wayne Milera,Adelaide,13.0,6.0,7.0,0.46,0.54,4.0,0.0,1.0,Gen. Defender
2,Alex Neal-Bullen,Adelaide,18.0,9.0,9.0,0.5,0.5,5.0,2.0,4.0,Gen. Forward
2,Ben Keays,Adelaide,22.0,17.0,5.0,0.77,0.23,11.0,4.0,3.0,Gen. Forward
2,Daniel Curtin,Adelaide,13.0,8.0,5.0,0.62,0.38,5.0,1.0,4.0,Midfielder
2,Darcy Fogarty,Adelaide,14.0,11.0,3.0,0.79,0.21,9.0,3.0,0.0,Key Forward
2,Isaac Cumming,Adelaide,9.0,4.0,5.0,0.44,0.56,0.0,0.0,2.0,Midfielder
