Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Zac Bailey,Brisbane,Mid-Forward,20250104,8,22.9,10.0,106,68,1.36,18,84,9,8,17,88.2,300,2,8,8,7,7,1,0,1,1,0,0,5,4,1,0,7,0,11,0
1,Josh Dunkley,Brisbane,Midfielder,20250104,9,16.9,12.93,173,130,2.54,65,92,17,10,27,70.4,614,6,16,9,6,2,6,79,6,5,2,0,1,1,0,0,6,10,18,0
1,Dayne Zorko,Brisbane,Gen. Defender,20250104,2,15.4,11.24,139,112,0.59,6,80,20,4,24,75.0,555,4,5,4,4,3,7,0,0,6,3,0,2,2,0,0,5,3,9,0
1,Darcy Wilmot,Brisbane,Gen. Defender,20250104,4,13.9,10.24,100,88,0.17,1,85,17,8,25,76.0,379,3,9,5,9,5,9,0,0,4,2,0,1,0,1,0,6,4,16,0
1,Oscar McInerney,Brisbane,Ruck,20250104,0,13.4,13.19,110,85,0.03,0,79,12,6,18,55.6,348,5,11,5,3,1,1,82,7,5,0,2,2,1,1,0,7,1,5,16
1,Darcy Fort,Brisbane,Ruck,20250104,0,11.2,8.4,76,66,0.0,0,73,10,4,14,64.3,150,2,9,5,4,3,3,18,3,4,1,1,1,1,0,1,3,1,9,12
1,Will Ashcroft,Brisbane,Midfielder,20250104,0,10.5,11.23,73,66,0.05,0,87,11,10,21,71.4,200,1,12,6,3,2,1,50,8,0,0,0,1,0,1,0,7,4,15,0
1,Hugh McCluggage,Brisbane,Midfielder,20250104,0,9.2,12.28,80,60,0.07,0,76,11,10,21,61.9,374,4,10,6,4,2,1,82,5,2,0,0,1,0,0,0,6,1,24,0
1,Brandon Starcevich,Brisbane,Gen. Defender,20250104,0,9.0,7.32,64,50,0.0,0,66,6,7,13,84.6,105,1,7,6,5,4,5,0,2,3,1,0,0,0,0,0,1,2,5,0
1,Logan Morris,Brisbane,Key Forward,20250104,0,8.3,7.28,51,38,0.0,0,77,5,0,5,60.0,174,2,3,2,3,2,0,0,0,1,0,0,2,1,1,0,3,3,14,0
1,Ryan Lester,Brisbane,Gen. Defender,20250104,0,8.0,8.65,73,57,0.01,0,89,10,5,15,66.7,308,0,8,7,8,7,10,0,0,4,2,1,0,0,0,0,1,2,5,0
1,Noah Answerth,Brisbane,Gen. Defender,20250104,0,7.8,6.56,75,58,0.0,0,86,8,3,11,90.9,246,2,3,2,3,2,5,0,0,3,2,0,0,0,0,0,3,6,27,0
1,Levi Ashcroft,Brisbane,Midfielder,20250104,0,7.8,5.38,84,84,0.02,0,76,16,9,25,60.0,495,3,9,6,7,5,4,0,4,5,0,0,1,0,1,0,6,0,9,0
1,Conor McKenna,Brisbane,Gen. Forward,20250104,0,6.8,2.53,45,32,0.0,0,65,7,3,10,50.0,237,4,5,4,5,4,0,0,0,1,0,0,1,0,1,2,4,0,5,0
1,Callum Ah Chee,Brisbane,Gen. Forward,20250104,0,6.6,8.07,54,46,0.0,0,75,7,7,14,64.3,125,0,9,6,9,6,1,0,0,3,0,1,3,1,2,1,7,1,9,0
1,Jack Payne,Brisbane,Key Defender,20250104,0,6.0,7.4,46,30,0.0,0,95,4,4,8,50.0,61,0,4,3,4,3,6,0,0,2,2,1,0,0,0,0,0,1,3,0
1,Jarrod Berry,Brisbane,Midfielder,20250104,3,5.2,8.88,88,104,0.32,3,85,16,11,27,70.4,425,5,6,6,1,1,6,0,2,10,4,0,0,0,0,0,4,1,13,0
1,Cam Rayner,Brisbane,Gen. Forward,20250104,0,5.1,10.6,41,36,0.0,0,90,8,5,13,61.5,353,4,6,4,6,4,0,14,0,2,0,2,3,0,2,0,5,0,6,0
1,Jaspa Fletcher,Brisbane,Gen. Defender,20250104,0,4.7,7.12,52,36,0.0,0,75,6,6,12,75.0,167,2,5,3,3,2,3,0,2,0,0,0,0,0,0,0,3,2,13,0
1,Lachie Neale,Brisbane,Midfielder,20250104,0,3.8,15.82,41,37,0.01,0,84,5,5,10,50.0,136,0,8,5,4,3,3,75,2,0,0,0,0,0,0,0,1,3,14,0
1,Harris Andrews,Brisbane,Key Defender,20250104,0,3.6,10.92,29,19,0.0,0,97,5,2,7,57.1,189,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0
1,Kai Lohmann,Brisbane,Gen. Forward,20250104,0,1.2,10.1,9,4,0.0,0,8,0,2,2,100.0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,Eric Hipwood,Brisbane,Key Forward,20250104,0,-0.9,5.81,33,27,0.0,0,75,4,1,5,40.0,127,1,1,1,1,1,1,0,0,3,0,0,3,1,2,0,5,1,8,1
10,Jaspa Fletcher,Brisbane,Gen. Defender,20251008,0,18.7,8.59,96,69,0.01,0,72,9,13,22,77.3,316,2,10,9,7,6,6,0,1,2,1,1,1,1,0,0,5,1,17,0
10,Zac Bailey,Brisbane,Mid-Forward,20251008,6,18.6,10.71,123,107,0.11,1,81,14,13,27,88.9,412,7,8,7,4,4,4,0,4,8,1,0,2,1,0,1,10,2,9,0
10,Lachie Neale,Brisbane,Midfielder,20251008,0,15.6,14.26,116,101,0.11,1,84,14,16,30,73.3,415,4,12,11,3,3,2,77,6,6,0,0,1,0,0,0,4,3,13,0
10,Will Ashcroft,Brisbane,Midfielder,20251008,0,14.6,12.49,108,93,0.06,0,86,12,18,30,76.7,340,5,11,10,3,3,2,55,6,4,0,0,1,0,1,1,9,2,18,0
10,Ryan Lester,Brisbane,Gen. Defender,20251008,0,14.0,7.95,76,86,0.01,0,81,10,6,16,93.8,297,1,2,1,1,0,3,0,1,8,3,1,0,0,0,0,6,5,15,0
10,Hugh McCluggage,Brisbane,Midfielder,20251008,0,13.3,13.49,103,105,0.05,0,84,14,14,28,75.0,401,6,5,4,3,3,1,68,2,7,0,0,1,1,0,1,7,2,22,0
10,Darcy Gardiner,Brisbane,Key Defender,20251008,0,13.0,5.36,107,72,0.02,0,64,8,5,13,92.3,179,1,6,5,6,5,2,0,0,4,0,0,4,4,0,1,7,0,3,1
10,Josh Dunkley,Brisbane,Midfielder,20251008,0,12.9,12.65,110,94,0.07,1,81,10,18,28,78.6,336,2,10,9,4,3,4,77,6,4,1,0,1,0,1,1,4,4,19,0
10,Dayne Zorko,Brisbane,Gen. Defender,20251008,0,11.4,11.95,99,109,0.03,0,82,20,7,27,81.5,571,3,7,5,5,3,8,0,2,8,2,0,1,0,1,0,9,3,13,0
10,Darcy Wilmot,Brisbane,Gen. Defender,20251008,0,11.3,9.81,73,64,0.0,0,84,10,10,20,85.0,226,1,4,4,3,3,3,0,0,3,0,0,0,0,0,0,4,2,13,0
