Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Brandon Starcevich,Brisbane,13.0,6.0,7.0,0.46,0.54,3.0,0.0,2.0,Gen. Defender
1,Callum Ah Chee,Brisbane,14.0,7.0,7.0,0.5,0.5,3.0,1.0,1.0,Gen. Forward
1,Cam Rayner,Brisbane,13.0,8.0,5.0,0.62,0.38,2.0,0.0,0.0,Gen. Forward
1,Conor McKenna,Brisbane,10.0,7.0,3.0,0.7,0.3,1.0,0.0,0.0,Gen. Forward
1,Darcy Fort,Brisbane,14.0,10.0,4.0,0.71,0.29,4.0,1.0,1.0,Ruck
1,Darcy Wilmot,Brisbane,25.0,17.0,8.0,0.68,0.32,4.0,0.0,4.0,Gen. Defender
1,Dayne Zorko,Brisbane,24.0,20.0,4.0,0.83,0.17,6.0,2.0,3.0,Gen. Defender
1,Eric Hipwood,Brisbane,5.0,4.0,1.0,0.8,0.2,3.0,1.0,1.0,Key Forward
1,Harris Andrews,Brisbane,7.0,5.0,2.0,0.71,0.29,2.0,0.0,0.0,Key Defender
1,Hugh McCluggage,Brisbane,21.0,11.0,10.0,0.52,0.48,2.0,0.0,1.0,Midfielder
1,Jack Payne,Brisbane,8.0,4.0,4.0,0.5,0.5,2.0,0.0,1.0,Key Defender
1,Jarrod Berry,Brisbane,27.0,16.0,11.0,0.59,0.41,10.0,0.0,1.0,Midfielder
1,Jaspa Fletcher,Brisbane,12.0,6.0,6.0,0.5,0.5,0.0,0.0,2.0,Gen. Defender
1,Josh Dunkley,Brisbane,27.0,17.0,10.0,0.63,0.37,5.0,1.0,10.0,Midfielder
1,Kai Lohmann,Brisbane,,,,,,,,,Gen. Forward
1,Lachie Neale,Brisbane,10.0,5.0,5.0,0.5,0.5,0.0,0.0,3.0,Midfielder
1,Levi Ashcroft,Brisbane,25.0,16.0,9.0,0.64,0.36,5.0,0.0,0.0,Midfielder
1,Logan Morris,Brisbane,5.0,5.0,0.0,1.0,0.0,1.0,1.0,3.0,Key Forward
1,Noah Answerth,Brisbane,11.0,8.0,3.0,0.73,0.27,3.0,0.0,6.0,Gen. Defender
1,Oscar McInerney,Brisbane,18.0,12.0,6.0,0.67,0.33,5.0,1.0,1.0,Ruck
1,Ryan Lester,Brisbane,15.0,10.0,5.0,0.67,0.33,4.0,0.0,2.0,Gen. Defender
1,Will Ashcroft,Brisbane,21.0,11.0,10.0,0.52,0.48,0.0,0.0,4.0,Midfielder
1,Zac Bailey,Brisbane,17.0,9.0,8.0,0.53,0.47,1.0,4.0,0.0,Mid-Forward
2,Bruce Reville,Brisbane,,,,,,,,,Midfielder
2,Callum Ah Chee,Brisbane,13.0,11.0,2.0,0.85,0.15,8.0,3.0,2.0,Gen. Forward
2,Cam Rayner,Brisbane,8.0,4.0,4.0,0.5,0.5,2.0,0.0,8.0,Gen. Forward
2,Conor McKenna,Brisbane,,,,,,,,,Gen. Forward
2,Darcy Wilmot,Brisbane,23.0,17.0,6.0,0.74,0.26,7.0,0.0,2.0,Gen. Defender
2,Dayne Zorko,Brisbane,28.0,26.0,2.0,0.93,0.07,11.0,0.0,3.0,Gen. Defender
2,Eric Hipwood,Brisbane,15.0,12.0,3.0,0.8,0.2,9.0,2.0,0.0,Key Forward
2,Harris Andrews,Brisbane,20.0,13.0,7.0,0.65,0.35,12.0,0.0,1.0,Key Defender
2,Hugh McCluggage,Brisbane,22.0,11.0,11.0,0.5,0.5,3.0,0.0,7.0,Midfielder
2,Jack Payne,Brisbane,9.0,8.0,1.0,0.89,0.11,6.0,0.0,2.0,Key Defender
2,Jarrod Berry,Brisbane,26.0,18.0,8.0,0.69,0.31,12.0,0.0,4.0,Midfielder
2,Jaspa Fletcher,Brisbane,18.0,16.0,2.0,0.89,0.11,9.0,1.0,0.0,Gen. Defender
2,Josh Dunkley,Brisbane,23.0,13.0,10.0,0.57,0.43,6.0,1.0,6.0,Midfielder
2,Lachie Neale,Brisbane,35.0,21.0,14.0,0.6,0.4,8.0,1.0,1.0,Midfielder
2,Levi Ashcroft,Brisbane,17.0,11.0,6.0,0.65,0.35,8.0,0.0,2.0,Midfielder
2,Logan Morris,Brisbane,8.0,6.0,2.0,0.75,0.25,4.0,3.0,2.0,Key Forward
2,Noah Answerth,Brisbane,16.0,11.0,5.0,0.69,0.31,8.0,0.0,0.0,Gen. Defender
2,Oscar McInerney,Brisbane,13.0,6.0,7.0,0.46,0.54,1.0,0.0,4.0,Ruck
2,Ryan Lester,Brisbane,19.0,14.0,5.0,0.74,0.26,9.0,0.0,3.0,Gen. Defender
2,Sam Day,Brisbane,7.0,3.0,4.0,0.43,0.57,2.0,0.0,3.0,Key Forward
2,Will Ashcroft,Brisbane,24.0,16.0,8.0,0.67,0.33,7.0,0.0,1.0,Midfielder
2,Will McLachlan,Brisbane,8.0,5.0,3.0,0.62,0.38,2.0,2.0,2.0,Gen. Forward
2,Zac Bailey,Brisbane,14.0,10.0,4.0,0.71,0.29,7.0,1.0,2.0,Mid-Forward
3,Bruce Reville,Brisbane,,,,,,,,,Midfielder
3,Callum Ah Chee,Brisbane,11.0,5.0,6.0,0.45,0.55,5.0,0.0,2.0,Gen. Forward
3,Cam Rayner,Brisbane,15.0,10.0,5.0,0.67,0.33,3.0,1.0,1.0,Gen. Forward
3,Charlie Cameron,Brisbane,7.0,6.0,1.0,0.86,0.14,1.0,1.0,4.0,Gen. Forward
3,Darcy Fort,Brisbane,10.0,8.0,2.0,0.8,0.2,0.0,0.0,3.0,Ruck
3,Darcy Wilmot,Brisbane,16.0,9.0,7.0,0.56,0.44,7.0,0.0,2.0,Gen. Defender
3,Dayne Zorko,Brisbane,28.0,23.0,5.0,0.82,0.18,7.0,1.0,4.0,Gen. Defender
