Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Tom De Koning,Carlton,Ruck,20250101,3,23.9,13.0,148,132,0.41,6,81,13,15,28,60.7,509,7,18,7,5,4,5,83,8,3,2,1,0,0,0,0,4,5,15,30
1,Jacob Weitering,Carlton,Key Defender,20250101,4,17.3,11.03,90,86,0.05,1,97,13,8,21,81.0,249,3,8,5,8,5,14,0,0,11,8,3,0,0,0,0,2,0,4,1
1,Jack Silvagni,Carlton,Key Defender,20250101,0,15.6,9.67,100,93,0.01,0,89,14,2,16,68.8,296,2,5,3,5,3,4,0,0,8,1,2,2,1,1,0,6,4,11,0
1,Adam Saad,Carlton,Gen. Defender,20250101,0,15.1,11.74,91,72,0.01,0,82,15,6,21,85.7,414,3,9,6,7,5,9,0,1,3,0,0,0,0,0,0,4,1,14,0
1,Patrick Cripps,Carlton,Midfielder,20250101,0,13.6,16.62,120,102,0.64,10,80,10,22,32,71.9,216,3,15,5,3,2,1,79,9,2,0,1,2,0,1,2,9,5,13,2
1,Sam Walsh,Carlton,Midfielder,20250101,0,13.4,13.02,81,84,0.03,0,81,7,18,25,60.0,246,3,12,11,5,5,3,38,2,1,0,0,1,1,0,0,5,5,16,0
1,Adam Cerra,Carlton,Midfielder,20250101,0,11.6,11.84,106,97,0.02,0,83,14,12,26,65.4,379,5,12,10,4,4,4,54,5,3,0,0,0,0,0,0,5,6,29,0
1,Lachlan Cowan,Carlton,Gen. Defender,20250101,0,10.7,6.95,81,84,0.0,0,85,14,4,18,72.2,348,4,5,5,5,5,6,0,0,5,1,0,1,1,0,0,3,4,12,0
1,George Hewett,Carlton,Midfielder,20250101,0,10.3,12.61,94,101,0.02,0,69,12,13,25,56.0,333,4,10,8,5,4,5,62,3,2,1,0,0,0,0,0,4,8,16,0
1,Harry McKay,Carlton,Key Forward,20250101,0,8.8,8.46,75,65,0.0,0,96,9,5,14,71.4,297,4,7,4,5,3,1,12,2,7,0,2,3,1,1,0,5,1,5,2
1,Blake Acres,Carlton,Midfielder,20250101,0,8.8,9.79,60,92,0.01,0,78,12,9,21,52.4,354,1,5,3,5,3,6,0,0,5,2,1,1,1,0,0,4,4,13,0
1,Oliver Hollands,Carlton,Gen. Defender,20250101,0,8.7,6.82,79,72,0.0,0,85,14,5,19,73.7,400,2,5,5,2,2,2,0,1,4,1,0,0,0,0,0,3,2,19,0
1,Matthew Cottrell,Carlton,Mid-Forward,20250101,0,7.5,7.34,64,58,0.0,0,90,7,4,11,54.5,141,0,6,6,3,3,1,0,1,3,0,0,3,1,2,0,5,3,13,0
1,Zac Williams,Carlton,Gen. Forward,20250101,0,7.3,9.24,51,49,0.0,0,65,6,4,10,60.0,282,4,2,2,1,1,0,12,0,4,0,0,3,1,1,1,6,1,9,0
1,Mitch McGovern,Carlton,Gen. Defender,20250101,0,7.2,8.75,45,52,0.0,0,81,11,3,14,64.3,357,2,3,2,3,2,8,0,0,4,3,0,0,0,0,0,2,1,4,0
1,Jesse Motlop,Carlton,Gen. Forward,20250101,0,5.8,6.96,40,39,0.0,0,75,7,3,10,50.0,185,4,7,4,6,4,1,12,1,2,0,0,2,0,2,1,4,2,11,0
1,Francis Evans,Carlton,Gen. Forward,20250101,0,5.5,6.13,26,26,0.0,0,78,5,2,7,71.4,140,2,3,2,2,2,1,0,1,2,0,0,1,1,0,0,2,1,10,0
1,Sam Docherty,Carlton,Midfielder,20250101,0,5.0,3.42,67,56,0.0,0,27,8,6,14,50.0,239,4,6,6,4,4,2,17,2,2,0,0,2,0,2,1,4,3,6,0
1,Lachie Fogarty,Carlton,Gen. Forward,20250101,0,4.9,8.29,55,46,0.0,0,73,4,8,12,83.3,135,2,5,5,4,4,0,0,1,3,0,0,0,0,0,0,2,3,7,0
1,Cooper Lord,Carlton,Midfielder,20250101,0,4.7,6.8,56,70,0.0,0,56,8,6,14,57.1,178,3,7,6,4,3,2,29,1,3,0,0,1,0,0,0,1,6,16,0
1,Brodie Kemp,Carlton,Key Forward,20250101,0,4.3,8.01,39,35,0.0,0,83,6,2,8,62.5,102,1,5,2,5,2,0,0,0,2,0,1,3,1,2,1,6,0,8,0
1,Lucas Camporeale,Carlton,Midfielder,20250101,0,1.8,5.72,56,76,0.0,0,86,9,11,20,50.0,168,1,5,4,4,3,3,0,1,3,0,0,0,0,0,0,1,5,13,0
1,Nick Haynes,Carlton,Gen. Defender,20250101,0,1.6,6.97,59,67,0.0,0,82,13,5,18,66.7,286,1,4,4,4,4,5,0,0,6,1,0,0,0,0,0,0,0,3,0
10,Patrick Cripps,Carlton,Midfielder,20251002,1,20.1,14.9,108,104,0.79,0,87,12,14,26,50.0,311,5,19,11,7,3,2,96,7,1,0,1,3,2,0,1,6,7,23,0
10,Nick Haynes,Carlton,Gen. Defender,20251002,0,19.4,8.36,102,69,0.0,0,90,11,7,18,94.4,379,0,7,6,5,5,10,0,2,6,2,0,0,0,0,0,3,1,9,0
10,George Hewett,Carlton,Midfielder,20251002,0,16.5,13.8,119,94,0.01,0,83,9,18,27,77.8,238,3,14,12,7,6,4,83,7,3,1,0,1,0,0,1,6,6,19,0
10,Charlie Curnow,Carlton,Key Forward,20251002,0,14.0,9.04,83,84,0.01,0,92,14,1,15,60.0,403,6,3,1,3,1,2,0,0,9,0,0,5,3,1,0,6,1,9,0
10,Corey Durdin,Carlton,Gen. Forward,20251002,0,12.7,6.59,62,41,0.0,0,70,6,6,12,83.3,157,2,8,7,5,4,2,0,1,0,0,0,1,1,0,1,2,1,10,0
10,Marc Pittonet,Carlton,Ruck,20251002,0,12.5,12.57,88,87,0.0,0,81,9,3,12,50.0,188,2,10,4,2,0,2,91,7,3,2,2,0,0,0,1,3,7,16,24
10,Adam Cerra,Carlton,Midfielder,20251002,3,10.9,11.71,142,121,0.11,0,76,13,21,34,61.8,383,6,20,15,11,8,7,65,2,4,0,0,0,0,0,0,6,7,23,0
10,Sam Walsh,Carlton,Midfielder,20251002,0,10.4,12.92,86,81,0.0,0,85,8,11,19,68.4,186,2,9,8,6,5,3,52,2,2,0,0,1,1,0,0,3,7,31,0
10,Mitch McGovern,Carlton,Gen. Defender,20251002,0,10.3,9.26,86,68,0.0,0,85,14,6,20,80.0,549,1,4,3,4,3,6,0,0,3,1,0,0,0,0,0,4,1,14,0
10,Harry McKay,Carlton,Key Forward,20251002,0,10.2,8.61,93,88,0.01,0,84,11,5,16,62.5,363,2,9,2,5,1,3,9,3,7,1,2,4,2,1,0,4,4,11,3
10,Adam Saad,Carlton,Gen. Defender,20251002,0,9.5,10.56,79,71,0.0,0,84,14,7,21,61.9,374,0,7,6,6,5,5,0,1,1,0,0,0,0,0,0,1,3,17,0
10,Cooper Lord,Carlton,Midfielder,20251002,0,7.8,6.67,64,71,0.0,0,69,12,7,19,63.2,400,5,3,3,1,1,1,0,0,4,0,0,0,0,0,0,4,3,12,0
10,Oliver Hollands,Carlton,Gen. Defender,20251002,0,6.7,6.93,65,69,0.0,0,81,14,5,19,63.2,548,5,5,5,4,4,7,0,0,5,3,0,0,0,0,0,1,2,17,0
10,Lewis Young,Carlton,Key Defender,20251002,0,6.4,8.04,47,34,0.0,0,85,4,5,9,55.6,67,1,3,2,3,2,3,0,0,1,1,0,0,0,0,1,2,2,5,1
10,Jacob Weitering,Carlton,Key Defender,20251002,0,5.4,10.53,63,54,0.0,0,100,12,1,13,76.9,273,0,2,1,2,1,5,0,0,4,0,0,0,0,0,0,2,1,5,0
10,Jaxon Binns,Carlton,Midfielder,20251002,0,5.0,7.61,56,56,0.0,0,85,14,0,14,57.1,338,4,3,3,2,2,1,0,1,3,0,0,1,0,0,1,2,1,9,0
10,Jack Silvagni,Carlton,Key Defender,20251002,0,3.8,11.2,34,28,0.0,0,43,3,2,5,100.0,6,1,2,0,2,0,4,0,0,3,2,0,0,0,0,0,1,1,4,0
10,Will White,Carlton,Gen. Forward,20251002,0,3.6,5.45,14,16,0.0,0,65,3,3,6,50.0,77,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,14,0
10,Francis Evans,Carlton,Gen. Forward,20251002,0,3.5,5.79,56,59,0.0,0,81,10,2,12,41.7,273,2,7,4,6,3,2,0,1,3,0,1,4,0,2,0,3,3,18,0
10,Jesse Motlop,Carlton,Gen. Forward,20251002,0,3.1,8.22,32,32,0.0,0,84,4,3,7,28.6,84,2,4,3,2,2,1,4,2,0,0,0,0,0,0,0,3,4,20,0
10,Matthew Carroll,Carlton,Gen. Defender,20251002,0,2.8,4.1,31,40,0.0,0,71,6,2,8,62.5,122,2,1,1,1,1,2,0,0,2,1,0,0,0,0,0,2,3,10,0
10,Jordan Boyd,Carlton,Gen. Defender,20251002,0,1.9,2.88,35,27,0.0,0,37,4,2,6,100.0,210,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,5,0
10,Elijah Hollands,Carlton,Gen. Forward,20251002,0,-0.6,9.81,49,76,0.0,0,84,11,9,20,55.0,271,1,4,4,3,3,2,0,0,4,0,0,2,0,0,0,2,4,11,0
11,Sam Docherty,Carlton,Midfielder,20251103,0,19.3,7.89,118,112,0.03,0,85,20,10,30,70.0,492,6,9,7,8,6,8,0,1,5,1,0,1,1,0,1,3,2,14,0
11,Adam Cerra,Carlton,Midfielder,20251103,4,19.1,12.38,122,108,0.13,0,83,14,9,23,69.6,391,4,10,7,5,4,3,72,5,5,0,1,2,1,1,1,8,6,19,0
11,Adam Saad,Carlton,Gen. Defender,20251103,0,17.0,10.5,89,64,0.01,0,81,12,8,20,90.0,336,3,7,4,7,4,4,0,1,2,1,1,0,0,0,0,4,2,16,0
11,Patrick Cripps,Carlton,Midfielder,20251103,1,16.6,15.08,112,101,0.62,1,88,8,17,25,64.0,238,3,20,9,6,2,1,78,8,3,0,2,2,1,1,0,4,7,17,1
11,Nick Haynes,Carlton,Gen. Defender,20251103,0,16.4,9.11,95,83,0.01,0,86,14,6,20,75.0,412,5,11,7,10,6,10,0,1,8,3,3,0,0,0,0,3,1,10,0
11,Cooper Lord,Carlton,Midfielder,20251103,0,13.1,6.41,96,87,0.01,0,73,11,10,21,71.4,436,4,6,6,2,2,2,3,4,5,0,0,1,1,0,1,5,4,15,0
11,Tom De Koning,Carlton,Ruck,20251103,0,10.3,14.4,80,74,0.01,0,78,5,12,17,58.8,201,4,8,4,2,2,2,78,4,1,1,0,0,0,0,0,5,3,5,25
11,Sam Walsh,Carlton,Midfielder,20251103,0,10.1,12.66,81,85,0.04,0,79,13,13,26,57.7,407,5,11,9,6,5,4,59,3,4,0,0,0,0,0,2,5,3,15,0
11,George Hewett,Carlton,Midfielder,20251103,0,10.0,14.04,64,46,0.0,0,72,4,13,17,88.2,58,2,9,7,3,2,1,75,3,2,0,0,0,0,0,0,4,1,13,0
11,Lachie Fogarty,Carlton,Gen. Forward,20251103,0,8.9,8.36,87,75,0.0,0,80,8,5,13,69.2,189,2,5,3,4,3,1,0,1,5,0,0,3,2,1,2,7,3,11,0
11,Harry McKay,Carlton,Key Forward,20251103,0,8.2,8.56,90,72,0.01,0,76,9,9,18,55.6,274,4,13,4,2,1,1,22,5,5,0,1,1,0,1,0,7,1,4,5
11,Will White,Carlton,Gen. Forward,20251103,0,7.6,5.43,51,53,0.0,0,76,11,2,13,46.2,379,3,4,3,4,3,1,0,0,4,0,0,2,1,1,1,6,0,8,0
11,Jesse Motlop,Carlton,Gen. Forward,20251103,0,7.5,7.94,56,59,0.0,0,80,6,3,9,77.8,187,4,5,3,3,2,2,12,2,1,0,0,1,1,0,0,2,6,18,0
11,Charlie Curnow,Carlton,Key Forward,20251103,0,7.5,9.16,66,70,0.01,0,93,9,3,12,58.3,307,1,4,2,4,2,1,0,0,5,0,1,7,3,3,0,6,0,5,0
11,Blake Acres,Carlton,Midfielder,20251103,0,7.4,7.87,60,47,0.0,0,64,5,4,9,100.0,132,1,4,2,4,2,3,0,0,2,0,0,0,0,0,0,0,4,16,0
11,Matthew Carroll,Carlton,Gen. Defender,20251103,0,7.3,3.51,47,37,0.0,0,79,7,5,12,75.0,243,0,6,5,6,5,5,0,0,2,1,1,0,0,0,0,2,0,9,0
11,Jacob Weitering,Carlton,Key Defender,20251103,0,7.3,10.29,80,53,0.0,0,100,11,3,14,85.7,208,1,7,5,5,3,4,0,1,5,2,2,0,0,0,0,1,1,1,0
11,Mitch McGovern,Carlton,Gen. Defender,20251103,0,6.8,9.38,49,48,0.0,0,87,11,4,15,66.7,315,2,2,2,2,2,2,0,0,3,0,0,1,0,1,2,3,0,11,0
11,Oliver Hollands,Carlton,Gen. Defender,20251103,0,5.9,6.89,62,81,0.01,0,89,9,8,17,76.5,339,1,2,0,0,0,1,0,2,3,0,0,2,1,1,0,4,6,22,0
11,Harry O'Farrell,Carlton,Key Defender,20251103,0,5.2,5.72,49,37,0.0,0,81,5,4,9,77.8,115,0,4,3,4,3,6,0,0,3,2,0,0,0,0,0,1,1,7,0
11,Corey Durdin,Carlton,Gen. Forward,20251103,0,4.9,6.9,29,23,0.0,0,66,3,3,6,66.7,68,1,4,4,1,1,0,0,1,0,0,0,0,0,0,0,1,2,13,0
11,Lewis Young,Carlton,Key Defender,20251103,0,3.6,7.41,48,27,0.0,0,79,4,3,7,100.0,67,1,3,2,3,2,2,0,0,3,1,1,0,0,0,1,2,0,3,0
11,Jaxon Binns,Carlton,Midfielder,20251103,0,-0.4,3.73,5,15,0.0,0,25,2,3,5,60.0,81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0
13,Tom De Koning,Carlton,Ruck,20251307,10,15.8,14.11,146,121,2.05,40,79,12,11,23,65.2,196,2,13,2,3,1,4,76,7,5,3,2,3,1,1,0,10,3,12,29
13,Sam Walsh,Carlton,Midfielder,20251307,7,13.9,12.43,110,105,1.91,35,80,14,18,32,71.9,406,4,14,10,7,6,5,76,7,5,0,0,2,0,1,0,7,3,20,0
13,Adam Cerra,Carlton,Midfielder,20251307,0,13.3,12.75,109,107,0.09,1,70,14,10,24,66.7,433,6,15,11,7,6,4,72,7,5,0,0,0,0,0,2,6,7,19,0
13,Charlie Curnow,Carlton,Key Forward,20251307,0,12.7,9.03,83,80,0.01,0,92,11,2,13,53.8,254,2,7,1,7,1,1,0,0,7,0,3,5,2,2,0,6,3,7,0
13,George Hewett,Carlton,Midfielder,20251307,2,11.1,12.79,114,125,0.54,8,75,14,15,29,65.5,440,8,9,6,5,3,3,60,1,5,1,1,0,0,0,0,8,9,28,0
13,Sam Docherty,Carlton,Midfielder,20251307,0,10.6,8.04,107,112,0.05,0,82,21,5,26,76.9,467,0,5,4,3,3,6,0,2,13,3,0,0,0,0,0,4,0,13,0
13,Adam Saad,Carlton,Gen. Defender,20251307,0,10.4,10.81,79,72,0.01,0,84,13,3,16,62.5,250,2,7,6,7,6,7,0,0,1,0,0,1,1,0,0,2,4,13,0
13,Blake Acres,Carlton,Midfielder,20251307,0,10.4,7.76,110,105,0.14,2,91,17,12,29,65.5,456,5,9,7,4,4,5,0,4,8,2,0,3,1,1,0,7,1,13,0
13,Nick Haynes,Carlton,Gen. Defender,20251307,0,9.9,9.55,81,93,0.01,0,87,16,1,17,76.5,543,4,3,3,3,3,7,0,0,11,3,0,0,0,0,0,2,3,6,0
13,Lachie Fogarty,Carlton,Gen. Forward,20251307,0,9.3,8.35,52,38,0.0,0,80,3,7,10,80.0,59,0,9,7,8,6,3,0,1,2,0,1,0,0,0,0,1,3,11,0
13,Jack Silvagni,Carlton,Key Defender,20251307,5,8.7,10.68,79,63,0.04,0,86,10,7,17,70.6,145,1,7,5,7,5,10,0,0,6,3,2,0,0,0,0,2,0,4,0
13,Oliver Hollands,Carlton,Gen. Defender,20251307,0,8.7,6.89,122,109,0.02,0,85,16,7,23,78.3,411,4,7,6,7,6,6,0,0,10,1,0,0,0,0,1,7,4,20,0
13,Patrick Cripps,Carlton,Midfielder,20251307,0,8.5,15.2,63,56,0.07,1,87,8,7,15,53.3,170,2,11,3,2,1,1,80,4,0,0,0,2,0,1,0,4,6,19,0
13,Mitch McGovern,Carlton,Gen. Defender,20251307,0,8.3,9.34,75,64,0.0,0,75,8,3,11,63.6,297,4,3,2,3,2,3,0,0,5,0,1,2,1,1,2,8,3,7,0
13,Zac Williams,Carlton,Gen. Forward,20251307,0,7.9,9.57,74,67,0.02,0,73,13,2,15,53.3,336,3,4,3,1,1,1,12,3,3,0,0,4,2,1,2,8,1,12,0
13,Orazio Fantasia,Carlton,Gen. Forward,20251307,0,7.1,7.24,42,32,0.0,0,72,2,3,5,100.0,82,1,5,4,4,3,2,0,1,0,0,0,1,1,0,0,2,4,21,0
13,Cooper Lord,Carlton,Midfielder,20251307,0,6.7,7.56,68,81,0.01,0,84,13,8,21,61.9,281,2,8,6,5,4,5,0,1,4,1,0,0,0,0,0,4,4,15,0
