Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Adam Cerra,Carlton,Midfielder,26.0,14.0,12.0,0.54,0.46,3.0,0.0,6.0,1.37,0.37,1.0,-1.26
1,Adam Saad,Carlton,Gen. Defender,21.0,15.0,6.0,0.71,0.29,3.0,0.0,1.0,3.0,2.43,0.57,0.1
1,Blake Acres,Carlton,Midfielder,21.0,12.0,9.0,0.57,0.43,5.0,1.0,4.0,2.32,0.95,1.37,0.42
1,Brodie Kemp,Carlton,Key Forward,8.0,6.0,2.0,0.75,0.25,2.0,1.0,0.0,-0.6,0.4,-1.0,-1.0
1,Cooper Lord,Carlton,Midfielder,,,,,,,,,,,,
1,Francis Evans,Carlton,Gen. Forward,7.0,5.0,2.0,0.71,0.29,2.0,1.0,1.0,-4.4,-2.2,-2.2,-1.1
1,George Hewett,Carlton,Midfielder,25.0,12.0,13.0,0.48,0.52,2.0,0.0,8.0,-3.13,0.96,-4.09,-1.04
1,Harry McKay,Carlton,Key Forward,14.0,9.0,5.0,0.64,0.36,7.0,1.0,1.0,-0.33,-0.25,-0.08,0.75
1,Jack Silvagni,Carlton,Key Defender,16.0,14.0,2.0,0.88,0.12,8.0,1.0,4.0,2.23,3.31,-1.08,2.15
1,Jacob Weitering,Carlton,Key Defender,21.0,13.0,8.0,0.62,0.38,11.0,0.0,0.0,7.26,2.26,5.0,3.96
1,Jesse Motlop,Carlton,Gen. Forward,10.0,7.0,3.0,0.7,0.3,2.0,0.0,2.0,-0.65,0.26,-0.91,-0.13
1,Lachie Fogarty,Carlton,Gen. Forward,12.0,4.0,8.0,0.33,0.67,3.0,0.0,3.0,0.15,-1.65,1.8,0.35
1,Lachlan Cowan,Carlton,Gen. Defender,18.0,14.0,4.0,0.78,0.22,5.0,1.0,4.0,3.5,3.71,-0.21,0.14
1,Lucas Camporeale,Carlton,Midfielder,20.0,9.0,11.0,0.45,0.55,3.0,0.0,5.0,8.67,3.0,5.67,0.67
1,Matthew Cottrell,Carlton,Mid-Forward,11.0,7.0,4.0,0.64,0.36,3.0,1.0,3.0,-5.5,-4.67,-0.83,-0.83
1,Mitch McGovern,Carlton,Gen. Defender,14.0,11.0,3.0,0.79,0.21,4.0,0.0,1.0,-0.35,-0.23,-0.12,-0.47
1,Nick Haynes,Carlton,Gen. Defender,18.0,13.0,5.0,0.72,0.28,6.0,0.0,0.0,0.96,0.74,0.22,-1.83
1,Oliver Hollands,Carlton,Gen. Defender,19.0,14.0,5.0,0.74,0.26,4.0,0.0,2.0,-0.09,2.7,-2.78,-1.0
1,Patrick Cripps,Carlton,Midfielder,32.0,10.0,22.0,0.31,0.69,2.0,0.0,5.0,7.83,0.44,7.39,-0.17
1,Sam Docherty,Carlton,Midfielder,,,,,,,,,,,,
1,Sam Walsh,Carlton,Midfielder,25.0,7.0,18.0,0.28,0.72,1.0,1.0,5.0,-1.29,-3.86,2.57,-2.57
1,Tom De Koning,Carlton,Ruck,28.0,13.0,15.0,0.46,0.54,3.0,0.0,5.0,10.68,4.18,6.5,-0.27
1,Zac Williams,Carlton,Gen. Forward,10.0,6.0,4.0,0.6,0.4,4.0,1.0,1.0,-4.79,-3.47,-1.32,1.1
2,Adam Cerra,Carlton,Midfielder,28.0,17.0,11.0,0.61,0.39,2.0,1.0,5.0,3.37,3.37,0.0,-2.26
2,Adam Saad,Carlton,Gen. Defender,13.0,11.0,2.0,0.85,0.15,2.0,0.0,3.0,-5.0,-1.57,-3.43,-0.9
2,Blake Acres,Carlton,Midfielder,10.0,7.0,3.0,0.7,0.3,1.0,0.0,1.0,-8.68,-4.05,-4.63,-3.58
2,Brodie Kemp,Carlton,Key Forward,6.0,3.0,3.0,0.5,0.5,0.0,1.0,3.0,-2.6,-2.6,0.0,-3.0
2,Charlie Curnow,Carlton,Key Forward,5.0,4.0,1.0,0.8,0.2,2.0,0.0,0.0,-6.78,-5.83,-0.94,-3.94
2,Cooper Lord,Carlton,Midfielder,,,,,,,,,,,,
2,George Hewett,Carlton,Midfielder,28.0,14.0,14.0,0.5,0.5,1.0,1.0,11.0,-0.13,2.96,-3.09,-2.04
2,Jack Silvagni,Carlton,Key Defender,10.0,6.0,4.0,0.6,0.4,3.0,1.0,6.0,-3.77,-4.69,0.92,-2.85
2,Jacob Weitering,Carlton,Key Defender,11.0,10.0,1.0,0.91,0.09,7.0,0.0,2.0,-2.74,-0.74,-2.0,-0.04
2,Jesse Motlop,Carlton,Gen. Forward,19.0,12.0,7.0,0.63,0.37,3.0,1.0,6.0,8.35,5.26,3.09,0.87
2,Lachie Fogarty,Carlton,Gen. Forward,8.0,3.0,5.0,0.38,0.62,1.0,0.0,5.0,-3.85,-2.65,-1.2,-1.65
2,Lachlan Cowan,Carlton,Gen. Defender,9.0,5.0,4.0,0.56,0.44,1.0,0.0,3.0,-5.5,-5.29,-0.21,-3.86
2,Lewis Young,Carlton,Key Defender,8.0,6.0,2.0,0.75,0.25,4.0,0.0,1.0,-1.92,0.15,-2.08,0.23
2,Lucas Camporeale,Carlton,Midfielder,9.0,5.0,4.0,0.56,0.44,2.0,0.0,0.0,-2.33,-1.0,-1.33,-0.33
2,Matthew Cottrell,Carlton,Mid-Forward,20.0,16.0,4.0,0.8,0.2,1.0,1.0,3.0,3.5,4.33,-0.83,-2.83
2,Mitch McGovern,Carlton,Gen. Defender,13.0,11.0,2.0,0.85,0.15,5.0,0.0,1.0,-1.35,-0.23,-1.12,0.53
