Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Beau McCreery,Collingwood,Gen. Forward,12.0,8.0,4.0,0.67,0.33,5.0,0.0,2.0,0.74,1.11,-0.37,2.9
1,Bobby Hill,Collingwood,Gen. Forward,10.0,6.0,4.0,0.6,0.4,2.0,2.0,0.0,1.14,-0.07,1.21,-0.57
1,Brayden Maynard,Collingwood,Gen. Defender,14.0,12.0,2.0,0.86,0.14,3.0,2.0,3.0,-2.05,0.3,-2.35,-1.75
1,Brody Mihocek,Collingwood,Key Forward,9.0,4.0,5.0,0.44,0.56,3.0,3.0,2.0,-0.59,-2.68,2.09,-0.77
1,Dan Houston,Collingwood,Gen. Defender,27.0,14.0,13.0,0.52,0.48,2.0,0.0,5.0,10.14,3.05,7.1,-1.57
1,Daniel McStay,Collingwood,Key Forward,21.0,10.0,11.0,0.48,0.52,7.0,3.0,5.0,11.28,4.0,7.28,3.56
1,Darcy Cameron,Collingwood,Ruck,14.0,9.0,5.0,0.64,0.36,1.0,0.0,3.0,-3.64,-1.72,-1.92,-4.12
1,Darcy Moore,Collingwood,Key Defender,10.0,8.0,2.0,0.8,0.2,7.0,0.0,2.0,-0.64,2.59,-3.23,2.5
1,Harry Perryman,Collingwood,Gen. Defender,13.0,7.0,6.0,0.54,0.46,1.0,0.0,4.0,-2.32,-2.88,0.56,-3.08
1,Isaac Quaynor,Collingwood,Gen. Defender,16.0,10.0,6.0,0.62,0.38,5.0,0.0,0.0,1.96,1.32,0.64,0.16
1,Jack Crisp,Collingwood,Midfielder,26.0,11.0,15.0,0.42,0.58,3.0,0.0,7.0,5.96,-0.4,6.36,-1.24
1,Jamie Elliott,Collingwood,Gen. Forward,10.0,7.0,3.0,0.7,0.3,3.0,2.0,2.0,-2.08,-1.24,-0.84,-2.08
1,Jeremy Howe,Collingwood,Gen. Defender,10.0,9.0,1.0,0.9,0.1,3.0,0.0,0.0,-2.53,-1.16,-1.37,-1.16
1,Josh Daicos,Collingwood,Gen. Defender,26.0,11.0,15.0,0.42,0.58,5.0,0.0,5.0,-0.84,-5.92,5.08,0.08
1,Lachie Schultz,Collingwood,Gen. Forward,17.0,5.0,12.0,0.29,0.71,4.0,1.0,7.0,2.5,-3.0,5.5,-0.88
1,Lachlan Sullivan,Collingwood,Gen. Forward,12.0,5.0,7.0,0.42,0.58,1.0,1.0,4.0,1.29,0.07,1.21,-0.57
1,Ned Long,Collingwood,Midfielder,24.0,12.0,12.0,0.5,0.5,1.0,0.0,7.0,6.16,4.72,1.44,-1.48
1,Nick Daicos,Collingwood,Midfielder,26.0,19.0,7.0,0.73,0.27,6.0,1.0,1.0,-4.0,2.24,-6.24,1.96
1,Patrick Lipinski,Collingwood,Mid-Forward,24.0,16.0,8.0,0.67,0.33,8.0,1.0,1.0,6.83,7.13,-0.3,4.39
1,Reef McInnes,Collingwood,Key Defender,11.0,9.0,2.0,0.82,0.18,6.0,0.0,1.0,3.0,3.33,-0.33,3.0
1,Scott Pendlebury,Collingwood,Midfielder,,,,,,,,,,,,
1,Steele Sidebottom,Collingwood,Midfielder,31.0,16.0,15.0,0.52,0.48,3.0,1.0,6.0,9.78,3.65,6.13,-1.22
1,Tim Membrey,Collingwood,Key Forward,17.0,12.0,5.0,0.71,0.29,10.0,4.0,1.0,7.22,6.13,1.09,5.83
2,Beau McCreery,Collingwood,Gen. Forward,10.0,8.0,2.0,0.8,0.2,0.0,1.0,4.0,-1.26,1.11,-2.37,-2.1
2,Bobby Hill,Collingwood,Gen. Forward,8.0,6.0,2.0,0.75,0.25,2.0,2.0,3.0,-0.86,-0.07,-0.79,-0.57
