Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Archie Perkins,Essendon,Gen. Forward,20250102,0,16.5,7.67,79,85,0.01,0,85,13,9,22,77.3,344,4,8,8,4,4,3,24,4,5,1,0,4,1,2,1,9,2,7,0
1,Jye Caldwell,Essendon,Midfielder,20250102,9,15.9,11.43,129,146,2.36,54,75,18,18,36,61.1,476,7,17,12,4,4,3,67,10,4,0,0,3,1,1,0,11,11,27,0
1,Sam Draper,Essendon,Ruck,20250102,0,15.4,12.09,103,88,0.0,0,82,9,3,12,50.0,293,4,14,4,5,3,3,36,5,2,1,1,4,1,2,0,6,5,10,25
1,Zach Merrett,Essendon,Midfielder,20250102,1,15.3,15.07,89,96,0.18,2,90,14,12,26,57.7,472,4,4,2,1,1,1,55,4,3,0,0,3,2,0,2,7,3,12,0
1,Isaac Kako,Essendon,Gen. Forward,20250102,0,14.5,5.72,62,51,0.0,0,82,8,6,14,71.4,139,3,7,5,4,4,0,0,3,2,0,0,3,1,2,0,6,1,8,0
1,Xavier Duursma,Essendon,Midfielder,20250102,1,13.0,7.52,113,103,0.01,0,83,10,9,19,84.2,167,3,8,5,6,4,5,3,1,4,0,0,2,2,0,1,5,7,14,0
1,Jade Gresham,Essendon,Gen. Forward,20250102,0,13.0,3.43,48,44,0.0,0,50,7,5,12,75.0,162,1,6,6,5,5,1,0,1,2,0,0,1,1,0,0,4,1,4,0
1,Nick Bryan,Essendon,Ruck,20250102,0,11.9,10.52,69,81,0.0,0,63,8,2,10,70.0,179,2,2,1,0,0,1,64,2,4,1,0,0,0,0,0,4,3,6,29
1,Harrison Jones,Essendon,Mid-Forward,20250102,0,11.7,7.55,74,72,0.0,0,79,11,3,14,71.4,209,2,7,5,5,5,3,0,2,6,0,0,1,1,0,0,5,3,11,0
1,Sam Durham,Essendon,Midfielder,20250102,0,10.4,10.99,92,75,0.02,0,83,8,15,23,73.9,210,4,17,10,8,7,3,55,4,3,0,1,0,0,0,2,4,4,15,0
1,Dylan Shiel,Essendon,Midfielder,20250102,0,10.3,12.06,74,78,0.0,0,85,14,9,23,65.2,371,2,7,6,6,5,6,0,2,3,0,0,0,0,0,0,1,2,13,0
1,Mason Redman,Essendon,Gen. Defender,20250102,0,9.3,10.56,82,82,0.0,0,92,12,7,19,89.5,374,3,6,4,4,2,3,27,2,2,0,0,2,0,2,0,6,7,14,0
1,Kyle Langford,Essendon,Key Forward,20250102,0,8.8,9.89,53,41,0.0,0,62,5,6,11,72.7,159,2,5,3,3,2,2,0,1,0,0,0,2,2,0,0,5,1,10,0
