Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Andrew McGrath,Essendon,Gen. Defender,27.0,15.0,12.0,0.56,0.44,9.0,0.0,4.0,4.26,5.22,-0.96,5.48
1,Archie Perkins,Essendon,Gen. Forward,22.0,13.0,9.0,0.59,0.41,5.0,1.0,2.0,7.95,5.67,2.29,2.19
1,Archie Roberts,Essendon,Gen. Defender,19.0,12.0,7.0,0.63,0.37,4.0,0.0,4.0,-5.48,-1.22,-4.26,-1.3
1,Ben Hobbs,Essendon,Gen. Forward,13.0,3.0,10.0,0.23,0.77,1.0,0.0,7.0,-1.89,-4.17,2.28,-1.11
1,Ben McKay,Essendon,Key Defender,7.0,5.0,2.0,0.71,0.29,5.0,0.0,2.0,-1.8,-0.1,-1.7,0.6
1,Dylan Shiel,Essendon,Midfielder,23.0,14.0,9.0,0.61,0.39,3.0,0.0,2.0,1.86,3.93,-2.07,-0.79
1,Elijah Tsatas,Essendon,Midfielder,,,,,,,,,,,,
1,Harrison Jones,Essendon,Mid-Forward,14.0,11.0,3.0,0.79,0.21,6.0,1.0,3.0,3.86,4.57,-0.71,2.29
1,Isaac Kako,Essendon,Gen. Forward,14.0,8.0,6.0,0.57,0.43,2.0,1.0,1.0,2.83,2.48,0.35,0.04
1,Jade Gresham,Essendon,Gen. Forward,,,,,,,,,,,,
1,Jaxon Prior,Essendon,Gen. Defender,11.0,10.0,1.0,0.91,0.09,7.0,0.0,2.0,-4.74,-1.04,-3.7,2.09
1,Jordan Ridley,Essendon,Gen. Defender,,,,,,,,,,,,
1,Jye Caldwell,Essendon,Midfielder,36.0,18.0,18.0,0.5,0.5,4.0,1.0,11.0,10.09,5.54,4.54,0.0
1,Kyle Langford,Essendon,Key Forward,11.0,5.0,6.0,0.45,0.55,0.0,2.0,1.0,-0.11,-1.67,1.56,-3.11
