Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Caleb Serong,Fremantle,Midfielder,20250103,3,25.5,16.08,102,85,0.11,1,77,14,13,27,77.8,551,7,16,9,3,2,1,71,11,1,0,0,0,0,0,0,8,3,15,0
1,Andrew Brayshaw,Fremantle,Midfielder,20250103,0,17.8,13.55,101,95,0.04,0,85,8,18,26,76.9,361,5,11,7,3,2,1,85,6,1,0,0,2,1,1,1,7,6,28,0
1,Luke Jackson,Fremantle,Ruck,20250103,0,14.8,12.43,91,93,0.0,0,86,7,9,16,81.3,294,4,6,4,2,2,1,65,4,2,0,0,0,0,0,0,6,3,13,39
1,Murphy Reid,Fremantle,Gen. Forward,20250103,0,13.6,5.72,50,69,0.01,0,79,10,3,13,69.2,261,1,3,3,3,3,1,0,0,3,0,0,5,4,0,0,7,0,6,0
1,Matthew Johnson,Fremantle,Midfielder,20250103,0,12.4,7.98,98,89,0.01,0,80,12,15,27,70.4,369,4,9,7,5,5,5,50,3,3,1,0,0,0,0,0,4,4,16,0
1,Michael Frederick,Fremantle,Gen. Forward,20250103,0,11.9,7.07,60,76,0.0,0,81,10,3,13,76.9,270,5,2,2,2,2,2,0,0,4,1,0,2,2,0,2,8,4,8,0
1,Alex Pearce,Fremantle,Key Defender,20250103,0,11.7,8.39,82,48,0.0,0,93,9,2,11,90.9,336,1,6,2,6,2,7,0,0,4,3,1,0,0,0,0,4,2,7,0
1,Jordan Clark,Fremantle,Gen. Defender,20250103,0,8.2,9.65,107,81,0.0,0,87,11,12,23,91.3,262,1,6,5,5,4,5,0,1,5,1,0,0,0,0,0,1,2,14,0
1,Jeremy Sharp,Fremantle,Midfielder,20250103,0,8.2,8.0,67,61,0.0,0,92,8,11,19,78.9,228,1,5,4,0,0,2,0,4,3,2,0,1,0,0,0,7,3,16,0
1,Luke Ryan,Fremantle,Gen. Defender,20250103,0,8.2,10.61,66,66,0.0,0,88,13,5,18,83.3,390,0,3,3,2,2,3,0,1,4,0,0,0,0,0,0,1,2,7,0
1,Jaeger O'Meara,Fremantle,Midfielder,20250103,0,7.8,9.35,79,99,0.03,0,82,9,22,31,74.2,332,4,12,4,2,2,1,24,6,6,0,0,1,0,1,0,5,3,19,0
1,Nathan O'Driscoll,Fremantle,Midfielder,20250103,0,7.7,6.57,91,85,0.01,0,76,11,14,25,64.0,361,3,8,6,5,4,2,68,2,2,0,0,1,0,0,1,7,4,16,0
1,Corey Wagner,Fremantle,Midfielder,20250103,0,7.7,8.23,77,71,0.0,0,85,12,12,24,75.0,466,0,6,6,6,6,5,0,0,1,0,0,0,0,0,1,3,2,7,0
1,Brennan Cox,Fremantle,Key Defender,20250103,0,7.0,8.84,32,35,0.0,0,74,7,2,9,55.6,135,0,5,3,4,2,4,0,1,3,2,2,1,1,0,0,2,1,5,0
1,Bailey Banfield,Fremantle,Gen. Defender,20250103,0,6.3,7.39,45,43,0.0,0,79,6,5,11,54.5,77,0,4,3,4,3,1,3,0,0,0,0,4,1,1,1,7,2,13,0
1,Sam Switkowski,Fremantle,Gen. Forward,20250103,0,5.5,11.46,34,25,0.0,0,42,4,3,7,57.1,154,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0,1,10,0
1,Brandon Walker,Fremantle,Gen. Defender,20250103,0,4.7,6.84,71,56,0.0,0,77,7,6,13,92.3,98,0,7,3,6,2,6,0,1,1,1,1,0,0,0,0,1,5,15,0
1,Joshua Draper,Fremantle,Key Defender,20250103,0,4.4,6.67,50,43,0.0,0,74,5,4,9,88.9,73,0,2,2,2,2,2,0,0,5,1,0,0,0,0,0,2,2,8,0
1,Karl Worner,Fremantle,Gen. Defender,20250103,0,4.4,6.23,45,44,0.0,0,71,4,7,11,72.7,173,1,4,3,4,3,5,0,0,0,0,0,0,0,0,0,2,5,11,0
1,Heath Chapman,Fremantle,Gen. Defender,20250103,0,1.4,3.71,11,15,0.0,0,41,3,3,6,66.7,111,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,0
1,Liam Reidy,Fremantle,Ruck,20250103,0,1.0,6.29,34,37,0.0,0,75,4,2,6,50.0,80,1,2,1,1,1,1,35,1,1,0,0,0,0,0,1,3,2,10,18
1,Josh Treacy,Fremantle,Key Forward,20250103,0,0.9,9.04,34,28,0.0,0,90,5,4,9,66.7,132,0,3,3,3,3,0,0,0,3,0,0,4,1,1,1,7,1,4,0
1,Jye Amiss,Fremantle,Key Forward,20250103,0,-0.9,7.37,29,30,0.0,0,86,4,3,7,42.9,64,0,4,2,4,2,0,0,0,2,0,1,0,0,0,0,2,2,4,0
10,Luke Jackson,Fremantle,Ruck,20251005,5,21.9,13.09,143,98,0.21,1,78,11,10,21,66.7,261,4,15,8,6,3,3,84,7,4,2,2,1,0,1,1,6,1,8,32
10,Shai Bolton,Fremantle,Mid-Forward,20251005,10,20.2,11.47,150,119,2.32,45,86,16,8,24,66.7,417,4,12,9,8,7,5,48,3,8,0,0,6,3,3,1,10,3,21,0
10,Caleb Serong,Fremantle,Midfielder,20251005,8,17.7,15.77,117,108,2.34,47,84,17,19,36,66.7,695,5,12,8,3,3,2,84,8,3,0,0,2,0,1,0,8,3,15,0
10,Sam Switkowski,Fremantle,Gen. Forward,20251005,0,13.3,9.61,75,68,0.0,0,78,7,9,16,75.0,117,3,6,4,5,4,3,0,2,3,1,0,1,0,1,1,5,5,11,0
10,Jordan Clark,Fremantle,Gen. Defender,20251005,0,11.8,10.7,109,83,0.01,0,90,14,7,21,81.0,401,3,5,5,2,2,4,0,3,6,2,0,1,0,1,0,3,2,11,0
10,Andrew Brayshaw,Fremantle,Midfielder,20251005,2,11.4,15.69,99,103,0.91,6,79,9,21,30,63.3,274,3,11,8,4,3,2,72,3,3,1,1,0,0,0,0,7,6,19,0
10,Michael Frederick,Fremantle,Gen. Forward,20251005,3,10.9,7.36,116,86,0.12,1,77,8,8,16,62.5,273,2,7,5,5,4,1,0,2,5,0,0,6,3,2,2,11,3,16,0
10,Murphy Reid,Fremantle,Gen. Forward,20251005,0,10.5,8.59,69,58,0.0,0,69,8,7,15,73.3,199,4,6,3,5,3,1,0,0,1,0,0,2,1,0,1,7,3,8,0
10,Josh Treacy,Fremantle,Key Forward,20251005,0,10.4,8.54,59,53,0.0,0,93,7,4,11,63.6,232,4,6,4,6,4,2,0,0,2,0,0,2,1,1,0,2,2,10,1
10,Heath Chapman,Fremantle,Gen. Defender,20251005,0,10.2,7.36,92,53,0.0,0,80,10,5,15,86.7,443,1,8,6,5,3,7,0,3,4,2,2,0,0,0,0,6,1,11,0
10,Patrick Voss,Fremantle,Key Forward,20251005,0,9.2,4.36,75,65,0.0,0,84,6,5,11,45.5,235,3,9,6,5,4,3,16,2,1,0,0,3,1,2,0,4,5,14,4
10,Cooper Simpson,Fremantle,Gen. Defender,20251005,0,9.0,4.76,71,64,0.0,0,79,11,3,14,85.7,380,5,1,0,1,0,4,0,0,2,2,0,1,1,0,0,4,3,8,0
10,Neil Erasmus,Fremantle,Midfielder,20251005,1,8.8,5.68,55,62,0.02,0,61,10,9,19,68.4,392,5,7,5,1,1,2,56,5,4,0,0,0,0,0,1,6,2,10,0
10,Corey Wagner,Fremantle,Midfielder,20251005,0,7.0,8.3,66,42,0.0,0,83,8,5,13,84.6,302,2,6,5,3,3,1,0,3,2,0,0,0,0,0,1,6,1,10,0
10,Jye Amiss,Fremantle,Key Forward,20251005,0,6.8,5.74,63,45,0.0,0,85,4,4,8,75.0,97,1,4,1,4,1,1,0,0,4,1,2,2,2,0,0,3,0,1,0
10,Brennan Cox,Fremantle,Key Defender,20251005,1,6.8,8.79,49,25,0.0,0,88,3,3,6,83.3,35,1,3,3,3,3,4,0,0,3,1,0,0,0,0,0,0,1,3,0
10,Karl Worner,Fremantle,Gen. Defender,20251005,0,4.5,6.5,42,33,0.0,0,84,5,3,8,87.5,97,0,1,1,1,1,2,0,0,4,1,0,0,0,0,0,2,0,5,0
10,Bailey Banfield,Fremantle,Gen. Defender,20251005,0,4.2,3.54,14,23,0.0,0,20,2,3,5,60.0,79,0,2,2,2,2,2,0,0,0,0,0,1,1,0,0,1,2,4,0
10,Luke Ryan,Fremantle,Gen. Defender,20251005,0,3.8,9.5,91,78,0.01,0,88,16,2,18,88.9,545,0,1,0,1,0,2,0,0,5,0,0,0,0,0,0,1,4,8,0
