Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Alex Pearce,Fremantle,11.0,9.0,2.0,0.82,0.18,4.0,0.0,2.0,Key Defender
1,Andrew Brayshaw,Fremantle,26.0,8.0,18.0,0.31,0.69,1.0,1.0,6.0,Midfielder
1,Bailey Banfield,Fremantle,11.0,6.0,5.0,0.55,0.45,0.0,1.0,2.0,Gen. Defender
1,Brandon Walker,Fremantle,13.0,7.0,6.0,0.54,0.46,1.0,0.0,5.0,Gen. Defender
1,Brennan Cox,Fremantle,9.0,7.0,2.0,0.78,0.22,3.0,1.0,1.0,Key Defender
1,Caleb Serong,Fremantle,27.0,14.0,13.0,0.52,0.48,1.0,0.0,3.0,Midfielder
1,Corey Wagner,Fremantle,24.0,12.0,12.0,0.5,0.5,1.0,0.0,2.0,Midfielder
1,Heath Chapman,Fremantle,,,,,,,,,Gen. Defender
1,Jaeger O'Meara,Fremantle,31.0,9.0,22.0,0.29,0.71,6.0,0.0,3.0,Midfielder
1,Jeremy Sharp,Fremantle,19.0,8.0,11.0,0.42,0.58,3.0,0.0,3.0,Midfielder
1,Jordan Clark,Fremantle,23.0,11.0,12.0,0.48,0.52,5.0,0.0,2.0,Gen. Defender
1,Josh Treacy,Fremantle,9.0,5.0,4.0,0.56,0.44,3.0,1.0,1.0,Key Forward
1,Joshua Draper,Fremantle,9.0,5.0,4.0,0.56,0.44,5.0,0.0,2.0,Key Defender
1,Jye Amiss,Fremantle,7.0,4.0,3.0,0.57,0.43,2.0,0.0,2.0,Key Forward
1,Karl Worner,Fremantle,11.0,4.0,7.0,0.36,0.64,0.0,0.0,5.0,Gen. Defender
1,Liam Reidy,Fremantle,6.0,4.0,2.0,0.67,0.33,1.0,0.0,2.0,Ruck
1,Luke Jackson,Fremantle,16.0,7.0,9.0,0.44,0.56,2.0,0.0,3.0,Ruck
1,Luke Ryan,Fremantle,18.0,13.0,5.0,0.72,0.28,4.0,0.0,2.0,Gen. Defender
1,Matthew Johnson,Fremantle,27.0,12.0,15.0,0.44,0.56,3.0,0.0,4.0,Midfielder
1,Michael Frederick,Fremantle,13.0,10.0,3.0,0.77,0.23,4.0,2.0,4.0,Gen. Forward
1,Murphy Reid,Fremantle,13.0,10.0,3.0,0.77,0.23,3.0,4.0,0.0,Gen. Forward
1,Nathan O'Driscoll,Fremantle,25.0,11.0,14.0,0.44,0.56,2.0,0.0,4.0,Midfielder
1,Sam Switkowski,Fremantle,,,,,,,,,Gen. Forward
2,Alex Pearce,Fremantle,11.0,6.0,5.0,0.55,0.45,5.0,0.0,0.0,Key Defender
2,Andrew Brayshaw,Fremantle,19.0,6.0,13.0,0.32,0.68,2.0,0.0,8.0,Midfielder
2,Bailey Banfield,Fremantle,10.0,4.0,6.0,0.4,0.6,1.0,1.0,0.0,Gen. Defender
2,Brandon Walker,Fremantle,,,,,,,,,Gen. Defender
2,Brennan Cox,Fremantle,12.0,9.0,3.0,0.75,0.25,7.0,0.0,0.0,Key Defender
2,Caleb Serong,Fremantle,19.0,9.0,10.0,0.47,0.53,2.0,1.0,6.0,Midfielder
2,Corey Wagner,Fremantle,20.0,13.0,7.0,0.65,0.35,5.0,0.0,3.0,Midfielder
2,Heath Chapman,Fremantle,12.0,8.0,4.0,0.67,0.33,4.0,0.0,3.0,Gen. Defender
2,Jaeger O'Meara,Fremantle,32.0,11.0,21.0,0.34,0.66,4.0,0.0,2.0,Midfielder
2,Jeremy Sharp,Fremantle,18.0,10.0,8.0,0.56,0.44,4.0,0.0,0.0,Midfielder
2,Jordan Clark,Fremantle,24.0,15.0,9.0,0.62,0.38,5.0,0.0,2.0,Gen. Defender
2,Josh Treacy,Fremantle,13.0,8.0,5.0,0.62,0.38,7.0,4.0,2.0,Key Forward
2,Joshua Draper,Fremantle,,,,,,,,,Key Defender
2,Jye Amiss,Fremantle,8.0,5.0,3.0,0.62,0.38,4.0,1.0,1.0,Key Forward
2,Luke Jackson,Fremantle,20.0,6.0,14.0,0.3,0.7,3.0,1.0,5.0,Ruck
2,Luke Ryan,Fremantle,23.0,19.0,4.0,0.83,0.17,7.0,0.0,1.0,Gen. Defender
2,Matthew Johnson,Fremantle,17.0,11.0,6.0,0.65,0.35,6.0,0.0,2.0,Midfielder
2,Michael Frederick,Fremantle,12.0,6.0,6.0,0.5,0.5,3.0,0.0,0.0,Gen. Forward
2,Murphy Reid,Fremantle,14.0,9.0,5.0,0.64,0.36,1.0,0.0,2.0,Gen. Forward
2,Nathan O'Driscoll,Fremantle,25.0,15.0,10.0,0.6,0.4,3.0,0.0,2.0,Midfielder
2,Neil Erasmus,Fremantle,14.0,8.0,6.0,0.57,0.43,3.0,0.0,2.0,Midfielder
2,Patrick Voss,Fremantle,13.0,9.0,4.0,0.69,0.31,6.0,1.0,1.0,Key Forward
2,Shai Bolton,Fremantle,15.0,9.0,6.0,0.6,0.4,0.0,0.0,4.0,Mid-Forward
3,Alex Pearce,Fremantle,8.0,7.0,1.0,0.88,0.12,5.0,0.0,0.0,Key Defender
3,Andrew Brayshaw,Fremantle,29.0,17.0,12.0,0.59,0.41,1.0,0.0,7.0,Midfielder
3,Bailey Banfield,Fremantle,18.0,9.0,9.0,0.5,0.5,2.0,0.0,2.0,Gen. Defender
3,Brennan Cox,Fremantle,6.0,5.0,1.0,0.83,0.17,3.0,0.0,0.0,Key Defender
3,Caleb Serong,Fremantle,35.0,18.0,17.0,0.51,0.49,2.0,0.0,1.0,Midfielder
3,Heath Chapman,Fremantle,12.0,10.0,2.0,0.83,0.17,5.0,0.0,1.0,Gen. Defender
3,Isaiah Dudley,Fremantle,10.0,9.0,1.0,0.9,0.1,3.0,2.0,0.0,Gen. Forward
3,James Aish,Fremantle,,,,,,,,,Gen. Defender
3,Jeremy Sharp,Fremantle,9.0,5.0,4.0,0.56,0.44,2.0,0.0,1.0,Midfielder
3,Jordan Clark,Fremantle,18.0,15.0,3.0,0.83,0.17,6.0,1.0,4.0,Gen. Defender
3,Josh Treacy,Fremantle,13.0,6.0,7.0,0.46,0.54,5.0,3.0,1.0,Key Forward
3,Joshua Draper,Fremantle,4.0,3.0,1.0,0.75,0.25,2.0,0.0,0.0,Key Defender
3,Jye Amiss,Fremantle,10.0,7.0,3.0,0.7,0.3,6.0,4.0,1.0,Key Forward
3,Karl Worner,Fremantle,13.0,9.0,4.0,0.69,0.31,3.0,0.0,0.0,Gen. Defender
3,Luke Jackson,Fremantle,17.0,7.0,10.0,0.41,0.59,5.0,1.0,2.0,Ruck
3,Luke Ryan,Fremantle,16.0,14.0,2.0,0.88,0.12,6.0,0.0,1.0,Gen. Defender
3,Matthew Johnson,Fremantle,17.0,10.0,7.0,0.59,0.41,5.0,1.0,2.0,Midfielder
3,Michael Frederick,Fremantle,14.0,10.0,4.0,0.71,0.29,7.0,1.0,0.0,Gen. Forward
3,Murphy Reid,Fremantle,19.0,9.0,10.0,0.47,0.53,2.0,0.0,5.0,Gen. Forward
3,Nathan O'Driscoll,Fremantle,22.0,15.0,7.0,0.68,0.32,4.0,1.0,6.0,Midfielder
3,Neil Erasmus,Fremantle,18.0,8.0,10.0,0.44,0.56,5.0,0.0,1.0,Midfielder
3,Patrick Voss,Fremantle,12.0,9.0,3.0,0.75,0.25,7.0,1.0,1.0,Key Forward
3,Shai Bolton,Fremantle,21.0,7.0,14.0,0.33,0.67,3.0,0.0,2.0,Mid-Forward
4,Alex Pearce,Fremantle,13.0,4.0,9.0,0.31,0.69,5.0,0.0,3.0,Key Defender
4,Andrew Brayshaw,Fremantle,29.0,12.0,17.0,0.41,0.59,2.0,1.0,9.0,Midfielder
4,Bailey Banfield,Fremantle,13.0,6.0,7.0,0.46,0.54,1.0,1.0,3.0,Gen. Defender
4,Brennan Cox,Fremantle,16.0,10.0,6.0,0.62,0.38,7.0,0.0,2.0,Key Defender
4,Caleb Serong,Fremantle,38.0,15.0,23.0,0.39,0.61,0.0,0.0,7.0,Midfielder
4,Corey Wagner,Fremantle,,,,,,,,,Midfielder
4,Heath Chapman,Fremantle,15.0,8.0,7.0,0.53,0.47,7.0,0.0,1.0,Gen. Defender
4,Isaiah Dudley,Fremantle,12.0,5.0,7.0,0.42,0.58,3.0,1.0,3.0,Gen. Forward
4,Jaeger O'Meara,Fremantle,15.0,4.0,11.0,0.27,0.73,1.0,0.0,4.0,Midfielder
4,Jeremy Sharp,Fremantle,21.0,10.0,11.0,0.48,0.52,4.0,1.0,0.0,Midfielder
4,Jordan Clark,Fremantle,26.0,18.0,8.0,0.69,0.31,5.0,0.0,3.0,Gen. Defender
4,Josh Treacy,Fremantle,15.0,12.0,3.0,0.8,0.2,8.0,3.0,3.0,Key Forward
4,Joshua Draper,Fremantle,8.0,5.0,3.0,0.62,0.38,2.0,0.0,2.0,Key Defender
4,Jye Amiss,Fremantle,7.0,4.0,3.0,0.57,0.43,3.0,1.0,2.0,Key Forward
4,Karl Worner,Fremantle,,,,,,,,,Gen. Defender
4,Luke Jackson,Fremantle,,,,,,,,,Ruck
4,Luke Ryan,Fremantle,26.0,23.0,3.0,0.88,0.12,6.0,0.0,4.0,Gen. Defender
4,Matthew Johnson,Fremantle,13.0,5.0,8.0,0.38,0.62,1.0,0.0,3.0,Midfielder
4,Michael Frederick,Fremantle,13.0,11.0,2.0,0.85,0.15,5.0,3.0,3.0,Gen. Forward
4,Murphy Reid,Fremantle,16.0,7.0,9.0,0.44,0.56,3.0,1.0,1.0,Gen. Forward
4,Nathan O'Driscoll,Fremantle,,,,,,,,,Midfielder
4,Patrick Voss,Fremantle,9.0,3.0,6.0,0.33,0.67,0.0,0.0,5.0,Key Forward
4,Shai Bolton,Fremantle,14.0,10.0,4.0,0.71,0.29,4.0,2.0,2.0,Mid-Forward
5,Alex Pearce,Fremantle,14.0,11.0,3.0,0.79,0.21,7.0,1.0,2.0,Key Defender
5,Andrew Brayshaw,Fremantle,31.0,12.0,19.0,0.39,0.61,2.0,0.0,10.0,Midfielder
5,Bailey Banfield,Fremantle,14.0,7.0,7.0,0.5,0.5,3.0,0.0,0.0,Gen. Defender
5,Brennan Cox,Fremantle,18.0,10.0,8.0,0.56,0.44,8.0,0.0,0.0,Key Defender
5,Caleb Serong,Fremantle,29.0,17.0,12.0,0.59,0.41,4.0,0.0,4.0,Midfielder
5,Hayden Young,Fremantle,18.0,13.0,5.0,0.72,0.28,3.0,2.0,5.0,Midfielder
5,Heath Chapman,Fremantle,26.0,18.0,8.0,0.69,0.31,10.0,0.0,1.0,Gen. Defender
5,Isaiah Dudley,Fremantle,,,,,,,,,Gen. Forward
5,Jaeger O'Meara,Fremantle,21.0,8.0,13.0,0.38,0.62,1.0,0.0,3.0,Midfielder
5,Jeremy Sharp,Fremantle,21.0,11.0,10.0,0.52,0.48,8.0,0.0,0.0,Midfielder
5,Jordan Clark,Fremantle,23.0,14.0,9.0,0.61,0.39,5.0,0.0,3.0,Gen. Defender
5,Josh Treacy,Fremantle,11.0,10.0,1.0,0.91,0.09,8.0,6.0,3.0,Key Forward
5,Joshua Draper,Fremantle,10.0,3.0,7.0,0.3,0.7,2.0,0.0,1.0,Key Defender
5,Jye Amiss,Fremantle,2.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,Key Forward
5,Karl Worner,Fremantle,19.0,13.0,6.0,0.68,0.32,9.0,0.0,2.0,Gen. Defender
5,Luke Ryan,Fremantle,16.0,10.0,6.0,0.62,0.38,6.0,0.0,0.0,Gen. Defender
5,Matthew Johnson,Fremantle,17.0,6.0,11.0,0.35,0.65,4.0,0.0,7.0,Midfielder
5,Michael Frederick,Fremantle,13.0,9.0,4.0,0.69,0.31,5.0,3.0,2.0,Gen. Forward
5,Murphy Reid,Fremantle,9.0,7.0,2.0,0.78,0.22,1.0,1.0,3.0,Gen. Forward
5,Patrick Voss,Fremantle,10.0,4.0,6.0,0.4,0.6,1.0,1.0,5.0,Key Forward
5,Sam Switkowski,Fremantle,6.0,4.0,2.0,0.67,0.33,1.0,0.0,5.0,Gen. Forward
5,Sean Darcy,Fremantle,9.0,3.0,6.0,0.33,0.67,0.0,0.0,4.0,Ruck
5,Shai Bolton,Fremantle,19.0,13.0,6.0,0.68,0.32,6.0,2.0,1.0,Mid-Forward
6,Alex Pearce,Fremantle,12.0,4.0,8.0,0.33,0.67,3.0,0.0,1.0,Key Defender
6,Andrew Brayshaw,Fremantle,33.0,15.0,18.0,0.45,0.55,3.0,1.0,3.0,Midfielder
