Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Bailey Smith,Geelong,Midfielder,20250103,10,25.1,9.25,147,126,2.29,51,80,19,13,32,71.9,693,6,15,12,8,7,4,26,7,5,0,0,2,1,1,2,12,5,26,0
1,Max Holmes,Geelong,Midfielder,20250103,4,22.5,13.49,125,106,1.28,20,74,16,8,24,75.0,406,3,11,8,4,3,4,62,7,4,0,0,2,2,0,0,6,5,23,0
1,Jeremy Cameron,Geelong,Key Forward,20250103,1,16.2,10.7,79,101,0.94,13,89,12,3,15,60.0,285,3,8,3,6,2,1,0,2,8,1,4,6,4,1,0,8,3,7,0
1,Mitch Knevitt,Geelong,Midfielder,20250103,0,14.9,6.27,82,103,0.06,1,68,9,12,21,66.7,396,6,11,7,4,2,2,56,4,2,0,0,0,0,0,0,6,11,24,0
1,Mark Blicavs,Geelong,Ruck,20250103,0,14.7,10.34,81,68,0.0,0,80,9,3,12,75.0,173,3,5,4,2,2,4,18,3,4,2,0,0,0,0,1,8,3,15,10
1,Patrick Dangerfield,Geelong,Gen. Forward,20250103,1,14.5,13.07,80,59,0.02,0,70,6,6,12,66.7,215,1,8,6,6,4,2,21,1,0,0,0,4,2,2,1,9,3,8,1
1,Lawson Humphries,Geelong,Gen. Defender,20250103,0,13.7,11.79,97,91,0.03,0,83,18,5,23,78.3,552,6,5,4,4,3,4,0,2,7,0,0,1,0,1,2,6,1,9,0
1,Tyson Stengle,Geelong,Gen. Forward,20250103,0,13.3,10.84,79,67,0.03,0,79,7,5,12,75.0,193,1,8,6,7,5,1,0,1,3,1,0,4,3,0,0,8,5,11,0
1,Oliver Dempsey,Geelong,Midfielder,20250103,0,12.8,10.52,80,81,0.02,0,88,8,7,15,80.0,177,3,6,4,5,4,3,0,0,4,2,0,3,2,1,0,8,5,19,0
1,Shannon Neale,Geelong,Key Forward,20250103,3,11.3,6.79,70,57,0.01,0,84,7,2,9,88.9,264,4,5,1,5,1,0,0,0,5,0,3,2,1,1,4,7,3,10,6
1,Jack Henry,Geelong,Key Defender,20250103,4,10.9,8.9,99,117,0.23,3,95,20,4,24,79.2,236,0,10,5,10,5,11,0,0,14,3,2,0,0,0,0,3,1,5,0
1,Tom Atkins,Geelong,Midfielder,20250103,0,10.3,11.06,85,80,0.01,0,80,5,5,10,50.0,199,2,7,5,2,1,2,65,2,1,0,0,1,1,0,0,2,12,36,0
1,Sam De Koning,Geelong,Key Defender,20250103,4,9.8,8.53,109,124,0.65,9,78,15,10,25,64.0,481,6,7,3,2,1,2,82,3,6,1,0,1,1,0,1,5,4,14,18
1,Brad Close,Geelong,Gen. Forward,20250103,0,9.4,7.64,76,61,0.01,0,75,9,6,15,66.7,132,1,6,5,6,5,3,0,0,1,0,0,1,1,0,1,7,3,15,0
1,Oliver Henry,Geelong,Key Forward,20250103,0,9.2,7.3,48,56,0.02,0,85,6,3,9,55.6,146,1,4,2,2,1,0,0,1,2,0,1,4,3,0,0,4,2,7,0
1,Tom Stewart,Geelong,Gen. Defender,20250103,0,9.2,11.69,100,95,0.14,2,77,20,3,23,91.3,535,2,5,4,5,4,8,50,0,11,3,0,0,0,0,1,6,1,12,0
1,Mark O'Connor,Geelong,Gen. Defender,20250103,0,8.9,7.63,70,49,0.0,0,73,9,4,13,84.6,271,0,6,4,3,2,2,0,2,3,0,0,0,0,0,0,6,1,4,0
1,Zach Guthrie,Geelong,Gen. Defender,20250103,0,8.8,9.28,102,93,0.02,0,80,19,2,21,90.5,491,1,3,2,3,2,5,0,0,9,1,0,0,0,0,0,2,1,16,0
1,Jhye Clark,Geelong,Midfielder,20250103,0,5.9,3.21,19,20,0.0,0,14,2,3,5,100.0,113,2,4,4,2,2,2,18,2,0,0,0,0,0,0,0,3,2,4,0
1,Jack Bowes,Geelong,Midfielder,20250103,0,5.9,10.47,62,64,0.0,0,80,6,3,9,44.4,152,2,2,2,2,2,1,0,0,2,0,0,1,1,0,0,3,7,15,0
1,Connor O'Sullivan,Geelong,Key Defender,20250103,0,5.8,5.83,48,50,0.01,0,91,6,5,11,81.8,141,0,3,2,3,2,3,0,0,7,1,1,0,0,0,0,2,1,9,0
