Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Bailey Smith,Geelong,Midfielder,32.0,19.0,13.0,0.59,0.41,5.0,1.0,5.0,0.59,-0.77,1.36,0.14
1,Brad Close,Geelong,Gen. Forward,15.0,9.0,6.0,0.6,0.4,1.0,1.0,3.0,2.4,1.48,0.92,-1.68
1,Connor O'Sullivan,Geelong,Key Defender,11.0,6.0,5.0,0.55,0.45,7.0,0.0,1.0,-1.58,-1.17,-0.42,1.17
1,Gryan Miers,Geelong,Gen. Forward,14.0,14.0,0.0,1.0,0.0,8.0,1.0,6.0,-8.52,-0.87,-7.65,2.26
1,Jack Bowes,Geelong,Midfielder,9.0,6.0,3.0,0.67,0.33,2.0,1.0,7.0,-5.1,-2.85,-2.25,-0.6
1,Jack Henry,Geelong,Key Defender,24.0,20.0,4.0,0.83,0.17,14.0,0.0,1.0,11.7,10.0,1.7,7.4
1,Jeremy Cameron,Geelong,Key Forward,15.0,12.0,3.0,0.8,0.2,8.0,4.0,3.0,1.24,0.72,0.52,2.08
1,Jhye Clark,Geelong,Midfielder,,,,,,,,,,,,
1,Lawson Humphries,Geelong,Gen. Defender,23.0,18.0,5.0,0.78,0.22,7.0,0.0,1.0,7.12,5.88,1.25,1.71
1,Mark Blicavs,Geelong,Ruck,12.0,9.0,3.0,0.75,0.25,4.0,0.0,3.0,-2.33,2.71,-5.04,0.04
1,Mark O'Connor,Geelong,Gen. Defender,13.0,9.0,4.0,0.69,0.31,3.0,0.0,1.0,-0.88,0.04,-0.92,-2.12
1,Max Holmes,Geelong,Midfielder,24.0,16.0,8.0,0.67,0.33,4.0,2.0,5.0,-2.64,-0.6,-2.04,-1.32
1,Mitch Knevitt,Geelong,Midfielder,21.0,9.0,12.0,0.43,0.57,2.0,0.0,11.0,9.43,3.71,5.71,-0.43
1,Oisin Mullin,Geelong,Gen. Defender,6.0,5.0,1.0,0.83,0.17,4.0,0.0,4.0,-4.04,-0.54,-3.5,0.92
1,Oliver Dempsey,Geelong,Midfielder,15.0,8.0,7.0,0.53,0.47,4.0,2.0,5.0,-1.88,-1.44,-0.44,0.16
1,Oliver Henry,Geelong,Key Forward,9.0,6.0,3.0,0.67,0.33,2.0,3.0,2.0,1.2,0.67,0.53,-0.4
1,Patrick Dangerfield,Geelong,Gen. Forward,12.0,6.0,6.0,0.5,0.5,0.0,2.0,3.0,-3.46,-2.0,-1.46,-3.41
1,Sam De Koning,Geelong,Key Defender,25.0,15.0,10.0,0.6,0.4,6.0,1.0,4.0,11.41,7.5,3.91,0.96
1,Shannon Neale,Geelong,Key Forward,9.0,7.0,2.0,0.78,0.22,5.0,1.0,3.0,0.5,1.75,-1.25,0.88
1,Tom Atkins,Geelong,Midfielder,10.0,5.0,5.0,0.5,0.5,1.0,1.0,12.0,-9.64,-3.64,-6.0,-1.08
1,Tom Stewart,Geelong,Gen. Defender,23.0,20.0,3.0,0.87,0.13,11.0,0.0,1.0,4.45,5.2,-0.75,3.65
1,Tyson Stengle,Geelong,Gen. Forward,12.0,7.0,5.0,0.58,0.42,3.0,3.0,5.0,-0.39,-1.04,0.65,-0.04
1,Zach Guthrie,Geelong,Gen. Defender,21.0,19.0,2.0,0.9,0.1,9.0,0.0,1.0,3.48,6.36,-2.88,2.36
2,Brad Close,Geelong,Gen. Forward,7.0,2.0,5.0,0.29,0.71,0.0,1.0,4.0,-5.6,-5.52,-0.08,-2.68
2,Connor O'Sullivan,Geelong,Key Defender,15.0,11.0,4.0,0.73,0.27,7.0,0.0,3.0,2.42,3.83,-1.42,1.17
2,Gryan Miers,Geelong,Gen. Forward,20.0,10.0,10.0,0.5,0.5,5.0,0.0,2.0,-2.52,-4.87,2.35,-0.74
2,Jack Bowes,Geelong,Midfielder,10.0,7.0,3.0,0.7,0.3,0.0,0.0,4.0,-4.1,-1.85,-2.25,-2.6
2,Jack Henry,Geelong,Key Defender,15.0,12.0,3.0,0.8,0.2,10.0,0.0,1.0,2.7,2.0,0.7,3.4
2,Jeremy Cameron,Geelong,Key Forward,16.0,9.0,7.0,0.56,0.44,2.0,1.0,1.0,2.24,-2.28,4.52,-3.92
2,Jhye Clark,Geelong,Midfielder,14.0,12.0,2.0,0.86,0.14,1.0,0.0,3.0,5.44,7.0,-1.56,-0.33
2,Lawson Humphries,Geelong,Gen. Defender,22.0,14.0,8.0,0.64,0.36,8.0,0.0,2.0,6.12,1.88,4.25,2.71
2,Mark Blicavs,Geelong,Ruck,16.0,8.0,8.0,0.5,0.5,4.0,1.0,2.0,1.67,1.71,-0.04,0.04
2,Mark O'Connor,Geelong,Gen. Defender,16.0,10.0,6.0,0.62,0.38,5.0,0.0,3.0,2.12,1.04,1.08,-0.12
2,Max Holmes,Geelong,Midfielder,19.0,11.0,8.0,0.58,0.42,4.0,1.0,4.0,-7.64,-5.6,-2.04,-1.32
2,Mitch Knevitt,Geelong,Midfielder,16.0,5.0,11.0,0.31,0.69,3.0,1.0,7.0,4.43,-0.29,4.71,0.57
2,Oisin Mullin,Geelong,Gen. Defender,7.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,-3.04,-5.54,2.5,-3.08
2,Oliver Dempsey,Geelong,Midfielder,12.0,7.0,5.0,0.58,0.42,2.0,2.0,2.0,-4.88,-2.44,-2.44,-1.84
2,Oliver Henry,Geelong,Key Forward,9.0,6.0,3.0,0.67,0.33,3.0,0.0,3.0,1.2,0.67,0.53,0.6
2,Patrick Dangerfield,Geelong,Gen. Forward,18.0,9.0,9.0,0.5,0.5,1.0,0.0,2.0,2.54,1.0,1.54,-2.41
2,Sam De Koning,Geelong,Key Defender,16.0,8.0,8.0,0.5,0.5,4.0,0.0,1.0,2.41,0.5,1.91,-1.04
2,Shannon Neale,Geelong,Key Forward,5.0,4.0,1.0,0.8,0.2,3.0,2.0,5.0,-3.5,-1.25,-2.25,-1.12
2,Ted Clohesy,Geelong,Mid-Forward,,,,,,,,,,,,
2,Tom Atkins,Geelong,Midfielder,20.0,8.0,12.0,0.4,0.6,2.0,0.0,11.0,0.36,-0.64,1.0,-0.08
2,Tom Stewart,Geelong,Gen. Defender,,,,,,,,,,,,
2,Tyson Stengle,Geelong,Gen. Forward,9.0,6.0,3.0,0.67,0.33,5.0,2.0,7.0,-3.39,-2.04,-1.35,1.96
2,Zach Guthrie,Geelong,Gen. Defender,21.0,16.0,5.0,0.76,0.24,5.0,0.0,2.0,3.48,3.36,0.12,-1.64
3,Bailey Smith,Geelong,Midfielder,25.0,18.0,7.0,0.72,0.28,3.0,0.0,11.0,-6.41,-1.77,-4.64,-1.86
3,Brad Close,Geelong,Gen. Forward,10.0,8.0,2.0,0.8,0.2,3.0,1.0,4.0,-2.6,0.48,-3.08,0.32
3,Connor O'Sullivan,Geelong,Key Defender,10.0,4.0,6.0,0.4,0.6,5.0,0.0,2.0,-2.58,-3.17,0.58,-0.83
3,Gryan Miers,Geelong,Gen. Forward,22.0,15.0,7.0,0.68,0.32,8.0,0.0,7.0,-0.52,0.13,-0.65,2.26
3,Jack Bowes,Geelong,Midfielder,19.0,16.0,3.0,0.84,0.16,1.0,0.0,3.0,4.9,7.15,-2.25,-1.6
3,Jack Henry,Geelong,Key Defender,12.0,12.0,0.0,1.0,0.0,4.0,0.0,0.0,-0.3,2.0,-2.3,-2.6
3,Jeremy Cameron,Geelong,Key Forward,8.0,8.0,0.0,1.0,0.0,4.0,1.0,0.0,-5.76,-3.28,-2.48,-1.92
3,Jhye Clark,Geelong,Midfielder,12.0,7.0,5.0,0.58,0.42,3.0,1.0,4.0,3.44,2.0,1.44,1.67
3,Lawson Humphries,Geelong,Gen. Defender,18.0,11.0,7.0,0.61,0.39,4.0,0.0,4.0,2.12,-1.12,3.25,-1.29
3,Mark Blicavs,Geelong,Ruck,12.0,8.0,4.0,0.67,0.33,2.0,1.0,5.0,-2.33,1.71,-4.04,-1.96
3,Mark O'Connor,Geelong,Gen. Defender,12.0,5.0,7.0,0.42,0.58,4.0,0.0,2.0,-1.88,-3.96,2.08,-1.12
3,Max Holmes,Geelong,Midfielder,29.0,19.0,10.0,0.66,0.34,9.0,1.0,3.0,2.36,2.4,-0.04,3.68
3,Mitch Knevitt,Geelong,Midfielder,,,,,,,,,,,,
3,Oisin Mullin,Geelong,Gen. Defender,15.0,9.0,6.0,0.6,0.4,6.0,0.0,1.0,4.96,3.46,1.5,2.92
3,Oliver Dempsey,Geelong,Midfielder,11.0,7.0,4.0,0.64,0.36,2.0,1.0,1.0,-5.88,-2.44,-3.44,-1.84
3,Oliver Henry,Geelong,Key Forward,9.0,9.0,0.0,1.0,0.0,3.0,1.0,0.0,1.2,3.67,-2.47,0.6
3,Patrick Dangerfield,Geelong,Gen. Forward,16.0,13.0,3.0,0.81,0.19,4.0,2.0,5.0,0.54,5.0,-4.46,0.59
3,Sam De Koning,Geelong,Key Defender,16.0,9.0,7.0,0.56,0.44,2.0,0.0,0.0,2.41,1.5,0.91,-3.04
3,Shannon Neale,Geelong,Key Forward,5.0,3.0,2.0,0.6,0.4,1.0,0.0,4.0,-3.5,-2.25,-1.25,-3.12
3,Ted Clohesy,Geelong,Mid-Forward,13.0,8.0,5.0,0.62,0.38,2.0,0.0,3.0,5.11,2.67,2.44,0.22
3,Tom Atkins,Geelong,Midfielder,14.0,6.0,8.0,0.43,0.57,1.0,0.0,14.0,-5.64,-2.64,-3.0,-1.08
3,Tyson Stengle,Geelong,Gen. Forward,10.0,8.0,2.0,0.8,0.2,1.0,0.0,2.0,-2.39,-0.04,-2.35,-2.04
3,Zach Guthrie,Geelong,Gen. Defender,18.0,15.0,3.0,0.83,0.17,5.0,0.0,0.0,0.48,2.36,-1.88,-1.64
4,Bailey Smith,Geelong,Midfielder,28.0,20.0,8.0,0.71,0.29,7.0,0.0,8.0,-3.41,0.23,-3.64,2.14
4,Brad Close,Geelong,Gen. Forward,18.0,9.0,9.0,0.5,0.5,6.0,0.0,0.0,5.4,1.48,3.92,3.32
4,Connor O'Sullivan,Geelong,Key Defender,23.0,13.0,10.0,0.57,0.43,13.0,0.0,0.0,10.42,5.83,4.58,7.17
4,Gryan Miers,Geelong,Gen. Forward,26.0,19.0,7.0,0.73,0.27,10.0,0.0,0.0,3.48,4.13,-0.65,4.26
4,Jack Bowes,Geelong,Midfielder,18.0,12.0,6.0,0.67,0.33,6.0,2.0,3.0,3.9,3.15,0.75,3.4
4,Jack Henry,Geelong,Key Defender,,,,,,,,,,,,
4,Jeremy Cameron,Geelong,Key Forward,22.0,18.0,4.0,0.82,0.18,7.0,1.0,2.0,8.24,6.72,1.52,1.08
4,Lawson Humphries,Geelong,Gen. Defender,23.0,20.0,3.0,0.87,0.13,13.0,0.0,2.0,7.12,7.88,-0.75,7.71
4,Mark O'Connor,Geelong,Gen. Defender,,,,,,,,,,,,
