Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Matt Rowell,Gold Coast,Midfielder,20250109,5,25.3,14.87,137,108,1.23,18,79,17,13,30,70.0,465,6,15,9,4,4,3,77,10,0,0,0,0,0,0,0,8,8,16,0
1,Ben Long,Gold Coast,Gen. Forward,20250109,0,21.3,7.02,96,73,0.02,0,79,9,3,12,83.3,282,4,7,4,7,4,2,0,0,5,0,0,6,4,1,1,9,0,6,0
1,Noah Anderson,Gold Coast,Midfielder,20250109,8,21.1,15.25,136,117,2.25,48,80,16,20,36,66.7,723,9,14,8,1,1,1,74,9,3,0,0,1,0,0,3,7,5,13,0
1,Touk Miller,Gold Coast,Midfielder,20250109,4,20.7,13.19,128,95,0.69,9,73,12,14,26,69.2,272,3,17,9,4,2,1,58,10,4,0,0,4,2,1,0,7,2,19,0
1,Jarrod Witts,Gold Coast,Ruck,20250109,10,17.8,13.08,144,125,0.67,9,83,6,7,13,61.5,203,3,9,4,3,3,3,84,5,2,1,0,0,0,0,0,8,4,11,68
1,Joel Jeffrey,Gold Coast,Gen. Defender,20250109,0,16.9,8.6,95,80,0.01,0,79,14,6,20,90.0,525,4,4,2,4,2,6,0,0,4,1,0,0,0,0,1,9,3,8,0
1,Bailey Humphrey,Gold Coast,Mid-Forward,20250109,1,14.1,8.42,104,66,0.01,0,86,8,12,20,70.0,269,6,11,9,3,3,2,32,5,4,1,0,0,0,0,5,7,2,13,0
1,Daniel Rioli,Gold Coast,Gen. Defender,20250109,0,13.0,10.77,91,78,0.02,0,82,12,9,21,71.4,396,3,5,5,4,4,8,0,1,5,3,0,3,2,0,0,4,0,9,0
1,Will Graham,Gold Coast,Gen. Forward,20250109,0,12.8,9.91,72,64,0.0,0,79,7,2,9,66.7,311,2,5,4,2,2,1,29,2,2,0,0,2,1,1,2,4,7,14,0
1,Sam Collins,Gold Coast,Key Defender,20250109,0,12.6,11.97,73,61,0.0,0,88,8,4,12,75.0,300,2,5,3,4,2,6,0,1,7,3,1,0,0,0,1,5,2,6,0
