Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Alex Sexton,Gold Coast,Gen. Forward,,,,,,,,,,,,
1,Bailey Humphrey,Gold Coast,Mid-Forward,20.0,8.0,12.0,0.4,0.6,4.0,0.0,2.0,4.61,-0.17,4.78,1.17
1,Ben Ainsworth,Gold Coast,Gen. Forward,18.0,9.0,9.0,0.5,0.5,5.0,0.0,2.0,4.58,1.71,2.88,1.46
1,Ben King,Gold Coast,Key Forward,11.0,8.0,3.0,0.73,0.27,8.0,6.0,0.0,3.68,2.84,0.84,4.76
1,Ben Long,Gold Coast,Gen. Forward,12.0,9.0,3.0,0.75,0.25,5.0,4.0,0.0,1.21,1.0,0.21,0.46
1,Bodhi Uwland,Gold Coast,Gen. Defender,15.0,7.0,8.0,0.47,0.53,2.0,0.0,3.0,-1.0,-2.76,1.76,-3.36
1,Charlie Ballard,Gold Coast,Key Defender,,,,,,,,,,,,
1,Connor Budarick,Gold Coast,Gen. Forward,17.0,8.0,9.0,0.47,0.53,4.0,0.0,3.0,5.32,1.68,3.63,0.95
1,Daniel Rioli,Gold Coast,Gen. Defender,21.0,12.0,9.0,0.57,0.43,5.0,2.0,0.0,2.4,1.65,0.75,1.5
1,Ethan Read,Gold Coast,Key Forward,10.0,7.0,3.0,0.7,0.3,3.0,2.0,2.0,2.43,1.76,0.67,0.33
1,Jake Rogers,Gold Coast,Gen. Forward,13.0,6.0,7.0,0.46,0.54,4.0,3.0,1.0,5.78,2.0,3.78,2.89
1,Jarrod Witts,Gold Coast,Ruck,13.0,6.0,7.0,0.46,0.54,2.0,0.0,4.0,0.25,1.04,-0.79,0.42
1,Joel Jeffrey,Gold Coast,Gen. Defender,20.0,14.0,6.0,0.7,0.3,4.0,0.0,3.0,1.16,1.08,0.08,-1.6
1,John Noble,Gold Coast,Gen. Defender,19.0,14.0,5.0,0.74,0.26,2.0,0.0,2.0,-6.28,-3.44,-2.84,-2.84
1,Lachie Weller,Gold Coast,Midfielder,21.0,9.0,12.0,0.43,0.57,2.0,0.0,6.0,5.63,1.32,4.32,-0.42
1,Matt Rowell,Gold Coast,Midfielder,30.0,17.0,13.0,0.57,0.43,0.0,0.0,8.0,3.72,4.68,-0.96,-1.64
1,Nick Holman,Gold Coast,Mid-Forward,14.0,7.0,7.0,0.5,0.5,1.0,0.0,5.0,5.56,3.75,1.81,0.0
1,Noah Anderson,Gold Coast,Midfielder,36.0,16.0,20.0,0.44,0.56,3.0,0.0,5.0,5.92,1.24,4.68,-0.72
1,Sam Clohesy,Gold Coast,Midfielder,9.0,7.0,2.0,0.78,0.22,1.0,0.0,1.0,-6.29,-1.93,-4.36,-2.64
1,Sam Collins,Gold Coast,Key Defender,12.0,8.0,4.0,0.67,0.33,7.0,0.0,2.0,0.54,0.68,-0.14,1.96
1,Touk Miller,Gold Coast,Midfielder,26.0,12.0,14.0,0.46,0.54,4.0,2.0,2.0,1.26,0.91,0.35,1.04
1,Wil Powell,Gold Coast,Gen. Defender,13.0,8.0,5.0,0.62,0.38,5.0,0.0,3.0,-3.2,-1.44,-1.76,0.2
1,Will Graham,Gold Coast,Gen. Forward,9.0,7.0,2.0,0.78,0.22,2.0,1.0,7.0,-1.5,1.25,-2.75,-0.12
3,Bailey Humphrey,Gold Coast,Mid-Forward,23.0,10.0,13.0,0.43,0.57,3.0,1.0,6.0,7.61,1.83,5.78,0.17
3,Ben King,Gold Coast,Key Forward,12.0,9.0,3.0,0.75,0.25,4.0,4.0,2.0,4.68,3.84,0.84,0.76
3,Ben Long,Gold Coast,Gen. Forward,14.0,10.0,4.0,0.71,0.29,5.0,1.0,2.0,3.21,2.0,1.21,0.46
3,Bodhi Uwland,Gold Coast,Gen. Defender,15.0,9.0,6.0,0.6,0.4,3.0,0.0,2.0,-1.0,-0.76,-0.24,-2.36
3,Connor Budarick,Gold Coast,Gen. Forward,14.0,8.0,6.0,0.57,0.43,5.0,0.0,4.0,2.32,1.68,0.63,1.95
3,Daniel Rioli,Gold Coast,Gen. Defender,20.0,13.0,7.0,0.65,0.35,3.0,0.0,0.0,1.4,2.65,-1.25,-0.5
3,Ethan Read,Gold Coast,Key Forward,7.0,5.0,2.0,0.71,0.29,3.0,1.0,2.0,-0.57,-0.24,-0.33,0.33
3,Jake Rogers,Gold Coast,Gen. Forward,,,,,,,,,,,,
3,Jarrod Witts,Gold Coast,Ruck,13.0,4.0,9.0,0.31,0.69,1.0,1.0,4.0,0.25,-0.96,1.21,-0.58
3,Jed Walter,Gold Coast,Key Forward,12.0,4.0,8.0,0.33,0.67,2.0,1.0,0.0,4.88,0.06,4.81,-0.44
3,Joel Jeffrey,Gold Coast,Gen. Defender,16.0,9.0,7.0,0.56,0.44,2.0,0.0,1.0,-2.84,-3.92,1.08,-3.6
3,John Noble,Gold Coast,Gen. Defender,29.0,22.0,7.0,0.76,0.24,8.0,1.0,3.0,3.72,4.56,-0.84,3.16
3,Lachie Weller,Gold Coast,Midfielder,10.0,4.0,6.0,0.4,0.6,2.0,1.0,2.0,-5.37,-3.68,-1.68,-0.42
