Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Aaron Cadman,Greater Western Sydney,Key Forward,9.0,5.0,4.0,0.56,0.44,4.0,2.0,1.0,-0.75,-2.21,1.46,-0.71
1,Brent Daniels,Greater Western Sydney,Gen. Forward,,,,,,,,,,,,
1,Callan Ward,Greater Western Sydney,Midfielder,16.0,6.0,10.0,0.38,0.62,2.0,0.0,1.0,0.92,-1.5,2.42,-1.5
1,Callum Brown,Greater Western Sydney,Gen. Forward,14.0,6.0,8.0,0.43,0.57,0.0,0.0,5.0,2.54,-1.41,3.96,-3.64
1,Connor Idun,Greater Western Sydney,Gen. Defender,12.0,7.0,5.0,0.58,0.42,4.0,0.0,1.0,-6.21,-2.96,-3.25,-2.75
1,Conor Stone,Greater Western Sydney,Gen. Defender,11.0,4.0,7.0,0.36,0.64,2.0,0.0,2.0,-3.0,-3.43,0.43,-2.14
1,Darcy Jones,Greater Western Sydney,Gen. Forward,12.0,6.0,6.0,0.5,0.5,1.0,0.0,4.0,-2.09,-1.3,-0.78,-1.0
1,Finn Callaghan,Greater Western Sydney,Midfielder,31.0,12.0,19.0,0.39,0.61,1.0,0.0,3.0,2.62,-2.9,5.52,-2.71
1,Harry Himmelberg,Greater Western Sydney,Gen. Defender,22.0,15.0,7.0,0.68,0.32,9.0,0.0,2.0,3.54,3.29,0.25,1.92
1,Jack Buckley,Greater Western Sydney,Key Defender,10.0,6.0,4.0,0.6,0.4,4.0,0.0,3.0,-2.26,-1.58,-0.68,-1.84
1,Jacob Wehr,Greater Western Sydney,Midfielder,16.0,9.0,7.0,0.56,0.44,1.0,1.0,4.0,2.64,1.0,1.64,-1.43
1,James Leake,Greater Western Sydney,Gen. Defender,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.0,-1.33,-3.67,-1.67
1,Josh Kelly,Greater Western Sydney,Midfielder,23.0,11.0,12.0,0.48,0.52,0.0,0.0,10.0,1.53,1.2,0.33,-3.47
1,Lachie Ash,Greater Western Sydney,Gen. Defender,19.0,10.0,9.0,0.53,0.47,6.0,0.0,0.0,-8.88,-8.46,-0.42,-0.21
1,Lachie Whitfield,Greater Western Sydney,Gen. Defender,34.0,19.0,15.0,0.56,0.44,5.0,0.0,4.0,5.35,-0.13,5.48,-2.09
1,Lachlan Keeffe,Greater Western Sydney,Ruck,13.0,10.0,3.0,0.77,0.23,1.0,1.0,6.0,3.33,3.67,-0.33,0.67
1,Max Gruzewski,Greater Western Sydney,Key Forward,,,,,,,,,,,,
1,Sam Taylor,Greater Western Sydney,Key Defender,15.0,8.0,7.0,0.53,0.47,4.0,0.0,0.0,1.0,0.25,0.75,-2.45
1,Stephen Coniglio,Greater Western Sydney,Midfielder,13.0,8.0,5.0,0.62,0.38,2.0,3.0,3.0,-2.2,-1.7,-0.5,0.4
1,Toby Bedford,Greater Western Sydney,Mid-Forward,8.0,4.0,4.0,0.5,0.5,1.0,0.0,9.0,-3.0,-1.43,-1.57,-1.09
1,Toby Greene,Greater Western Sydney,Gen. Forward,23.0,16.0,7.0,0.7,0.3,5.0,3.0,4.0,6.55,4.46,2.09,0.41
1,Tom Green,Greater Western Sydney,Midfielder,35.0,14.0,21.0,0.4,0.6,1.0,1.0,4.0,5.26,0.7,4.57,-2.0
1,Xavier O'Halloran,Greater Western Sydney,Midfielder,16.0,11.0,5.0,0.69,0.31,2.0,0.0,2.0,1.0,2.35,-1.35,-0.3
3,Aaron Cadman,Greater Western Sydney,Key Forward,7.0,4.0,3.0,0.57,0.43,1.0,1.0,4.0,-2.75,-3.21,0.46,-3.71
3,Brent Daniels,Greater Western Sydney,Gen. Forward,15.0,4.0,11.0,0.27,0.73,2.0,0.0,5.0,2.5,-1.5,4.0,0.17
