Round,Player,Team,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Josh Ward,Hawthorn,20250102,0,15.9,7.38,84,88,0.03,0,81,16,6,22,72.7,536,4,9,8,5,5,7,6,3,5,1,0,1,0,1,0,5,3,12,0
1,James Sicily,Hawthorn,20250102,2,15.9,11.55,109,88,0.14,1,96,18,6,24,91.7,620,1,4,4,3,3,7,0,1,7,3,0,0,0,0,0,5,0,8,0
1,Connor Macdonald,Hawthorn,20250102,2,15.8,8.87,104,94,0.05,0,81,13,10,23,82.6,281,5,9,7,6,4,4,0,1,8,0,0,2,1,0,2,7,1,15,0
1,Blake Hardwick,Hawthorn,20250102,0,15.0,9.4,77,69,0.01,0,94,8,5,13,76.9,312,2,3,3,3,3,1,0,0,5,0,0,2,2,0,0,3,2,7,0
1,Nick Watson,Hawthorn,20250102,0,14.8,8.44,100,69,0.02,0,74,8,5,13,92.3,243,2,5,3,5,3,1,0,0,3,0,0,3,3,0,2,5,2,9,0
1,Lloyd Meek,Hawthorn,20250102,0,14.1,12.26,78,63,0.01,0,86,3,8,11,36.4,39,0,9,7,3,3,2,91,2,1,0,0,0,0,0,0,6,2,10,33
1,Dylan Moore,Hawthorn,20250102,9,13.8,11.64,94,97,1.81,30,94,17,4,21,85.7,219,1,5,4,3,2,1,9,1,6,0,0,5,3,1,0,5,0,9,0
1,Tom Barrass,Hawthorn,20250102,0,12.6,10.59,69,54,0.0,0,87,8,4,12,91.7,183,1,5,3,5,3,8,0,0,3,0,1,0,0,0,0,1,3,5,0
1,Will Day,Hawthorn,20250102,0,11.7,12.69,77,77,0.05,0,81,9,7,16,75.0,214,2,7,3,3,1,2,73,2,5,2,1,2,1,1,0,5,4,17,0
1,Finn Maginness,Hawthorn,20250102,0,11.3,5.79,61,64,0.01,0,76,6,9,15,73.3,260,2,9,7,8,6,3,0,1,6,0,2,1,1,0,0,3,1,11,0
1,Josh Weddle,Hawthorn,20250102,0,11.3,10.64,62,44,0.0,0,79,3,3,6,100.0,103,1,4,1,4,1,3,0,0,2,1,2,1,1,0,0,3,4,10,0
1,Karl Amon,Hawthorn,20250102,6,11.3,9.74,122,111,0.64,7,84,21,7,28,92.9,643,7,3,1,1,0,1,0,1,10,0,0,0,0,0,2,7,2,8,0
1,Mabior Chol,Hawthorn,20250102,0,10.3,7.75,70,61,0.01,0,80,8,0,8,75.0,248,1,4,1,4,1,0,9,1,6,0,3,4,2,2,1,5,1,7,1
1,Massimo D'Ambrosio,Hawthorn,20250102,0,8.7,11.53,47,45,0.0,0,66,6,3,9,88.9,105,0,5,4,3,3,1,0,1,3,0,0,1,1,0,0,3,2,9,0
1,Harry Morrison,Hawthorn,20250102,0,8.2,8.87,64,73,0.0,0,84,10,4,14,100.0,151,0,4,2,4,2,5,0,0,9,1,0,0,0,0,0,2,3,25,0
1,Conor Nash,Hawthorn,20250102,0,8.0,9.63,84,102,0.05,0,75,9,13,22,68.2,261,2,8,5,1,1,1,64,3,4,0,0,0,0,0,0,4,10,23,0
1,Cam Mackenzie,Hawthorn,20250102,0,7.8,8.65,72,68,0.05,0,73,9,12,21,61.9,173,2,9,6,3,2,2,70,4,2,0,0,0,0,0,0,5,3,17,0
1,Jack Ginnivan,Hawthorn,20250102,0,6.7,8.36,62,70,0.02,0,83,10,5,15,53.3,261,3,4,2,4,2,2,0,1,4,0,1,3,2,1,0,6,1,16,0
1,Jarman Impey,Hawthorn,20250102,0,6.4,8.38,65,64,0.0,0,78,9,2,11,100.0,246,3,2,1,1,1,2,0,1,4,0,0,0,0,0,1,3,5,17,0
