Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Blake Hardwick,Hawthorn,Gen. Defender,13.0,8.0,5.0,0.62,0.38,5.0,2.0,2.0,-1.73,-2.0,0.27,0.46
1,Cam Mackenzie,Hawthorn,Midfielder,21.0,9.0,12.0,0.43,0.57,2.0,0.0,3.0,4.5,0.67,3.83,0.0
1,Connor Macdonald,Hawthorn,Gen. Forward,23.0,13.0,10.0,0.57,0.43,8.0,1.0,1.0,8.12,3.96,4.17,4.0
1,Conor Nash,Hawthorn,Midfielder,22.0,9.0,13.0,0.41,0.59,4.0,0.0,10.0,3.64,0.18,3.46,1.96
1,Dylan Moore,Hawthorn,Gen. Forward,21.0,17.0,4.0,0.81,0.19,6.0,3.0,0.0,1.58,6.46,-4.88,1.73
1,Finn Maginness,Hawthorn,Gen. Forward,15.0,6.0,9.0,0.4,0.6,6.0,1.0,1.0,1.69,-0.08,1.77,3.23
1,Harry Morrison,Hawthorn,Midfielder,14.0,10.0,4.0,0.71,0.29,9.0,0.0,3.0,-3.4,0.55,-3.95,4.45
1,Jack Ginnivan,Hawthorn,Gen. Forward,15.0,10.0,5.0,0.67,0.33,4.0,2.0,1.0,-3.64,-0.44,-3.2,0.44
1,Jack Scrimshaw,Hawthorn,Gen. Defender,,,,,,,,,,,,
1,Jai Newcombe,Hawthorn,Midfielder,25.0,20.0,5.0,0.8,0.2,3.0,0.0,3.0,2.08,9.81,-7.73,-0.5
1,James Sicily,Hawthorn,Gen. Defender,24.0,18.0,6.0,0.75,0.25,7.0,0.0,0.0,4.48,4.74,-0.26,0.35
1,Jarman Impey,Hawthorn,Gen. Defender,11.0,9.0,2.0,0.82,0.18,4.0,0.0,5.0,-8.29,-3.75,-4.54,-0.96
1,Josh Battle,Hawthorn,Key Defender,19.0,14.0,5.0,0.74,0.26,6.0,0.0,3.0,0.54,2.62,-2.08,0.77
1,Josh Ward,Hawthorn,Midfielder,22.0,16.0,6.0,0.73,0.27,5.0,0.0,3.0,1.44,5.56,-4.12,1.84
1,Josh Weddle,Hawthorn,Gen. Defender,6.0,3.0,3.0,0.5,0.5,2.0,1.0,4.0,-10.11,-6.06,-4.06,-2.94
1,Karl Amon,Hawthorn,Gen. Defender,28.0,21.0,7.0,0.75,0.25,10.0,0.0,2.0,4.0,3.96,0.04,5.36
1,Lloyd Meek,Hawthorn,Ruck,11.0,3.0,8.0,0.27,0.73,1.0,0.0,2.0,-2.52,-2.24,-0.28,-1.72
1,Mabior Chol,Hawthorn,Key Forward,8.0,8.0,0.0,1.0,0.0,6.0,2.0,1.0,-2.0,0.88,-2.88,2.08
1,Massimo D'Ambrosio,Hawthorn,Midfielder,9.0,6.0,3.0,0.67,0.33,3.0,1.0,2.0,-9.15,-5.85,-3.31,-1.08
1,Nick Watson,Hawthorn,Gen. Forward,13.0,8.0,5.0,0.62,0.38,3.0,3.0,2.0,2.12,2.2,-0.08,0.96
1,Sam Frost,Hawthorn,Key Defender,,,,,,,,,,,,
1,Tom Barrass,Hawthorn,Key Defender,12.0,8.0,4.0,0.67,0.33,3.0,0.0,3.0,2.32,2.32,0.0,-0.76
1,Will Day,Hawthorn,Midfielder,16.0,9.0,7.0,0.56,0.44,5.0,1.0,4.0,-5.0,-1.5,-3.5,2.0
2,Blake Hardwick,Hawthorn,Gen. Defender,13.0,10.0,3.0,0.77,0.23,5.0,2.0,3.0,-1.73,0.0,-1.73,0.46
2,Cam Mackenzie,Hawthorn,Midfielder,19.0,13.0,6.0,0.68,0.32,6.0,0.0,3.0,2.5,4.67,-2.17,4.0
2,Changkuoth Jiath,Hawthorn,Gen. Defender,20.0,12.0,8.0,0.6,0.4,3.0,0.0,3.0,6.2,4.35,1.85,0.3
2,Connor Macdonald,Hawthorn,Gen. Forward,,,,,,,,,,,,
2,Conor Nash,Hawthorn,Midfielder,16.0,9.0,7.0,0.56,0.44,2.0,0.0,7.0,-2.36,0.18,-2.54,-0.04
2,Dylan Moore,Hawthorn,Gen. Forward,9.0,5.0,4.0,0.56,0.44,1.0,1.0,5.0,-10.42,-5.54,-4.88,-3.27
2,Finn Maginness,Hawthorn,Gen. Forward,13.0,8.0,5.0,0.62,0.38,4.0,0.0,0.0,-0.31,1.92,-2.23,1.23
2,Harry Morrison,Hawthorn,Midfielder,12.0,5.0,7.0,0.42,0.58,1.0,0.0,7.0,-5.4,-4.45,-0.95,-3.55
2,Jack Ginnivan,Hawthorn,Gen. Forward,10.0,4.0,6.0,0.4,0.6,1.0,0.0,4.0,-8.64,-6.44,-2.2,-2.56
2,Jack Gunston,Hawthorn,Key Forward,9.0,6.0,3.0,0.67,0.33,5.0,2.0,2.0,-3.56,-3.48,-0.09,-0.17
2,Jai Newcombe,Hawthorn,Midfielder,32.0,16.0,16.0,0.5,0.5,5.0,0.0,11.0,9.08,5.81,3.27,1.5
2,James Sicily,Hawthorn,Gen. Defender,19.0,16.0,3.0,0.84,0.16,5.0,1.0,2.0,-0.52,2.74,-3.26,-1.65
2,Jarman Impey,Hawthorn,Gen. Defender,13.0,9.0,4.0,0.69,0.31,3.0,0.0,6.0,-6.29,-3.75,-2.54,-1.96
2,Josh Battle,Hawthorn,Key Defender,21.0,10.0,11.0,0.48,0.52,5.0,0.0,2.0,2.54,-1.38,3.92,-0.23
2,Josh Ward,Hawthorn,Midfielder,24.0,10.0,14.0,0.42,0.58,3.0,1.0,7.0,3.44,-0.44,3.88,-0.16
2,Josh Weddle,Hawthorn,Gen. Defender,10.0,5.0,5.0,0.5,0.5,3.0,0.0,4.0,-6.11,-4.06,-2.06,-1.94
2,Karl Amon,Hawthorn,Gen. Defender,22.0,11.0,11.0,0.5,0.5,3.0,0.0,6.0,-2.0,-6.04,4.04,-1.64
2,Lloyd Meek,Hawthorn,Ruck,13.0,2.0,11.0,0.15,0.85,0.0,0.0,1.0,-0.52,-3.24,2.72,-2.72
2,Mabior Chol,Hawthorn,Key Forward,11.0,10.0,1.0,0.91,0.09,4.0,3.0,0.0,1.0,2.88,-1.88,0.08
2,Massimo D'Ambrosio,Hawthorn,Midfielder,25.0,14.0,11.0,0.56,0.44,4.0,0.0,4.0,6.85,2.15,4.69,-0.08
2,Nick Watson,Hawthorn,Gen. Forward,16.0,10.0,6.0,0.62,0.38,6.0,2.0,2.0,5.12,4.2,0.92,3.96
2,Tom Barrass,Hawthorn,Key Defender,10.0,5.0,5.0,0.5,0.5,3.0,0.0,3.0,0.32,-0.68,1.0,-0.76
2,Will Day,Hawthorn,Midfielder,26.0,13.0,13.0,0.5,0.5,1.0,0.0,5.0,5.0,2.5,2.5,-2.0
3,Blake Hardwick,Hawthorn,Gen. Defender,19.0,14.0,5.0,0.74,0.26,9.0,1.0,3.0,4.27,4.0,0.27,4.46
3,Cam Mackenzie,Hawthorn,Midfielder,30.0,12.0,18.0,0.4,0.6,3.0,0.0,5.0,13.5,3.67,9.83,1.0
3,Changkuoth Jiath,Hawthorn,Gen. Defender,14.0,8.0,6.0,0.57,0.43,4.0,0.0,1.0,0.2,0.35,-0.15,1.3
3,Conor Nash,Hawthorn,Midfielder,17.0,11.0,6.0,0.65,0.35,4.0,0.0,7.0,-1.36,2.18,-3.54,1.96
3,Dylan Moore,Hawthorn,Gen. Forward,22.0,9.0,13.0,0.41,0.59,2.0,1.0,0.0,2.58,-1.54,4.12,-2.27
3,Finn Maginness,Hawthorn,Gen. Forward,25.0,11.0,14.0,0.44,0.56,1.0,0.0,3.0,11.69,4.92,6.77,-1.77
3,Harry Morrison,Hawthorn,Midfielder,16.0,11.0,5.0,0.69,0.31,5.0,1.0,2.0,-1.4,1.55,-2.95,0.45
