Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Max Gawn,Melbourne,Ruck,20250108,2,19.2,15.96,129,127,0.22,3,83,12,12,24,62.5,313,5,14,4,4,0,1,92,7,3,0,1,3,0,1,0,10,2,8,46
1,Christian Petracca,Melbourne,Mid-Forward,20250108,6,16.8,16.27,98,95,0.95,13,88,13,14,27,51.9,518,5,12,8,5,5,2,81,4,2,0,0,4,2,1,1,8,3,10,0
1,Tom McDonald,Melbourne,Key Defender,20250108,0,16.4,9.73,103,67,0.0,0,100,10,8,18,88.9,313,0,6,3,6,3,9,0,0,5,3,1,0,0,0,0,3,1,4,0
1,Tom Sparrow,Melbourne,Gen. Forward,20250108,0,14.3,8.16,84,96,0.01,0,84,14,7,21,57.1,382,8,6,3,4,2,2,35,3,4,1,2,2,1,1,0,5,5,21,0
1,Jake Lever,Melbourne,Gen. Defender,20250108,1,13.1,9.28,111,93,0.01,0,89,13,9,22,90.9,218,0,3,2,3,2,12,0,0,9,5,0,0,0,0,0,0,3,10,0
1,Harrison Petty,Melbourne,Key Forward,20250108,0,12.9,6.44,86,76,0.0,0,95,12,4,16,81.3,358,4,8,3,8,3,12,0,0,8,4,1,0,0,0,0,0,3,7,0
1,Kade Chandler,Melbourne,Gen. Forward,20250108,0,12.2,9.01,71,54,0.0,0,81,7,4,11,72.7,246,3,8,5,4,3,2,0,2,4,0,0,0,0,0,0,1,4,16,0
1,Jake Bowey,Melbourne,Gen. Defender,20250108,0,11.8,7.49,96,87,0.0,0,73,16,3,19,89.5,341,2,4,3,4,3,6,0,0,3,2,0,1,1,0,0,3,4,15,0
1,Xavier Lindsay,Melbourne,Midfielder,20250108,0,11.0,5.72,86,94,0.0,0,74,12,10,22,81.8,307,4,6,1,4,0,2,0,2,3,0,0,0,0,0,0,2,6,14,0
1,Caleb Windsor,Melbourne,Gen. Defender,20250108,0,10.2,7.8,57,55,0.0,0,83,8,8,16,68.8,371,4,3,2,3,2,3,0,0,3,0,0,3,1,0,1,5,0,6,0
1,Jack Henderson,Melbourne,Gen. Forward,20250108,0,10.1,5.72,55,48,0.0,0,78,6,7,13,69.2,38,1,9,9,7,7,2,0,2,1,0,0,1,1,0,0,4,3,13,0
1,Ed Langdon,Melbourne,Mid-Forward,20250108,0,9.7,8.83,74,83,0.0,0,100,13,6,19,89.5,407,3,3,3,1,1,2,4,2,8,0,0,0,0,0,0,1,2,19,0
1,Christian Salem,Melbourne,Gen. Defender,20250108,0,9.4,8.61,113,124,0.01,0,90,27,3,30,66.7,616,4,6,5,5,4,5,0,1,8,0,0,0,0,0,0,1,3,10,0
1,Clayton Oliver,Melbourne,Midfielder,20250108,0,8.9,11.46,93,84,0.02,0,83,10,15,25,72.0,204,3,16,11,3,2,2,73,5,5,0,0,0,0,0,0,2,5,27,0
1,Aidan Johnson,Melbourne,Key Forward,20250108,0,8.6,5.38,60,43,0.0,0,71,5,2,7,42.9,169,1,4,3,3,2,0,8,2,1,0,1,3,1,2,0,3,5,17,5
1,Jacob van Rooyen,Melbourne,Key Forward,20250108,0,8.1,6.53,45,29,0.0,0,83,2,4,6,83.3,-10,0,4,3,3,2,2,0,0,0,0,0,2,1,0,1,2,2,14,0
1,Matthew Jefferson,Melbourne,Key Forward,20250108,0,6.4,5.72,41,33,0.0,0,75,3,2,5,60.0,125,0,3,3,3,3,0,0,0,1,0,0,2,2,0,0,3,2,10,0
1,Jack Viney,Melbourne,Midfielder,20250108,0,6.2,11.0,58,82,0.03,0,77,15,12,27,59.3,320,3,9,7,1,1,1,69,5,4,0,0,1,0,0,1,6,1,20,0
1,Trent Rivers,Melbourne,Gen. Defender,20250108,0,5.5,9.85,73,86,0.01,0,72,14,11,25,60.0,351,1,9,7,5,5,5,31,1,7,1,0,2,0,0,0,7,1,11,0
1,Bayley Fritsch,Melbourne,Gen. Forward,20250108,0,4.4,7.78,59,50,0.0,0,89,7,5,12,58.3,178,2,7,5,6,4,2,0,0,2,1,1,1,0,0,0,3,3,13,0
1,Harry Sharp,Melbourne,Gen. Forward,20250108,0,4.4,5.75,37,45,0.0,0,64,7,2,9,44.4,168,1,3,1,3,1,1,0,0,1,0,0,4,1,1,0,4,2,12,0
