Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Aidan Johnson,Melbourne,7.0,5.0,2.0,0.71,0.29,1.0,1.0,5.0,Key Forward
1,Bayley Fritsch,Melbourne,12.0,7.0,5.0,0.58,0.42,2.0,0.0,3.0,Gen. Forward
1,Blake Howes,Melbourne,,,,,,,,,Gen. Defender
1,Caleb Windsor,Melbourne,16.0,8.0,8.0,0.5,0.5,3.0,1.0,0.0,Gen. Defender
1,Christian Petracca,Melbourne,27.0,13.0,14.0,0.48,0.52,2.0,2.0,3.0,Mid-Forward
1,Christian Salem,Melbourne,30.0,27.0,3.0,0.9,0.1,8.0,0.0,3.0,Gen. Defender
1,Clayton Oliver,Melbourne,25.0,10.0,15.0,0.4,0.6,5.0,0.0,5.0,Midfielder
1,Ed Langdon,Melbourne,19.0,13.0,6.0,0.68,0.32,8.0,0.0,2.0,Mid-Forward
1,Harrison Petty,Melbourne,16.0,12.0,4.0,0.75,0.25,8.0,0.0,3.0,Key Forward
1,Harry Sharp,Melbourne,9.0,7.0,2.0,0.78,0.22,1.0,1.0,2.0,Gen. Forward
1,Harvey Langford,Melbourne,,,,,,,,,Midfielder
1,Jack Henderson,Melbourne,13.0,6.0,7.0,0.46,0.54,1.0,1.0,3.0,Gen. Forward
1,Jack Viney,Melbourne,27.0,15.0,12.0,0.56,0.44,4.0,0.0,1.0,Midfielder
1,Jacob van Rooyen,Melbourne,6.0,2.0,4.0,0.33,0.67,0.0,1.0,2.0,Key Forward
1,Jake Bowey,Melbourne,19.0,16.0,3.0,0.84,0.16,3.0,1.0,4.0,Gen. Defender
1,Jake Lever,Melbourne,22.0,13.0,9.0,0.59,0.41,9.0,0.0,3.0,Gen. Defender
1,Kade Chandler,Melbourne,11.0,7.0,4.0,0.64,0.36,4.0,0.0,4.0,Gen. Forward
1,Matthew Jefferson,Melbourne,5.0,3.0,2.0,0.6,0.4,1.0,2.0,2.0,Key Forward
1,Max Gawn,Melbourne,24.0,12.0,12.0,0.5,0.5,3.0,0.0,2.0,Ruck
1,Tom McDonald,Melbourne,18.0,10.0,8.0,0.56,0.44,5.0,0.0,1.0,Key Defender
1,Tom Sparrow,Melbourne,21.0,14.0,7.0,0.67,0.33,4.0,1.0,5.0,Gen. Forward
1,Trent Rivers,Melbourne,25.0,14.0,11.0,0.56,0.44,7.0,0.0,1.0,Gen. Defender
1,Xavier Lindsay,Melbourne,22.0,12.0,10.0,0.55,0.45,3.0,0.0,6.0,Midfielder
2,Bayley Fritsch,Melbourne,4.0,3.0,1.0,0.75,0.25,1.0,1.0,0.0,Gen. Forward
