Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Aidan Corr,North Melbourne,18.0,13.0,5.0,0.72,0.28,4.0,0.0,5.0,Key Defender
1,Bailey Scott,North Melbourne,18.0,10.0,8.0,0.56,0.44,2.0,1.0,5.0,Midfielder
1,Caleb Daniel,North Melbourne,24.0,13.0,11.0,0.54,0.46,3.0,0.0,6.0,Gen. Defender
1,Cameron Zurhaar,North Melbourne,20.0,14.0,6.0,0.7,0.3,10.0,1.0,2.0,Gen. Forward
1,Charlie Comben,North Melbourne,8.0,4.0,4.0,0.5,0.5,2.0,0.0,1.0,Key Defender
1,Colby McKercher,North Melbourne,17.0,9.0,8.0,0.53,0.47,3.0,0.0,5.0,Gen. Defender
1,Darcy Tucker,North Melbourne,,,,,,,,,Gen. Defender
1,Finn O'Sullivan,North Melbourne,16.0,10.0,6.0,0.62,0.38,3.0,0.0,0.0,Gen. Defender
1,Griffin Logue,North Melbourne,6.0,4.0,2.0,0.67,0.33,1.0,0.0,0.0,Key Defender
1,Harry Sheezel,North Melbourne,31.0,15.0,16.0,0.48,0.52,6.0,0.0,4.0,Mid-Forward
1,Jack Darling,North Melbourne,15.0,9.0,6.0,0.6,0.4,5.0,1.0,2.0,Key Forward
1,Jackson Archer,North Melbourne,11.0,7.0,4.0,0.64,0.36,3.0,0.0,1.0,Gen. Defender
1,Jacob Konstanty,North Melbourne,10.0,6.0,4.0,0.6,0.4,1.0,0.0,6.0,Gen. Forward
1,Jy Simpkin,North Melbourne,30.0,19.0,11.0,0.63,0.37,4.0,1.0,7.0,Mid-Forward
1,Luke Davies-Uniacke,North Melbourne,20.0,12.0,8.0,0.6,0.4,4.0,2.0,2.0,Midfielder
1,Luke McDonald,North Melbourne,20.0,11.0,9.0,0.55,0.45,5.0,0.0,2.0,Gen. Defender
1,Luke Parker,North Melbourne,21.0,10.0,11.0,0.48,0.52,5.0,0.0,4.0,Midfielder
1,Nick Larkey,North Melbourne,8.0,7.0,1.0,0.88,0.12,3.0,5.0,1.0,Key Forward
