Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Connor Rozee,Port Adelaide,Gen. Defender,20250106,2,20.8,11.98,128,112,0.22,4,84,19,16,35,71.4,680,9,11,9,3,3,3,68,5,3,1,0,1,0,0,1,6,4,29,0
1,Kane Farrell,Port Adelaide,Gen. Defender,20250106,0,15.2,9.28,100,88,0.0,0,80,14,9,23,78.3,417,3,6,5,4,4,7,0,1,6,3,0,0,0,0,0,3,3,10,0
1,Jackson Mead,Port Adelaide,Midfielder,20250106,0,14.0,8.41,63,59,0.0,0,83,6,10,16,81.3,201,3,6,4,3,3,4,6,2,5,2,0,0,0,0,1,4,2,16,0
1,Jason Horne-Francis,Port Adelaide,Midfielder,20250106,0,13.0,12.16,83,82,0.04,1,75,19,6,25,68.0,330,4,8,4,2,1,0,77,7,1,0,0,2,1,0,0,4,1,19,0
1,Willem Drew,Port Adelaide,Midfielder,20250106,0,11.9,11.35,69,58,0.0,0,79,6,10,16,68.8,119,3,8,5,5,4,2,68,4,0,0,0,1,0,1,0,4,5,20,0
1,Miles Bergman,Port Adelaide,Gen. Defender,20250106,0,10.8,9.03,76,71,0.0,0,89,10,6,16,62.5,340,2,6,4,6,4,6,16,0,5,2,0,1,0,0,0,1,3,15,0
1,Ollie Wines,Port Adelaide,Midfielder,20250106,0,9.3,10.67,100,97,0.03,0,70,8,26,34,64.7,296,3,18,11,5,5,5,61,10,3,0,0,0,0,0,0,5,4,22,1
1,Logan Evans,Port Adelaide,Gen. Defender,20250106,0,9.2,7.39,36,23,0.0,0,86,5,5,10,70.0,98,1,4,2,3,1,6,0,0,0,0,0,0,0,0,0,2,0,14,0
1,Aliir Aliir,Port Adelaide,Key Defender,20250106,0,8.8,9.55,78,49,0.0,0,100,8,4,12,66.7,247,1,6,5,5,4,4,0,1,3,1,1,0,0,0,0,2,2,6,0
1,Jack Lukosius,Port Adelaide,Key Forward,20250106,0,8.7,8.09,43,46,0.0,0,85,8,3,11,72.7,281,3,3,3,3,3,1,0,0,4,0,0,1,1,0,0,2,1,8,0
1,Travis Boak,Port Adelaide,Mid-Forward,20250106,0,7.9,9.08,114,115,0.01,0,72,9,19,28,67.9,297,1,12,8,7,6,6,16,3,8,1,0,2,1,1,0,5,6,17,0
1,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,20250106,0,7.8,7.98,48,40,0.0,0,83,5,4,9,66.7,108,1,2,2,2,2,0,0,0,3,0,0,2,1,1,1,5,1,24,0
1,Jordon Sweet,Port Adelaide,Ruck,20250106,0,7.6,9.84,90,96,0.0,0,81,6,8,14,64.3,230,3,4,1,1,0,1,84,1,3,0,0,1,1,0,0,2,3,11,36
1,Josh Sinn,Port Adelaide,Gen. Defender,20250106,0,7.4,4.2,59,50,0.0,0,65,8,5,13,92.3,229,0,4,4,4,4,4,0,0,5,0,0,0,0,0,0,1,1,6,0
1,Jase Burgoyne,Port Adelaide,Midfielder,20250106,0,7.2,10.68,50,48,0.0,0,80,5,11,16,81.3,114,0,6,6,4,4,4,0,2,2,1,0,0,0,0,0,2,2,13,0
1,Willie Rioli,Port Adelaide,Gen. Forward,20250106,0,5.2,8.73,65,48,0.0,0,89,7,5,12,58.3,174,2,7,7,4,4,1,0,1,2,0,0,3,1,1,0,5,1,6,0
1,Joe Richards,Port Adelaide,Gen. Forward,20250106,0,4.1,9.52,45,60,0.0,0,83,8,7,15,66.7,230,3,2,1,2,1,1,0,0,4,0,0,1,0,1,0,5,2,18,0
1,Jeremy Finlayson,Port Adelaide,Key Forward,20250106,0,3.6,8.85,85,84,0.0,0,99,16,3,19,68.4,348,0,3,2,3,2,5,0,0,10,1,1,0,0,0,0,0,0,7,0
1,Ryan Burton,Port Adelaide,Gen. Defender,20250106,0,3.3,3.56,29,45,0.0,0,29,9,4,13,61.5,207,2,4,3,3,2,4,0,1,3,1,0,1,0,0,0,3,0,4,0
1,Lachie Jones,Port Adelaide,Gen. Defender,20250106,0,1.1,8.22,18,18,0.0,0,52,2,2,4,75.0,69,0,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0
1,Sam Powell-Pepper,Port Adelaide,Gen. Forward,20250106,0,0.2,7.01,18,27,0.0,0,78,4,4,8,75.0,41,2,1,1,1,1,1,0,0,3,0,0,1,0,1,0,3,0,12,0
1,Mitch Georgiades,Port Adelaide,Key Forward,20250106,0,-1.4,6.94,23,32,0.0,0,82,4,3,7,57.1,71,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,4,1,10,0
1,Joe Berry,Port Adelaide,Gen. Forward,20250106,0,-2.1,5.38,38,40,0.0,0,74,6,3,9,88.9,87,2,0,0,0,0,0,3,0,6,0,0,1,0,1,0,2,0,12,0
10,Ryan Burton,Port Adelaide,Gen. Defender,20251004,0,14.6,8.62,90,77,0.0,0,80,15,11,26,84.6,433,1,4,4,4,4,5,0,0,3,1,0,0,0,0,0,1,1,13,0
10,Jase Burgoyne,Port Adelaide,Midfielder,20251004,0,12.6,9.87,89,82,0.0,0,90,13,9,22,72.7,290,3,9,8,6,5,7,0,2,4,1,0,0,0,0,0,2,3,11,0
