Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Aliir Aliir,Port Adelaide,12.0,8.0,4.0,0.67,0.33,3.0,0.0,2.0,Key Defender
1,Connor Rozee,Port Adelaide,35.0,19.0,16.0,0.54,0.46,3.0,0.0,4.0,Gen. Defender
1,Darcy Byrne-Jones,Port Adelaide,9.0,5.0,4.0,0.56,0.44,3.0,1.0,1.0,Gen. Forward
1,Jack Lukosius,Port Adelaide,11.0,8.0,3.0,0.73,0.27,4.0,1.0,1.0,Key Forward
1,Jackson Mead,Port Adelaide,16.0,6.0,10.0,0.38,0.62,5.0,0.0,2.0,Midfielder
1,Jase Burgoyne,Port Adelaide,16.0,5.0,11.0,0.31,0.69,2.0,0.0,2.0,Midfielder
1,Jason Horne-Francis,Port Adelaide,25.0,19.0,6.0,0.76,0.24,1.0,1.0,1.0,Midfielder
1,Jeremy Finlayson,Port Adelaide,19.0,16.0,3.0,0.84,0.16,10.0,0.0,0.0,Key Forward
1,Joe Berry,Port Adelaide,9.0,6.0,3.0,0.67,0.33,6.0,0.0,0.0,Gen. Forward
1,Joe Richards,Port Adelaide,15.0,8.0,7.0,0.53,0.47,4.0,0.0,2.0,Gen. Forward
1,Jordon Sweet,Port Adelaide,14.0,6.0,8.0,0.43,0.57,3.0,1.0,3.0,Ruck
1,Josh Sinn,Port Adelaide,13.0,8.0,5.0,0.62,0.38,5.0,0.0,1.0,Gen. Defender
1,Kane Farrell,Port Adelaide,23.0,14.0,9.0,0.61,0.39,6.0,0.0,3.0,Gen. Defender
1,Lachie Jones,Port Adelaide,,,,,,,,,Gen. Defender
1,Logan Evans,Port Adelaide,10.0,5.0,5.0,0.5,0.5,0.0,0.0,0.0,Gen. Defender
1,Miles Bergman,Port Adelaide,16.0,10.0,6.0,0.62,0.38,5.0,0.0,3.0,Gen. Defender
1,Mitch Georgiades,Port Adelaide,7.0,4.0,3.0,0.57,0.43,4.0,0.0,1.0,Key Forward
1,Ollie Wines,Port Adelaide,34.0,8.0,26.0,0.24,0.76,3.0,0.0,4.0,Midfielder
1,Ryan Burton,Port Adelaide,,,,,,,,,Gen. Defender
1,Sam Powell-Pepper,Port Adelaide,8.0,4.0,4.0,0.5,0.5,3.0,0.0,0.0,Gen. Forward
1,Travis Boak,Port Adelaide,28.0,9.0,19.0,0.32,0.68,8.0,1.0,6.0,Mid-Forward
1,Willem Drew,Port Adelaide,16.0,6.0,10.0,0.38,0.62,0.0,0.0,5.0,Midfielder
1,Willie Rioli,Port Adelaide,12.0,7.0,5.0,0.58,0.42,2.0,1.0,1.0,Gen. Forward
2,Aliir Aliir,Port Adelaide,16.0,12.0,4.0,0.75,0.25,9.0,0.0,0.0,Key Defender
2,Christian Moraes,Port Adelaide,17.0,8.0,9.0,0.47,0.53,6.0,0.0,0.0,Midfielder
2,Connor Rozee,Port Adelaide,39.0,23.0,16.0,0.59,0.41,7.0,2.0,5.0,Gen. Defender
2,Darcy Byrne-Jones,Port Adelaide,18.0,14.0,4.0,0.78,0.22,4.0,1.0,2.0,Gen. Forward
2,Jack Lukosius,Port Adelaide,,,,,,,,,Key Forward
2,Jackson Mead,Port Adelaide,30.0,8.0,22.0,0.27,0.73,6.0,0.0,3.0,Midfielder
2,Jase Burgoyne,Port Adelaide,32.0,16.0,16.0,0.5,0.5,8.0,2.0,2.0,Midfielder
2,Jason Horne-Francis,Port Adelaide,17.0,9.0,8.0,0.53,0.47,5.0,1.0,3.0,Midfielder
2,Joe Berry,Port Adelaide,10.0,4.0,6.0,0.4,0.6,2.0,1.0,3.0,Gen. Forward
2,Joe Richards,Port Adelaide,25.0,7.0,18.0,0.28,0.72,5.0,1.0,2.0,Gen. Forward
2,Jordon Sweet,Port Adelaide,11.0,3.0,8.0,0.27,0.73,2.0,0.0,3.0,Ruck
2,Josh Sinn,Port Adelaide,22.0,19.0,3.0,0.86,0.14,8.0,0.0,1.0,Gen. Defender
2,Kane Farrell,Port Adelaide,31.0,17.0,14.0,0.55,0.45,8.0,1.0,1.0,Gen. Defender
2,Lachie Jones,Port Adelaide,15.0,6.0,9.0,0.4,0.6,4.0,0.0,3.0,Gen. Defender
2,Logan Evans,Port Adelaide,24.0,19.0,5.0,0.79,0.21,11.0,1.0,0.0,Gen. Defender
2,Miles Bergman,Port Adelaide,21.0,13.0,8.0,0.62,0.38,9.0,0.0,1.0,Gen. Defender
2,Mitch Georgiades,Port Adelaide,17.0,10.0,7.0,0.59,0.41,8.0,4.0,2.0,Key Forward
2,Ollie Wines,Port Adelaide,33.0,8.0,25.0,0.24,0.76,1.0,1.0,4.0,Midfielder
2,Ryan Burton,Port Adelaide,17.0,9.0,8.0,0.53,0.47,7.0,0.0,1.0,Gen. Defender
2,Sam Powell-Pepper,Port Adelaide,16.0,10.0,6.0,0.62,0.38,9.0,3.0,1.0,Gen. Forward
2,Travis Boak,Port Adelaide,28.0,9.0,19.0,0.32,0.68,6.0,0.0,0.0,Mid-Forward
2,Willem Drew,Port Adelaide,22.0,5.0,17.0,0.23,0.77,3.0,0.0,12.0,Midfielder
2,Willie Rioli,Port Adelaide,17.0,10.0,7.0,0.59,0.41,5.0,3.0,3.0,Gen. Forward
3,Aliir Aliir,Port Adelaide,15.0,10.0,5.0,0.67,0.33,8.0,0.0,1.0,Key Defender
3,Christian Moraes,Port Adelaide,27.0,13.0,14.0,0.48,0.52,7.0,0.0,1.0,Midfielder
3,Connor Rozee,Port Adelaide,22.0,8.0,14.0,0.36,0.64,5.0,0.0,4.0,Gen. Defender
3,Darcy Byrne-Jones,Port Adelaide,15.0,12.0,3.0,0.8,0.2,4.0,2.0,2.0,Gen. Forward
3,Esava Ratugolea,Port Adelaide,12.0,7.0,5.0,0.58,0.42,8.0,0.0,1.0,Key Defender
3,Ivan Soldo,Port Adelaide,5.0,3.0,2.0,0.6,0.4,1.0,0.0,1.0,Ruck
3,Jackson Mead,Port Adelaide,14.0,5.0,9.0,0.36,0.64,3.0,0.0,3.0,Midfielder
3,Jase Burgoyne,Port Adelaide,27.0,16.0,11.0,0.59,0.41,10.0,0.0,3.0,Midfielder
3,Jason Horne-Francis,Port Adelaide,22.0,9.0,13.0,0.41,0.59,4.0,1.0,1.0,Midfielder
3,Joe Berry,Port Adelaide,15.0,10.0,5.0,0.67,0.33,5.0,0.0,0.0,Gen. Forward
3,Joe Richards,Port Adelaide,13.0,7.0,6.0,0.54,0.46,6.0,1.0,1.0,Gen. Forward
3,Jordon Sweet,Port Adelaide,14.0,7.0,7.0,0.5,0.5,5.0,0.0,4.0,Ruck
3,Josh Sinn,Port Adelaide,18.0,16.0,2.0,0.89,0.11,4.0,0.0,1.0,Gen. Defender
3,Kane Farrell,Port Adelaide,18.0,15.0,3.0,0.83,0.17,2.0,0.0,1.0,Gen. Defender
3,Logan Evans,Port Adelaide,10.0,8.0,2.0,0.8,0.2,3.0,0.0,2.0,Gen. Defender
3,Miles Bergman,Port Adelaide,26.0,19.0,7.0,0.73,0.27,10.0,0.0,0.0,Gen. Defender
3,Mitch Georgiades,Port Adelaide,13.0,9.0,4.0,0.69,0.31,6.0,2.0,0.0,Key Forward
3,Ollie Wines,Port Adelaide,31.0,13.0,18.0,0.42,0.58,4.0,1.0,3.0,Midfielder
3,Sam Powell-Pepper,Port Adelaide,14.0,8.0,6.0,0.57,0.43,6.0,0.0,4.0,Gen. Forward
3,Tom Cochrane,Port Adelaide,,,,,,,,,Gen. Forward
3,Travis Boak,Port Adelaide,18.0,10.0,8.0,0.56,0.44,6.0,1.0,3.0,Mid-Forward
3,Willem Drew,Port Adelaide,15.0,6.0,9.0,0.4,0.6,3.0,0.0,4.0,Midfielder
3,Willie Rioli,Port Adelaide,16.0,11.0,5.0,0.69,0.31,4.0,0.0,1.0,Gen. Forward
4,Aliir Aliir,Port Adelaide,18.0,12.0,6.0,0.67,0.33,9.0,0.0,2.0,Key Defender
4,Christian Moraes,Port Adelaide,14.0,8.0,6.0,0.57,0.43,4.0,0.0,1.0,Midfielder
4,Connor Rozee,Port Adelaide,20.0,12.0,8.0,0.6,0.4,2.0,0.0,6.0,Gen. Defender
4,Darcy Byrne-Jones,Port Adelaide,7.0,1.0,6.0,0.14,0.86,0.0,0.0,2.0,Gen. Forward
4,Esava Ratugolea,Port Adelaide,9.0,8.0,1.0,0.89,0.11,5.0,0.0,0.0,Key Defender
4,Jackson Mead,Port Adelaide,16.0,7.0,9.0,0.44,0.56,2.0,0.0,3.0,Midfielder
4,Jase Burgoyne,Port Adelaide,13.0,9.0,4.0,0.69,0.31,4.0,0.0,3.0,Midfielder
4,Jason Horne-Francis,Port Adelaide,28.0,13.0,15.0,0.46,0.54,6.0,3.0,6.0,Midfielder
4,Joe Berry,Port Adelaide,,,,,,,,,Gen. Forward
4,Joe Richards,Port Adelaide,16.0,4.0,12.0,0.25,0.75,4.0,0.0,6.0,Gen. Forward
4,Jordon Sweet,Port Adelaide,10.0,2.0,8.0,0.2,0.8,0.0,0.0,4.0,Ruck
4,Josh Sinn,Port Adelaide,12.0,11.0,1.0,0.92,0.08,3.0,0.0,1.0,Gen. Defender
4,Kane Farrell,Port Adelaide,15.0,13.0,2.0,0.87,0.13,3.0,0.0,3.0,Gen. Defender
