Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Jack Ross,Richmond,Mid-Forward,20250101,9,20.8,9.94,134,114,1.97,36,79,14,14,28,82.1,591,6,11,10,3,3,2,12,7,5,0,0,3,2,0,0,6,4,15,0
1,Toby Nankervis,Richmond,Ruck,20250101,9,17.5,13.06,114,123,1.93,35,85,13,8,21,71.4,329,2,13,9,5,3,3,79,7,4,2,1,2,2,0,0,5,6,21,35
1,Sam Lalor,Richmond,Gen. Forward,20250101,0,17.3,5.72,74,68,0.02,0,80,6,12,18,77.8,181,1,6,5,6,5,2,8,0,2,0,1,2,2,0,2,8,2,12,0
1,Tom Brown,Richmond,Gen. Defender,20250101,0,17.0,6.65,84,55,0.0,0,80,7,3,10,90.0,328,1,4,3,4,3,5,0,0,2,2,1,1,1,0,0,3,4,6,0
1,Rhyan Mansell,Richmond,Gen. Forward,20250101,0,16.1,8.36,69,42,0.0,0,79,5,5,10,100.0,186,1,6,6,6,6,0,0,0,1,0,0,1,1,0,1,5,2,11,0
1,Ben Miller,Richmond,Key Defender,20250101,2,14.5,10.14,99,59,0.02,0,100,10,3,13,84.6,333,1,7,3,7,3,9,0,0,6,4,3,0,0,0,0,2,1,4,0
1,Seth Campbell,Richmond,Gen. Forward,20250101,0,11.3,6.9,68,59,0.0,0,75,3,5,8,87.5,86,1,3,2,2,2,1,0,1,0,0,0,2,2,0,0,3,7,20,0
1,Tim Taranto,Richmond,Midfielder,20250101,2,9.8,10.73,69,89,0.64,10,88,14,16,30,50.0,389,6,13,12,4,4,5,83,8,1,0,0,0,0,0,0,2,3,17,0
1,Thomson Dow,Richmond,Midfielder,20250101,0,9.2,7.49,100,95,0.03,0,79,9,13,22,59.1,297,2,11,9,4,3,2,38,4,1,1,0,1,0,1,0,2,9,27,0
1,Kamdyn McIntosh,Richmond,Midfielder,20250101,0,9.1,5.76,64,70,0.01,0,79,8,8,16,68.8,304,2,8,5,1,1,1,83,4,3,0,0,0,0,0,0,3,5,23,1
1,Jacob Hopper,Richmond,Midfielder,20250101,0,9.1,9.68,82,81,0.07,1,79,7,15,22,72.7,186,0,7,5,0,0,1,83,3,2,1,0,1,1,0,0,3,6,13,0
1,James Trezise,Richmond,Midfielder,20250101,0,8.1,7.85,72,57,0.01,0,81,8,11,19,78.9,322,2,6,5,4,3,4,0,2,1,0,1,0,0,0,0,1,2,15,0
1,Jacob Blight,Richmond,Key Defender,20250101,0,7.6,5.62,36,30,0.0,0,55,4,2,6,83.3,91,0,4,1,5,1,5,0,0,3,3,2,0,0,0,0,0,1,4,0
1,Nathan Broad,Richmond,Gen. Defender,20250101,0,7.6,7.79,51,44,0.0,0,88,8,3,11,81.8,191,0,5,4,5,4,7,0,0,2,0,0,0,0,0,0,2,3,9,0
1,Nick Vlastuin,Richmond,Gen. Defender,20250101,1,7.1,10.51,101,85,0.05,1,87,18,3,21,81.0,521,1,5,3,5,3,11,0,0,8,5,0,0,0,0,0,0,2,8,0
1,Jayden Short,Richmond,Gen. Defender,20250101,0,7.1,9.59,83,85,0.01,0,91,16,3,19,89.5,589,3,3,2,1,1,1,0,2,5,0,0,0,0,0,0,3,4,17,0
1,Harry Armstrong,Richmond,Key Forward,20250101,0,6.9,5.38,38,16,0.0,0,66,2,3,5,60.0,50,0,5,4,5,4,0,0,0,1,0,0,0,0,0,1,2,1,9,0
1,Sam Banks,Richmond,Gen. Defender,20250101,0,6.5,7.81,75,64,0.01,0,80,10,11,21,71.4,232,0,6,5,3,3,2,0,2,1,0,0,0,0,0,0,4,2,14,0
1,Tom Lynch,Richmond,Key Forward,20250101,0,5.7,8.15,61,51,0.0,0,87,5,8,13,69.2,162,5,8,7,8,7,1,0,0,4,0,1,1,1,0,2,4,1,11,0
1,Luke Trainor,Richmond,Gen. Defender,20250101,0,4.8,5.72,50,62,0.01,0,77,11,4,15,66.7,372,2,5,3,2,1,4,0,2,5,1,0,0,0,0,0,2,2,14,0
1,Tyler Sonsie,Richmond,Mid-Forward,20250101,0,2.6,2.92,30,28,0.0,0,26,4,3,7,85.7,98,0,3,2,3,2,3,0,0,3,0,0,0,0,0,0,1,0,7,0
1,Jacob Bauer,Richmond,Key Forward,20250101,0,2.1,6.34,45,61,0.0,0,83,6,3,9,44.4,138,1,2,0,1,0,1,12,1,4,0,1,3,1,1,0,2,4,10,0
1,Steely Green,Richmond,Gen. Forward,20250101,0,-0.7,7.18,20,41,0.0,0,76,6,1,7,42.9,235,3,2,1,1,0,1,0,0,2,0,0,0,0,0,0,1,5,18,0
10,Seth Campbell,Richmond,Gen. Forward,20251007,3,17.3,9.3,98,79,0.18,3,86,10,5,15,73.3,235,3,7,3,5,3,2,0,3,2,0,1,5,3,2,0,8,3,15,0
10,Tom Brown,Richmond,Gen. Defender,20251007,0,13.0,8.38,65,48,0.0,0,80,8,3,11,81.8,233,2,4,4,3,3,7,0,1,4,3,0,0,0,0,0,1,2,11,0
10,Tim Taranto,Richmond,Midfielder,20251007,7,13.0,11.27,111,93,1.42,24,85,9,21,30,63.3,205,3,18,14,4,4,3,81,10,2,0,0,1,0,1,1,5,4,17,0
10,Toby Nankervis,Richmond,Ruck,20251007,0,12.3,13.34,128,150,0.04,0,86,6,9,15,60.0,106,1,4,2,0,0,2,96,3,5,2,0,0,0,0,1,6,13,25,47
10,Kamdyn McIntosh,Richmond,Midfielder,20251007,0,11.3,6.24,77,63,0.01,0,87,7,6,13,76.9,222,1,6,5,5,5,3,0,1,3,0,0,2,2,0,0,5,2,9,0
10,Jack Ross,Richmond,Mid-Forward,20251007,0,11.0,9.54,110,94,0.03,0,76,8,13,21,76.2,309,2,7,6,3,3,2,37,3,2,0,0,0,0,0,0,4,11,29,0
10,Sam Lalor,Richmond,Gen. Forward,20251007,0,10.5,9.4,79,81,0.01,0,87,6,10,16,81.3,102,2,7,2,6,2,0,15,1,5,0,2,3,2,1,0,5,3,7,0
10,Ben Miller,Richmond,Key Defender,20251007,0,10.4,8.98,70,54,0.0,0,99,6,6,12,91.7,178,1,6,3,6,3,8,0,0,5,2,1,0,0,0,0,2,2,7,0
10,Thomson Dow,Richmond,Midfielder,20251007,0,10.3,7.54,75,74,0.0,0,79,5,12,17,82.4,121,1,8,7,3,2,2,33,3,3,1,0,0,0,0,0,1,7,27,0
10,Nick Vlastuin,Richmond,Gen. Defender,20251007,0,10.3,9.8,78,69,0.01,0,81,9,5,14,71.4,242,0,7,4,7,4,9,0,0,5,4,2,0,0,0,0,1,4,9,0
10,Jacob Hopper,Richmond,Midfielder,20251007,0,10.0,9.97,95,88,0.18,3,87,13,14,27,63.0,356,6,14,10,4,3,2,89,3,2,0,0,2,0,1,0,4,4,17,0
10,Thomas Sims,Richmond,Key Forward,20251007,0,9.9,5.66,48,40,0.0,0,63,4,3,7,71.4,122,0,6,4,6,4,1,4,0,0,0,0,1,1,0,0,2,3,10,6
10,Hugo Ralphsmith,Richmond,Midfielder,20251007,0,9.6,6.76,60,58,0.01,0,82,6,10,16,50.0,278,2,7,6,5,5,3,0,1,2,0,0,1,1,0,0,3,2,15,0
10,Nathan Broad,Richmond,Gen. Defender,20251007,0,9.5,7.97,59,62,0.0,0,85,7,5,12,91.7,208,0,2,2,2,2,6,0,0,5,4,0,0,0,0,0,3,4,8,0
10,Tom Lynch,Richmond,Key Forward,20251007,0,8.9,7.76,86,68,0.01,0,83,9,4,13,69.2,157,3,6,2,5,2,0,0,1,6,0,2,5,2,1,1,7,1,6,0
10,Kane McAuliffe,Richmond,Midfielder,20251007,0,8.7,7.44,96,86,0.02,0,76,8,14,22,63.6,324,6,9,9,5,5,4,44,1,4,1,0,1,0,1,0,5,6,18,0
10,Steely Green,Richmond,Gen. Forward,20251007,0,6.9,5.18,48,37,0.0,0,68,5,3,8,87.5,184,3,4,3,3,2,1,0,1,1,0,1,0,0,0,0,2,3,10,0
