Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Ben Miller,Richmond,Key Defender,13.0,10.0,3.0,0.77,0.23,6.0,0.0,1.0,0.56,0.83,-0.26,-0.09
1,Harry Armstrong,Richmond,Key Forward,5.0,2.0,3.0,0.4,0.6,1.0,0.0,1.0,-1.62,-1.62,0.0,-1.88
1,Jack Ross,Richmond,Mid-Forward,28.0,14.0,14.0,0.5,0.5,5.0,2.0,4.0,8.87,5.83,3.04,0.74
1,Jacob Bauer,Richmond,Key Forward,9.0,6.0,3.0,0.67,0.33,4.0,1.0,4.0,3.8,2.8,1.0,1.8
1,Jacob Blight,Richmond,Key Defender,,,,,,,,,,,,
1,Jacob Hopper,Richmond,Midfielder,22.0,7.0,15.0,0.32,0.68,2.0,1.0,6.0,-4.39,-4.17,-0.22,-1.26
1,James Trezise,Richmond,Midfielder,19.0,8.0,11.0,0.42,0.58,1.0,0.0,2.0,6.06,2.31,3.75,-1.56
1,Jayden Short,Richmond,Gen. Defender,19.0,16.0,3.0,0.84,0.16,5.0,0.0,4.0,-2.2,-0.8,-1.4,-2.0
1,Kamdyn McIntosh,Richmond,Midfielder,16.0,8.0,8.0,0.5,0.5,3.0,0.0,5.0,1.52,-0.04,1.57,-0.61
1,Luke Trainor,Richmond,Gen. Defender,15.0,11.0,4.0,0.73,0.27,5.0,0.0,2.0,1.05,1.67,-0.62,1.05
1,Nathan Broad,Richmond,Gen. Defender,11.0,8.0,3.0,0.73,0.27,2.0,0.0,3.0,-3.04,-1.59,-1.46,-3.86
1,Nick Vlastuin,Richmond,Gen. Defender,21.0,18.0,3.0,0.86,0.14,8.0,0.0,2.0,1.86,3.96,-2.09,1.91
1,Rhyan Mansell,Richmond,Gen. Forward,10.0,5.0,5.0,0.5,0.5,1.0,1.0,2.0,-1.25,-2.75,1.5,-2.35
1,Sam Banks,Richmond,Gen. Defender,21.0,10.0,11.0,0.48,0.52,1.0,0.0,2.0,-0.09,-3.86,3.77,-3.64
1,Sam Lalor,Richmond,Gen. Forward,18.0,6.0,12.0,0.33,0.67,2.0,2.0,2.0,6.0,1.0,5.0,-1.0
1,Seth Campbell,Richmond,Gen. Forward,8.0,3.0,5.0,0.38,0.62,0.0,2.0,7.0,-4.91,-4.18,-0.73,-2.54
1,Steely Green,Richmond,Gen. Forward,7.0,6.0,1.0,0.86,0.14,2.0,0.0,5.0,-0.37,1.58,-1.95,0.26
1,Thomson Dow,Richmond,Midfielder,22.0,9.0,13.0,0.41,0.59,1.0,0.0,9.0,3.45,2.36,1.09,-2.46
