Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Jack Macrae,St Kilda,Midfielder,20250107,0,20.1,10.32,127,109,0.04,0,84,13,21,34,61.8,360,6,23,15,5,4,3,80,12,3,0,0,0,0,0,0,7,5,17,0
1,Jack Higgins,St Kilda,Gen. Forward,20250107,0,12.0,9.06,63,56,0.0,0,78,5,6,11,63.6,181,2,5,5,4,4,1,0,1,2,0,0,4,2,2,0,7,3,16,0
1,Marcus Windhager,St Kilda,Midfielder,20250107,0,11.4,7.04,80,72,0.0,0,79,9,10,19,73.7,184,1,14,11,8,6,5,26,5,2,0,0,1,0,0,0,6,4,21,0
1,Nasiah Wanganeen-Milera,St Kilda,Gen. Defender,20250107,0,10.8,11.3,96,113,0.02,0,83,21,6,27,51.9,571,3,5,4,5,4,7,3,0,6,2,0,2,1,1,0,4,3,15,0
1,Mason Wood,St Kilda,Mid-Forward,20250107,0,10.8,9.95,71,77,0.0,0,92,10,5,15,66.7,260,3,6,4,6,4,1,0,0,6,0,0,3,2,1,0,7,2,10,0
1,Jack Steele,St Kilda,Midfielder,20250107,0,10.5,12.91,80,77,0.0,0,80,8,11,19,78.9,192,6,10,10,3,3,3,86,5,3,0,0,1,0,0,0,4,6,23,0
1,Callum Wilkie,St Kilda,Key Defender,20250107,0,9.0,11.12,63,87,0.0,0,100,15,4,19,68.4,427,1,2,1,2,1,6,0,0,10,3,1,0,0,0,0,3,1,10,0
1,Jack Sinclair,St Kilda,Gen. Defender,20250107,0,8.9,14.85,95,90,0.0,0,85,16,6,22,63.6,449,5,7,5,5,4,6,23,1,8,1,0,0,0,0,2,5,1,23,0
1,Ryan Byrnes,St Kilda,Gen. Defender,20250107,0,8.7,7.64,59,62,0.0,0,84,10,7,17,64.7,300,2,5,5,5,5,6,0,1,4,0,0,1,0,1,0,4,2,13,0
1,Anthony Caminiti,St Kilda,Key Defender,20250107,0,8.5,6.82,56,53,0.0,0,91,6,7,13,69.2,250,2,7,5,7,5,7,0,0,4,2,1,0,0,0,2,4,2,9,0
1,Harry Boyd,St Kilda,Ruck,20250107,0,8.4,5.72,63,68,0.0,0,78,4,8,12,83.3,62,1,8,6,4,3,3,86,4,1,0,0,0,0,0,0,3,2,10,27
1,Darcy Wilson,St Kilda,Mid-Forward,20250107,1,7.7,8.24,91,97,0.0,0,87,13,10,23,52.2,535,5,9,8,4,3,2,0,2,5,1,0,3,0,2,1,5,5,18,0
1,Hugo Garcia,St Kilda,Midfielder,20250107,0,7.6,7.75,54,59,0.0,0,61,10,8,18,66.7,339,4,6,5,1,0,1,37,5,1,0,0,2,1,0,0,6,3,19,0
1,Max Hall,St Kilda,Gen. Forward,20250107,0,7.3,5.38,74,82,0.0,0,83,9,7,16,62.5,227,2,4,3,4,3,1,0,0,5,0,1,4,2,2,0,6,3,16,0
