Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Angus Hastie,St Kilda,Gen. Defender,,,,,,,,,,,,
1,Anthony Caminiti,St Kilda,Key Defender,13.0,6.0,7.0,0.46,0.54,4.0,0.0,2.0,0.91,-1.57,2.48,-1.7
1,Arie Schoenmaker,St Kilda,Gen. Defender,18.0,14.0,4.0,0.78,0.22,5.0,0.0,0.0,2.0,1.33,0.67,-0.33
1,Bradley Hill,St Kilda,Mid-Forward,6.0,4.0,2.0,0.67,0.33,1.0,1.0,0.0,-13.59,-8.68,-4.91,-4.27
1,Callum Wilkie,St Kilda,Key Defender,19.0,15.0,4.0,0.79,0.21,10.0,0.0,1.0,0.35,1.04,-0.7,1.56
1,Darcy Wilson,St Kilda,Mid-Forward,23.0,13.0,10.0,0.57,0.43,5.0,0.0,5.0,7.44,4.0,3.44,1.5
1,Harry Boyd,St Kilda,Ruck,12.0,4.0,8.0,0.33,0.67,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,Hugo Garcia,St Kilda,Midfielder,18.0,10.0,8.0,0.56,0.44,1.0,1.0,3.0,2.35,1.47,0.88,-0.65
1,Hunter Clark,St Kilda,Midfielder,,,,,,,,,,,,
1,Jack Higgins,St Kilda,Gen. Forward,11.0,5.0,6.0,0.45,0.55,2.0,2.0,3.0,1.56,0.04,1.52,-0.3
1,Jack Macrae,St Kilda,Midfielder,34.0,13.0,21.0,0.38,0.62,3.0,0.0,5.0,9.43,1.57,7.86,-0.14
1,Jack Sinclair,St Kilda,Gen. Defender,22.0,16.0,6.0,0.73,0.27,8.0,0.0,1.0,-4.96,-3.43,-1.52,3.22
1,Jack Steele,St Kilda,Midfielder,19.0,8.0,11.0,0.42,0.58,3.0,0.0,6.0,-1.86,-0.43,-1.43,-1.14
1,Jimmy Webster,St Kilda,Gen. Defender,10.0,8.0,2.0,0.8,0.2,2.0,0.0,0.0,-1.73,0.67,-2.4,-2.73
1,Liam O'Connell,St Kilda,Gen. Defender,7.0,4.0,3.0,0.57,0.43,3.0,0.0,2.0,0.86,0.29,0.57,0.71
1,Marcus Windhager,St Kilda,Midfielder,19.0,9.0,10.0,0.47,0.53,2.0,0.0,4.0,-3.09,-3.17,0.09,-2.3
1,Mason Wood,St Kilda,Mid-Forward,15.0,10.0,5.0,0.67,0.33,6.0,2.0,2.0,0.33,0.14,0.19,0.09
1,Max Hall,St Kilda,Gen. Forward,16.0,9.0,7.0,0.56,0.44,5.0,2.0,3.0,0.74,1.17,-0.43,1.87
1,Nasiah Wanganeen-Milera,St Kilda,Gen. Defender,27.0,21.0,6.0,0.78,0.22,6.0,1.0,3.0,-2.91,-1.26,-1.65,0.74
1,Rowan Marshall,St Kilda,Ruck,11.0,4.0,7.0,0.36,0.64,4.0,0.0,4.0,-7.57,-7.39,-0.17,-0.48
1,Ryan Byrnes,St Kilda,Gen. Defender,17.0,10.0,7.0,0.59,0.41,4.0,0.0,2.0,0.18,-0.12,0.29,-1.29
1,Zaine Cordy,St Kilda,Key Defender,4.0,2.0,2.0,0.5,0.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0
1,Zak Jones,St Kilda,Midfielder,11.0,8.0,3.0,0.73,0.27,0.0,0.0,1.0,-5.13,0.53,-5.67,-3.33
2,Anthony Caminiti,St Kilda,Key Defender,18.0,14.0,4.0,0.78,0.22,13.0,0.0,0.0,5.91,6.44,-0.52,7.3
2,Bradley Hill,St Kilda,Mid-Forward,13.0,9.0,4.0,0.69,0.31,3.0,0.0,2.0,-6.59,-3.68,-2.91,-2.27
2,Callum Wilkie,St Kilda,Key Defender,19.0,15.0,4.0,0.79,0.21,9.0,0.0,3.0,0.35,1.04,-0.7,0.56
2,Darcy Wilson,St Kilda,Mid-Forward,17.0,10.0,7.0,0.59,0.41,1.0,0.0,3.0,1.44,1.0,0.44,-2.5
2,Hugo Garcia,St Kilda,Midfielder,,,,,,,,,,,,
2,Hunter Clark,St Kilda,Midfielder,,,,,,,,,,,,
2,Isaac Keeler,St Kilda,Key Forward,7.0,3.0,4.0,0.43,0.57,2.0,1.0,4.0,-0.36,-1.36,1.0,-0.36
2,Jack Higgins,St Kilda,Gen. Forward,12.0,9.0,3.0,0.75,0.25,4.0,4.0,3.0,2.56,4.04,-1.48,1.7
2,Jack Macrae,St Kilda,Midfielder,35.0,17.0,18.0,0.49,0.51,8.0,0.0,10.0,10.43,5.57,4.86,4.86
