Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Dane Rampe,Sydney,Gen. Defender,20250104,0,17.4,6.12,109,66,0.01,0,81,10,11,21,95.2,352,0,7,5,7,5,9,0,1,4,3,1,0,0,0,0,5,1,7,0
1,Braeden Campbell,Sydney,Gen. Forward,20250104,0,16.6,6.87,89,81,0.01,0,78,9,4,13,76.9,183,0,7,5,6,4,2,0,1,1,0,0,3,2,0,0,8,7,13,0
1,Nick Blakey,Sydney,Gen. Defender,20250104,0,16.0,13.49,105,86,0.02,0,88,19,5,24,75.0,652,4,4,2,4,2,7,0,0,4,3,1,0,0,0,1,3,1,3,0
1,Jake Lloyd,Sydney,Midfielder,20250104,0,13.8,8.25,84,71,0.0,0,90,9,10,19,73.7,273,1,8,8,7,7,4,0,1,4,0,0,2,1,1,0,3,2,16,0
1,Chad Warner,Sydney,Midfielder,20250104,0,12.5,14.33,78,66,0.15,1,83,12,8,20,70.0,571,8,7,4,2,0,0,54,5,4,0,1,4,2,0,0,9,1,18,0
1,Lewis Melican,Sydney,Key Defender,20250104,0,12.1,8.1,73,57,0.0,0,80,9,4,13,84.6,266,2,3,3,2,2,7,0,1,6,4,0,0,0,0,0,3,1,3,0
1,James Rowbottom,Sydney,Midfielder,20250104,0,11.5,12.34,88,75,0.01,0,61,7,4,11,63.6,193,3,11,4,3,2,3,57,7,0,0,0,0,0,0,0,2,11,28,0
1,Isaac Heeney,Sydney,Midfielder,20250104,0,11.4,13.91,103,103,0.51,5,88,14,9,23,60.9,393,4,10,5,2,2,0,82,5,7,0,0,2,2,0,1,7,2,20,0
1,Oliver Florent,Sydney,Midfielder,20250104,0,11.1,8.68,84,65,0.0,0,86,11,6,17,58.8,253,4,9,5,7,4,6,0,1,2,1,1,3,0,1,1,5,3,10,0
1,Joel Hamling,Sydney,Key Defender,20250104,0,10.8,6.02,76,44,0.0,0,86,5,6,11,81.8,140,1,6,3,6,3,10,0,0,4,3,2,0,0,0,0,1,1,2,0
1,Brodie Grundy,Sydney,Ruck,20250104,0,8.8,11.5,87,95,0.01,0,81,6,10,16,87.5,108,3,5,3,3,2,3,86,1,4,2,0,0,0,0,0,7,3,15,35
1,Justin McInerney,Sydney,Mid-Forward,20250104,0,8.1,8.79,87,66,0.02,0,78,8,15,23,78.3,226,5,10,5,2,2,1,21,5,4,0,0,0,0,0,1,6,1,12,0
1,Matt Roberts,Sydney,Gen. Defender,20250104,0,8.1,9.48,95,81,0.01,0,89,14,5,19,78.9,379,2,7,3,6,2,5,0,1,3,1,0,0,0,0,0,3,4,10,0
1,Will Hayward,Sydney,Gen. Forward,20250104,0,7.3,6.84,55,51,0.0,0,83,9,2,11,45.5,195,1,5,2,5,2,0,0,1,3,0,2,2,1,0,1,5,1,8,0
1,Tom McCartin,Sydney,Key Defender,20250104,0,4.9,8.26,71,69,0.0,0,85,11,1,12,50.0,316,3,4,3,4,3,2,0,0,7,1,0,2,1,0,0,2,1,8,2
1,Corey Warner,Sydney,Mid-Forward,20250104,0,4.9,5.16,72,75,0.01,0,82,11,4,15,73.3,401,3,3,2,2,1,0,0,1,6,0,0,5,2,2,0,8,1,9,0
1,James Jordon,Sydney,Midfielder,20250104,4,4.8,7.38,69,73,0.04,0,81,6,13,19,63.2,207,2,7,5,2,1,3,75,2,3,0,0,1,0,0,0,3,7,17,0
1,Ben Paton,Sydney,Gen. Defender,20250104,0,3.8,6.35,43,42,0.0,0,53,7,3,10,90.0,121,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,7,0
1,Riley Bice,Sydney,Gen. Defender,20250104,0,3.3,2.41,52,35,0.0,0,31,8,4,12,66.7,304,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,4,0,2,0
1,Tom Papley,Sydney,Gen. Forward,20250104,0,3.1,9.65,35,19,0.0,0,83,4,4,8,87.5,95,2,7,6,5,4,1,11,1,0,0,0,0,0,0,0,1,1,6,0
1,Sam Wicks,Sydney,Gen. Defender,20250104,0,2.1,7.39,26,43,0.0,0,80,8,6,14,57.1,374,3,4,3,4,3,4,0,0,2,0,0,0,0,0,0,1,3,11,0
1,Tom Hanily,Sydney,Gen. Forward,20250104,0,0.5,5.31,47,57,0.0,0,75,7,5,12,58.3,231,5,4,3,2,2,0,0,1,4,0,0,2,1,1,0,4,3,20,0
1,Joel Amartey,Sydney,Key Forward,20250104,0,-4.2,7.18,32,42,0.0,0,78,6,2,8,25.0,154,1,2,0,0,0,0,14,0,4,0,0,2,0,2,0,3,2,8,7
10,Chad Warner,Sydney,Midfielder,20251002,8,21.6,15.28,126,116,1.85,10,87,22,8,30,56.7,630,4,10,8,5,4,3,61,4,4,1,0,3,2,0,2,9,3,17,0
10,Brodie Grundy,Sydney,Ruck,20251002,5,20.4,11.74,135,111,0.24,0,80,5,14,19,78.9,204,4,12,6,3,3,0,96,8,1,0,0,1,1,0,0,3,3,13,47
10,Justin McInerney,Sydney,Mid-Forward,20251002,2,17.3,9.61,105,89,0.04,0,81,12,12,24,79.2,390,4,5,5,2,2,1,22,3,5,0,0,1,1,0,0,5,2,13,0
10,Isaac Heeney,Sydney,Midfielder,20251002,10,16.7,14.33,138,122,2.89,90,86,21,17,38,52.6,453,5,18,12,5,5,1,87,9,2,1,0,8,2,5,0,10,1,19,0
10,Angus Sheldrick,Sydney,Midfielder,20251002,0,14.1,11.54,81,83,0.01,0,60,13,8,21,61.9,473,7,8,7,2,2,2,52,4,0,0,0,1,0,0,1,5,7,19,0
10,Will Hayward,Sydney,Gen. Forward,20251002,0,13.5,7.01,90,66,0.0,0,90,5,13,18,83.3,145,2,8,7,7,6,1,0,0,3,0,0,1,1,0,0,5,3,16,0
10,Braeden Campbell,Sydney,Gen. Forward,20251002,0,12.0,7.67,97,72,0.0,0,78,10,5,15,73.3,342,4,8,5,8,5,2,0,0,1,0,0,1,1,0,1,4,6,16,0
10,Nick Blakey,Sydney,Gen. Defender,20251002,0,11.9,12.95,68,46,0.0,0,83,9,4,13,69.2,397,1,3,3,3,3,4,0,0,1,1,0,0,0,0,0,3,2,4,0
10,James Jordon,Sydney,Midfielder,20251002,1,11.8,6.75,73,58,0.0,0,87,7,7,14,71.4,183,2,9,6,5,3,4,43,3,0,0,0,1,0,1,0,4,5,13,0
10,Tom McCartin,Sydney,Key Defender,20251002,0,10.1,9.02,87,62,0.0,0,94,10,4,14,92.9,262,0,6,3,6,3,10,0,0,5,2,1,0,0,0,0,2,2,4,0
10,Jake Lloyd,Sydney,Midfielder,20251002,0,9.4,7.47,96,90,0.01,0,88,15,8,23,73.9,415,3,7,6,4,3,5,0,2,8,1,0,0,0,0,0,1,2,8,0
10,Corey Warner,Sydney,Mid-Forward,20251002,0,7.9,5.93,39,27,0.0,0,74,3,10,13,84.6,135,1,6,6,5,5,2,0,1,0,0,0,0,0,0,0,3,1,8,0
10,Oliver Florent,Sydney,Midfielder,20251002,0,6.2,3.75,51,50,0.0,0,43,6,5,11,63.6,214,3,5,4,4,3,5,0,0,2,0,0,1,0,1,0,3,5,7,0
10,James Rowbottom,Sydney,Midfielder,20251002,0,6.1,12.66,79,72,0.01,0,77,10,9,19,52.6,280,3,11,7,3,3,2,35,5,1,0,0,1,0,0,0,4,6,24,0
10,Riley Bice,Sydney,Gen. Defender,20251002,0,5.0,10.12,55,59,0.0,0,79,10,1,11,54.5,266,2,4,3,4,3,3,0,0,7,0,0,0,0,0,0,1,2,13,0
10,Dane Rampe,Sydney,Gen. Defender,20251002,0,5.0,6.7,37,23,0.0,0,91,6,2,8,75.0,184,1,2,2,2,2,5,0,0,0,0,0,0,0,0,0,1,1,5,0
