Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Ben Paton,Sydney,Gen. Defender,,,,,,,,,,,,
1,Braeden Campbell,Sydney,Gen. Forward,13.0,9.0,4.0,0.69,0.31,1.0,2.0,7.0,0.65,1.52,-0.87,-2.13
1,Brodie Grundy,Sydney,Ruck,16.0,6.0,10.0,0.38,0.62,4.0,0.0,3.0,-3.45,-1.27,-2.18,0.64
1,Chad Warner,Sydney,Midfielder,20.0,12.0,8.0,0.6,0.4,4.0,2.0,1.0,-2.17,-2.35,0.17,0.04
1,Corey Warner,Sydney,Mid-Forward,15.0,11.0,4.0,0.73,0.27,6.0,2.0,1.0,3.0,3.5,-0.5,3.0
1,Dane Rampe,Sydney,Gen. Defender,21.0,10.0,11.0,0.48,0.52,4.0,0.0,1.0,7.62,0.9,6.71,-0.33
1,Isaac Heeney,Sydney,Midfielder,23.0,14.0,9.0,0.61,0.39,7.0,2.0,2.0,-0.57,1.04,-1.61,3.22
1,Jake Lloyd,Sydney,Midfielder,19.0,9.0,10.0,0.47,0.53,4.0,1.0,2.0,-1.05,-3.59,2.54,-3.14
1,James Jordon,Sydney,Midfielder,19.0,6.0,13.0,0.32,0.68,3.0,0.0,7.0,4.48,-0.78,5.26,1.0
1,James Rowbottom,Sydney,Midfielder,11.0,7.0,4.0,0.64,0.36,0.0,0.0,11.0,-5.04,-2.48,-2.57,-2.35
1,Joel Amartey,Sydney,Key Forward,8.0,6.0,2.0,0.75,0.25,4.0,0.0,2.0,-0.88,-0.12,-0.75,-0.25
1,Joel Hamling,Sydney,Key Defender,11.0,5.0,6.0,0.45,0.55,4.0,0.0,1.0,3.43,0.93,2.5,1.43
1,Justin McInerney,Sydney,Mid-Forward,23.0,8.0,15.0,0.35,0.65,4.0,0.0,1.0,1.53,-3.29,4.82,-1.24
1,Lewis Melican,Sydney,Key Defender,13.0,9.0,4.0,0.69,0.31,6.0,0.0,1.0,3.29,2.12,1.18,1.59
1,Matt Roberts,Sydney,Gen. Defender,19.0,14.0,5.0,0.74,0.26,3.0,0.0,4.0,-2.22,-0.61,-1.61,-3.0
1,Nick Blakey,Sydney,Gen. Defender,24.0,19.0,5.0,0.79,0.21,4.0,0.0,1.0,2.61,1.61,1.0,-1.48
1,Oliver Florent,Sydney,Midfielder,17.0,11.0,6.0,0.65,0.35,2.0,0.0,3.0,1.81,2.31,-0.5,-2.12
1,Riley Bice,Sydney,Gen. Defender,,,,,,,,,,,,
1,Sam Wicks,Sydney,Gen. Defender,14.0,8.0,6.0,0.57,0.43,2.0,0.0,3.0,-0.62,-1.95,1.33,-0.43
