Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Jack Graham,West Coast,Mid-Forward,20250109,0,17.7,9.24,107,97,0.0,0,81,11,12,23,87.0,401,5,5,5,1,1,1,71,2,3,0,0,0,0,0,1,4,10,26,0
1,Liam Baker,West Coast,Gen. Defender,20250109,0,12.8,10.89,102,61,0.0,0,82,14,7,21,71.4,534,4,9,7,6,5,5,0,2,3,1,0,1,0,1,0,3,1,11,0
1,Tom Cole,West Coast,Gen. Defender,20250109,0,11.7,7.01,97,89,0.0,0,79,10,9,19,73.7,311,3,5,4,3,2,8,0,1,8,4,0,0,0,0,0,2,4,18,0
1,Reuben Ginbey,West Coast,Gen. Defender,20250109,0,11.6,9.97,82,68,0.0,0,93,10,6,16,81.3,344,1,4,4,3,3,4,0,1,3,2,0,0,0,0,0,4,4,11,0
1,Matt Flynn,West Coast,Ruck,20250109,0,11.6,11.59,87,73,0.0,0,85,7,6,13,69.2,141,0,8,5,4,1,2,68,4,4,1,3,1,1,0,0,3,3,14,13
1,Jeremy McGovern,West Coast,Key Defender,20250109,0,9.3,12.83,86,61,0.0,0,87,14,5,19,73.7,426,0,3,2,3,2,7,0,0,1,1,0,0,0,0,0,1,2,9,0
1,Harley Reid,West Coast,Midfielder,20250109,0,8.9,11.09,44,44,0.0,0,78,6,6,12,66.7,257,3,4,4,1,1,1,68,1,1,0,0,2,1,1,0,5,1,17,0
1,Oscar Allen,West Coast,Key Forward,20250109,0,7.1,7.01,63,59,0.0,0,93,6,2,8,62.5,164,1,4,1,4,1,1,0,0,5,0,2,3,2,0,0,2,3,7,0
1,Harry Edwards,West Coast,Key Defender,20250109,0,7.1,7.89,46,20,0.0,0,85,2,1,3,66.7,90,0,3,2,3,2,3,0,0,1,1,1,0,0,0,0,0,2,4,0
1,Brady Hough,West Coast,Midfielder,20250109,0,6.7,6.26,75,60,0.0,0,88,8,8,16,68.8,242,0,6,5,4,4,6,0,1,4,1,0,0,0,0,0,0,2,11,0
1,Archer Reid,West Coast,Key Forward,20250109,0,6.6,5.38,44,32,0.0,0,66,1,5,6,66.7,44,1,5,4,1,0,0,32,3,0,0,0,0,0,0,0,1,3,8,6
1,Ryan Maric,West Coast,Gen. Defender,20250109,0,6.4,2.93,33,31,0.0,0,33,5,4,9,88.9,100,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,2,2,6,0
1,Elijah Hewett,West Coast,Midfielder,20250109,0,6.2,5.18,52,47,0.0,0,73,6,5,11,54.5,164,1,7,4,3,1,1,23,4,1,0,0,1,0,1,1,4,4,10,0
1,Jake Waterman,West Coast,Key Forward,20250109,0,5.5,9.1,38,33,0.0,0,58,2,3,5,80.0,107,1,0,0,0,0,0,0,0,3,0,0,2,2,0,0,2,0,1,0
1,Tyler Brockman,West Coast,Gen. Forward,20250109,0,5.0,7.37,45,43,0.0,0,84,3,12,15,66.7,111,2,7,6,4,4,2,6,2,1,0,0,1,0,1,0,3,3,9,0
1,Liam Duggan,West Coast,Gen. Defender,20250109,0,4.3,8.37,70,71,0.0,0,67,11,9,20,70.0,236,1,6,4,3,2,4,42,3,4,1,0,0,0,0,1,2,3,18,0
1,Jamie Cripps,West Coast,Gen. Forward,20250109,0,3.8,8.84,55,51,0.0,0,90,11,3,14,64.3,458,3,3,3,3,3,2,0,0,4,1,0,1,0,0,1,3,0,5,0
1,Jack Hutchinson,West Coast,Midfielder,20250109,0,3.7,6.38,58,71,0.0,0,67,7,5,12,50.0,191,2,4,4,1,1,1,23,1,5,1,0,0,0,0,0,1,7,13,0
1,Tim Kelly,West Coast,Mid-Forward,20250109,0,2.5,13.44,56,63,0.0,0,74,7,7,14,50.0,232,1,6,3,1,1,0,68,4,2,0,0,1,0,1,0,4,6,17,0
1,Jayden Hunt,West Coast,Midfielder,20250109,0,2.3,8.9,32,26,0.0,0,82,3,5,8,75.0,60,0,4,3,1,1,0,0,3,1,0,0,0,0,0,0,1,1,9,0
1,Matthew Owies,West Coast,Gen. Forward,20250109,0,1.0,7.74,52,57,0.0,0,84,5,6,11,63.6,210,2,1,1,1,1,0,0,0,5,0,0,1,1,0,1,4,3,14,0
1,Noah Long,West Coast,Gen. Forward,20250109,0,0.7,6.24,16,15,0.0,0,87,2,4,6,66.7,53,0,3,2,2,2,1,0,1,1,0,0,1,0,1,0,1,0,10,0
1,Tyrell Dewar,West Coast,Midfielder,20250109,0,-1.0,6.39,27,46,0.0,0,83,12,3,15,53.3,442,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,7,0
10,Liam Ryan,West Coast,Gen. Forward,20251009,4,18.3,9.07,82,82,0.32,6,81,10,4,14,71.4,409,6,7,2,3,2,3,44,4,4,1,0,4,2,1,2,9,5,16,0
10,Harley Reid,West Coast,Midfielder,20251009,3,17.8,10.35,99,70,0.66,12,80,9,6,15,73.3,370,5,12,8,5,2,1,75,4,3,0,1,3,2,1,0,4,4,24,0
10,Jack Graham,West Coast,Mid-Forward,20251009,7,16.4,10.43,101,97,0.64,11,84,11,6,17,76.5,372,7,10,8,3,3,2,41,5,3,0,0,1,1,0,0,6,9,25,0
10,Matt Flynn,West Coast,Ruck,20251009,0,16.4,11.88,111,93,0.11,2,84,8,9,17,70.6,208,2,11,6,5,4,4,81,5,5,1,1,1,1,0,1,6,1,8,30
10,Liam Baker,West Coast,Gen. Defender,20251009,7,15.5,10.62,103,77,0.32,5,87,10,8,18,83.3,441,4,8,6,4,3,5,0,3,3,2,0,0,0,0,1,5,5,21,0
10,Jamie Cripps,West Coast,Gen. Forward,20251009,0,14.3,7.79,69,43,0.0,0,84,6,3,9,88.9,168,3,6,5,5,4,2,0,0,1,0,0,1,1,0,1,3,3,17,0
10,Bailey J. Williams,West Coast,Ruck,20251009,0,13.2,7.81,80,54,0.02,0,66,4,4,8,87.5,91,0,7,5,4,3,1,19,3,1,0,1,2,2,0,0,5,1,12,15
10,Brady Hough,West Coast,Midfielder,20251009,5,12.2,6.58,112,108,0.89,15,81,13,11,24,70.8,487,5,8,5,4,2,4,44,2,6,0,0,1,1,0,1,6,5,20,0
10,Liam Duggan,West Coast,Gen. Defender,20251009,0,11.5,7.6,98,83,0.07,1,85,17,4,21,81.0,599,2,2,2,2,2,6,0,0,5,1,0,0,0,0,0,3,2,11,0
10,Reuben Ginbey,West Coast,Gen. Defender,20251009,0,10.3,9.06,64,42,0.0,0,88,7,4,11,90.9,268,1,4,2,4,2,5,0,0,1,0,0,0,0,0,0,2,2,5,0
10,Tim Kelly,West Coast,Mid-Forward,20251009,0,10.2,11.35,62,50,0.01,0,86,7,5,12,58.3,239,4,4,4,2,2,1,19,2,2,0,0,1,0,1,1,4,3,17,0
10,Jayden Hunt,West Coast,Midfielder,20251009,0,10.2,8.23,56,48,0.02,0,82,7,8,15,60.0,198,2,7,4,5,4,1,0,2,0,0,0,3,1,2,1,5,2,11,0
10,Harry Edwards,West Coast,Key Defender,20251009,0,9.4,8.01,64,40,0.01,0,84,7,3,10,90.0,246,1,5,3,5,3,6,0,0,4,2,1,0,0,0,0,0,0,2,0
10,Tyler Brockman,West Coast,Gen. Forward,20251009,0,9.1,7.52,70,67,0.02,0,80,7,9,16,81.3,184,3,7,5,3,3,2,22,3,3,0,0,1,0,1,1,6,6,15,0
10,Tom Cole,West Coast,Gen. Defender,20251009,0,9.0,6.65,75,61,0.02,0,80,8,7,15,86.7,233,3,6,4,6,4,6,0,0,3,2,1,1,0,1,0,3,3,13,0
10,Ryan Maric,West Coast,Gen. Defender,20251009,0,7.7,8.37,85,84,0.1,2,89,19,3,22,72.7,490,1,3,2,2,1,4,0,0,4,1,0,0,0,0,0,2,2,12,0
10,Jake Waterman,West Coast,Key Forward,20251009,0,7.7,7.39,69,69,0.06,1,91,10,5,15,80.0,319,3,2,1,2,1,0,0,0,6,0,1,4,2,1,0,6,1,6,0
