Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Archer Reid,West Coast,6.0,1.0,5.0,0.17,0.83,0.0,0.0,3.0,Key Forward
1,Brady Hough,West Coast,16.0,8.0,8.0,0.5,0.5,4.0,0.0,2.0,Midfielder
1,Elijah Hewett,West Coast,11.0,6.0,5.0,0.55,0.45,1.0,0.0,4.0,Midfielder
1,Harley Reid,West Coast,12.0,6.0,6.0,0.5,0.5,1.0,1.0,1.0,Midfielder
1,Harry Edwards,West Coast,3.0,2.0,1.0,0.67,0.33,1.0,0.0,2.0,Key Defender
1,Jack Graham,West Coast,23.0,11.0,12.0,0.48,0.52,3.0,0.0,10.0,Mid-Forward
1,Jack Hutchinson,West Coast,12.0,7.0,5.0,0.58,0.42,5.0,0.0,7.0,Midfielder
1,Jake Waterman,West Coast,,,,,,,,,Key Forward
1,Jamie Cripps,West Coast,14.0,11.0,3.0,0.79,0.21,4.0,0.0,0.0,Gen. Forward
1,Jayden Hunt,West Coast,8.0,3.0,5.0,0.38,0.62,1.0,0.0,1.0,Midfielder
1,Jeremy McGovern,West Coast,19.0,14.0,5.0,0.74,0.26,1.0,0.0,2.0,Key Defender
1,Liam Baker,West Coast,21.0,14.0,7.0,0.67,0.33,3.0,0.0,1.0,Gen. Defender
1,Liam Duggan,West Coast,20.0,11.0,9.0,0.55,0.45,4.0,0.0,3.0,Gen. Defender
1,Matt Flynn,West Coast,13.0,7.0,6.0,0.54,0.46,4.0,1.0,3.0,Ruck
1,Matthew Owies,West Coast,11.0,5.0,6.0,0.45,0.55,5.0,1.0,3.0,Gen. Forward
1,Noah Long,West Coast,6.0,2.0,4.0,0.33,0.67,1.0,0.0,0.0,Gen. Forward
1,Oscar Allen,West Coast,8.0,6.0,2.0,0.75,0.25,5.0,2.0,3.0,Key Forward
1,Reuben Ginbey,West Coast,16.0,10.0,6.0,0.62,0.38,3.0,0.0,4.0,Gen. Defender
1,Ryan Maric,West Coast,,,,,,,,,Gen. Defender
1,Tim Kelly,West Coast,14.0,7.0,7.0,0.5,0.5,2.0,0.0,6.0,Mid-Forward
1,Tom Cole,West Coast,19.0,10.0,9.0,0.53,0.47,8.0,0.0,4.0,Gen. Defender
1,Tyler Brockman,West Coast,15.0,3.0,12.0,0.2,0.8,1.0,0.0,3.0,Gen. Forward
1,Tyrell Dewar,West Coast,15.0,12.0,3.0,0.8,0.2,2.0,0.0,1.0,Midfielder
2,Archer Reid,West Coast,7.0,5.0,2.0,0.71,0.29,1.0,0.0,0.0,Key Forward
2,Bailey J. Williams,West Coast,,,,,,,,,Ruck
2,Brady Hough,West Coast,14.0,10.0,4.0,0.71,0.29,4.0,0.0,5.0,Midfielder
2,Clay Hall,West Coast,15.0,4.0,11.0,0.27,0.73,0.0,1.0,3.0,Midfielder
2,Elijah Hewett,West Coast,13.0,8.0,5.0,0.62,0.38,2.0,0.0,2.0,Midfielder
2,Harley Reid,West Coast,15.0,8.0,7.0,0.53,0.47,3.0,0.0,7.0,Midfielder
2,Harry Edwards,West Coast,7.0,6.0,1.0,0.86,0.14,3.0,0.0,0.0,Key Defender
2,Jack Petruccelle,West Coast,,,,,,,,,Gen. Forward
2,Jamie Cripps,West Coast,12.0,8.0,4.0,0.67,0.33,2.0,1.0,2.0,Gen. Forward
2,Jayden Hunt,West Coast,18.0,9.0,9.0,0.5,0.5,5.0,0.0,1.0,Midfielder
2,Jeremy McGovern,West Coast,20.0,11.0,9.0,0.55,0.45,3.0,0.0,1.0,Key Defender
2,Liam Baker,West Coast,24.0,15.0,9.0,0.62,0.38,3.0,0.0,7.0,Gen. Defender
2,Liam Duggan,West Coast,19.0,9.0,10.0,0.47,0.53,5.0,0.0,2.0,Gen. Defender
2,Liam Ryan,West Coast,16.0,10.0,6.0,0.62,0.38,4.0,3.0,1.0,Gen. Forward
2,Matthew Owies,West Coast,13.0,4.0,9.0,0.31,0.69,2.0,0.0,8.0,Gen. Forward
2,Noah Long,West Coast,7.0,3.0,4.0,0.43,0.57,0.0,0.0,3.0,Gen. Forward
2,Oscar Allen,West Coast,8.0,7.0,1.0,0.88,0.12,4.0,1.0,0.0,Key Forward
