Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Bailey Dale,Western Bulldogs,Gen. Defender,20250105,8,22.1,12.54,127,104,1.8,27,87,22,7,29,89.7,558,2,5,4,4,3,6,0,1,3,1,0,3,2,1,0,9,1,8,0
1,Ed Richards,Western Bulldogs,Midfielder,20250105,10,21.7,13.74,119,95,2.49,61,79,18,12,30,56.7,611,9,13,9,3,3,2,82,7,2,0,0,2,1,0,4,11,2,21,0
1,Matthew Kennedy,Western Bulldogs,Midfielder,20250105,0,20.4,9.7,115,92,0.02,0,74,11,12,23,87.0,259,6,7,6,3,3,1,42,3,6,0,0,0,0,0,4,7,4,22,0
1,Laitham Vandermeer,Western Bulldogs,Gen. Forward,20250105,0,17.9,6.47,115,81,0.02,0,79,10,6,16,68.8,231,3,10,8,10,8,0,0,0,3,0,0,4,3,1,2,8,3,14,0
1,Tom Liberatore,Western Bulldogs,Midfielder,20250105,3,17.6,14.8,120,108,0.76,7,81,13,15,28,75.0,354,6,15,12,3,3,2,79,9,3,0,0,1,0,1,0,7,8,22,0
1,Aaron Naughton,Western Bulldogs,Key Forward,20250105,3,15.8,9.95,103,89,0.22,1,88,8,9,17,64.7,264,2,9,4,9,4,2,0,0,8,0,4,5,3,1,1,9,1,10,0
1,Sam Darcy,Western Bulldogs,Key Forward,20250105,0,14.1,10.45,76,65,0.01,0,82,8,4,12,58.3,231,2,7,2,4,0,2,24,2,6,2,3,3,1,1,0,9,1,9,6
1,Joel Freijah,Western Bulldogs,Mid-Forward,20250105,0,13.1,9.69,109,103,0.11,1,88,14,14,28,67.9,455,3,8,7,4,4,6,36,2,6,2,0,1,1,0,1,6,3,22,0
1,Ryley Sanders,Western Bulldogs,Mid-Forward,20250105,0,12.2,7.47,64,72,0.02,0,84,8,7,15,60.0,271,5,6,3,1,0,1,42,2,2,0,0,3,2,1,0,5,4,24,0
1,Lachlan Bramble,Western Bulldogs,Gen. Defender,20250105,0,10.7,9.09,86,77,0.01,0,86,13,8,21,90.5,296,0,5,3,4,2,3,0,1,4,0,0,0,0,0,0,4,2,8,0
