Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Aaron Naughton,Western Bulldogs,Key Forward,17.0,8.0,9.0,0.47,0.53,8.0,3.0,1.0,5.22,-0.22,5.44,2.61
1,Arthur Jones,Western Bulldogs,Mid-Forward,,,,,,,,,,,,
1,Bailey Dale,Western Bulldogs,Gen. Defender,29.0,22.0,7.0,0.76,0.24,3.0,2.0,1.0,1.96,2.26,-0.3,-1.7
1,Bailey Williams,Western Bulldogs,Midfielder,14.0,10.0,4.0,0.71,0.29,8.0,0.0,2.0,-5.7,-0.3,-5.39,1.65
1,Ed Richards,Western Bulldogs,Midfielder,30.0,18.0,12.0,0.6,0.4,2.0,1.0,2.0,4.22,2.65,1.56,-1.35
1,Harvey Gallagher,Western Bulldogs,Gen. Defender,16.0,10.0,6.0,0.62,0.38,4.0,0.0,2.0,5.0,2.2,2.8,1.2
1,James Harmes,Western Bulldogs,Midfielder,16.0,7.0,9.0,0.44,0.56,2.0,1.0,3.0,-1.39,-1.0,-0.38,-1.08
1,James O'Donnell,Western Bulldogs,Key Defender,9.0,5.0,4.0,0.56,0.44,4.0,0.0,0.0,-1.41,-2.0,0.59,-0.09
1,Joel Freijah,Western Bulldogs,Mid-Forward,28.0,14.0,14.0,0.5,0.5,6.0,1.0,3.0,9.0,4.35,4.65,2.44
1,Josh Dolan,Western Bulldogs,Gen. Forward,5.0,2.0,3.0,0.4,0.6,2.0,0.0,2.0,-2.82,-1.18,-1.64,0.64
1,Lachlan Bramble,Western Bulldogs,Gen. Defender,21.0,13.0,8.0,0.62,0.38,4.0,0.0,2.0,3.7,1.44,2.26,-0.39
1,Lachlan McNeil,Western Bulldogs,Gen. Forward,10.0,4.0,6.0,0.4,0.6,0.0,2.0,0.0,0.76,-0.86,1.62,-1.48
1,Laitham Vandermeer,Western Bulldogs,Gen. Forward,16.0,10.0,6.0,0.62,0.38,3.0,3.0,3.0,5.63,4.74,0.89,0.1
1,Luke Cleary,Western Bulldogs,Gen. Defender,8.0,4.0,4.0,0.5,0.5,5.0,0.0,0.0,-5.19,-3.56,-1.62,0.75
1,Matthew Kennedy,Western Bulldogs,Midfielder,23.0,11.0,12.0,0.48,0.52,6.0,0.0,4.0,-0.17,-1.56,1.39,1.52
1,Rhylee West,Western Bulldogs,Gen. Forward,19.0,8.0,11.0,0.42,0.58,4.0,0.0,5.0,5.39,0.57,4.83,0.96
1,Rory Lobb,Western Bulldogs,Key Defender,11.0,5.0,6.0,0.45,0.55,2.0,0.0,1.0,-1.17,-3.04,1.87,-3.39
1,Ryley Sanders,Western Bulldogs,Mid-Forward,15.0,8.0,7.0,0.53,0.47,2.0,2.0,4.0,-3.57,2.09,-5.67,-1.0
1,Sam Darcy,Western Bulldogs,Key Forward,12.0,8.0,4.0,0.67,0.33,6.0,1.0,1.0,-2.23,-1.23,-1.0,0.0
1,Sam Davidson,Western Bulldogs,Midfielder,10.0,5.0,5.0,0.5,0.5,3.0,1.0,4.0,-5.53,-4.58,-0.95,-1.26
1,Taylor Duryea,Western Bulldogs,Gen. Defender,10.0,5.0,5.0,0.5,0.5,3.0,0.0,1.0,-0.8,-1.4,0.6,-0.8
1,Tim English,Western Bulldogs,Ruck,11.0,4.0,7.0,0.36,0.64,4.0,0.0,3.0,-6.83,-6.09,-0.74,-2.13
1,Tom Liberatore,Western Bulldogs,Midfielder,28.0,13.0,15.0,0.46,0.54,3.0,0.0,8.0,1.52,0.13,1.39,-0.7
2,Aaron Naughton,Western Bulldogs,Key Forward,11.0,4.0,7.0,0.36,0.64,4.0,0.0,0.0,-0.78,-4.22,3.44,-1.39
2,Arthur Jones,Western Bulldogs,Mid-Forward,7.0,2.0,5.0,0.29,0.71,1.0,0.0,3.0,2.5,0.5,2.0,0.25
2,Bailey Dale,Western Bulldogs,Gen. Defender,31.0,21.0,10.0,0.68,0.32,2.0,0.0,3.0,3.96,1.26,2.7,-2.7
2,Bailey Williams,Western Bulldogs,Midfielder,20.0,8.0,12.0,0.4,0.6,3.0,0.0,2.0,0.3,-2.3,2.61,-3.35
2,Buku Khamis,Western Bulldogs,Key Forward,14.0,8.0,6.0,0.57,0.43,5.0,0.0,2.0,5.14,2.93,2.21,1.07
2,Ed Richards,Western Bulldogs,Midfielder,27.0,17.0,10.0,0.63,0.37,3.0,0.0,3.0,1.22,1.65,-0.44,-0.35
2,Harvey Gallagher,Western Bulldogs,Gen. Defender,16.0,11.0,5.0,0.69,0.31,5.0,0.0,1.0,5.0,3.2,1.8,2.2
2,James Harmes,Western Bulldogs,Midfielder,14.0,3.0,11.0,0.21,0.79,2.0,1.0,1.0,-3.39,-5.0,1.62,-1.08
