Player,Darcy Fogarty,Riley Thilthorpe,Taylor Walker,Alex Neal-Bullen,Ben Keays,Josh Rachele,Zac Taylor,Izak Rankine,Daniel Curtin,Isaac Cumming,Jake Soligo,James Peatling,Jordan Dawson,Sam Berry,Reilly O'Brien,Josh Worrell,Max Michalanney,Mitchell Hinge,Rory Laird,Wayne Milera,Mark Keane
Darcy Fogarty,1.000,0.161,0.007,-0.339,0.301,0.098,-0.335,-0.351,-0.177,-0.284,0.068,0.041,0.090,0.129,-0.419,-0.264,-0.316,0.012,-0.314,0.014,0.222
Riley Thilthorpe,0.161,1.000,0.179,-0.389,-0.001,-0.104,0.029,-0.042,0.183,-0.306,0.272,-0.003,0.267,0.225,0.254,-0.163,-0.612,0.357,0.096,-0.122,-0.178
Taylor Walker,0.007,0.179,1.000,-0.028,0.285,-0.406,-0.127,-0.210,0.128,0.052,-0.126,-0.002,-0.047,0.124,0.031,0.005,0.051,0.069,-0.375,0.254,-0.106
Alex Neal-Bullen,-0.339,-0.389,-0.028,1.000,0.104,0.258,0.041,-0.295,0.134,0.398,0.166,0.107,-0.046,0.025,-0.212,0.555,0.293,-0.383,-0.145,0.197,0.249
Ben Keays,0.301,-0.001,0.285,0.104,1.000,-0.369,-0.354,-0.481,-0.007,-0.328,0.191,0.319,-0.192,0.356,-0.154,0.004,-0.241,-0.276,-0.299,-0.347,0.045
Josh Rachele,0.098,-0.104,-0.406,0.258,-0.369,1.000,0.394,0.077,-0.215,0.383,0.221,-0.477,0.347,-0.276,-0.213,0.189,0.463,0.032,-0.025,0.151,0.084
Zac Taylor,-0.335,0.029,-0.127,0.041,-0.354,0.394,1.000,0.257,0.037,0.136,0.243,-0.320,0.097,-0.683,0.192,-0.291,0.275,-0.260,-0.108,0.101,-0.402
Izak Rankine,-0.351,-0.042,-0.210,-0.295,-0.481,0.077,0.257,1.000,-0.168,0.287,-0.065,0.171,-0.170,-0.390,0.053,-0.040,0.108,0.425,0.401,-0.018,-0.090
Daniel Curtin,-0.177,0.183,0.128,0.134,-0.007,-0.215,0.037,-0.168,1.000,-0.033,0.142,-0.148,0.088,0.498,0.034,0.252,0.002,-0.118,0.216,0.208,-0.027
Isaac Cumming,-0.284,-0.306,0.052,0.398,-0.328,0.383,0.136,0.287,-0.033,1.000,0.027,-0.179,-0.004,-0.118,-0.040,0.153,0.297,-0.046,-0.146,0.052,0.309
Jake Soligo,0.068,0.272,-0.126,0.166,0.191,0.221,0.243,-0.065,0.142,0.027,1.000,0.214,0.295,-0.099,-0.118,-0.140,-0.233,-0.011,0.168,-0.316,-0.331
James Peatling,0.041,-0.003,-0.002,0.107,0.319,-0.477,-0.320,0.171,-0.148,-0.179,0.214,1.000,-0.201,0.155,-0.501,0.127,-0.361,0.064,-0.168,0.050,-0.155
Jordan Dawson,0.090,0.267,-0.047,-0.046,-0.192,0.347,0.097,-0.170,0.088,-0.004,0.295,-0.201,1.000,0.044,-0.071,-0.163,0.164,0.437,-0.093,0.176,-0.176
Sam Berry,0.129,0.225,0.124,0.025,0.356,-0.276,-0.683,-0.390,0.498,-0.118,-0.099,0.155,0.044,1.000,-0.152,0.333,-0.189,-0.030,0.332,0.209,0.221
Reilly O'Brien,-0.419,0.254,0.031,-0.212,-0.154,-0.213,0.192,0.053,0.034,-0.040,-0.118,-0.501,-0.071,-0.152,1.000,0.059,-0.020,-0.221,0.297,-0.390,-0.056
Josh Worrell,-0.264,-0.163,0.005,0.555,0.004,0.189,-0.291,-0.040,0.252,0.153,-0.140,0.127,-0.163,0.333,0.059,1.000,0.379,-0.227,0.129,0.293,0.338
Max Michalanney,-0.316,-0.612,0.051,0.293,-0.241,0.463,0.275,0.108,0.002,0.297,-0.233,-0.361,0.164,-0.189,-0.020,0.379,1.000,-0.358,0.006,0.281,-0.185
Mitchell Hinge,0.012,0.357,0.069,-0.383,-0.276,0.032,-0.260,0.425,-0.118,-0.046,-0.011,0.064,0.437,-0.030,-0.221,-0.227,-0.358,1.000,0.076,0.241,0.007
Rory Laird,-0.314,0.096,-0.375,-0.145,-0.299,-0.025,-0.108,0.401,0.216,-0.146,0.168,-0.168,-0.093,0.332,0.297,0.129,0.006,0.076,1.000,-0.251,-0.130
Wayne Milera,0.014,-0.122,0.254,0.197,-0.347,0.151,0.101,-0.018,0.208,0.052,-0.316,0.050,0.176,0.209,-0.390,0.293,0.281,0.241,-0.251,1.000,0.277
Mark Keane,0.222,-0.178,-0.106,0.249,0.045,0.084,-0.402,-0.090,-0.027,0.309,-0.331,-0.155,-0.176,0.221,-0.056,0.338,-0.185,0.007,-0.130,0.277,1.000
