Player,Darcy Fogarty,Riley Thilthorpe,Taylor Walker,Alex Neal-Bullen,Ben Keays,Josh Rachele,Zac Taylor,Izak Rankine,Daniel Curtin,Isaac Cumming,Jake Soligo,James Peatling,Jordan Dawson,Sam Berry,Reilly O'Brien,Josh Worrell,Max Michalanney,Mitchell Hinge,Rory Laird,Wayne Milera,Mark Keane
Darcy Fogarty,1.000,0.154,-0.027,-0.246,0.411,0.137,-0.497,-0.331,-0.299,-0.285,-0.014,0.074,0.104,0.035,-0.375,-0.208,-0.255,-0.150,-0.266,0.004,0.225
Riley Thilthorpe,0.154,1.000,0.405,-0.376,0.141,-0.139,-0.019,0.080,0.180,-0.346,0.191,0.028,0.295,0.289,0.259,-0.121,-0.403,0.256,0.171,-0.063,-0.198
Taylor Walker,-0.027,0.405,1.000,-0.046,0.035,-0.323,0.011,0.077,0.139,-0.051,0.028,0.181,0.173,-0.073,0.092,0.041,0.067,0.238,-0.279,0.228,-0.153
Alex Neal-Bullen,-0.246,-0.376,-0.046,1.000,-0.106,0.202,0.028,-0.327,0.084,0.426,0.170,0.068,-0.015,-0.056,-0.212,0.555,0.176,-0.145,-0.087,0.175,0.276
Ben Keays,0.411,0.141,0.035,-0.106,1.000,-0.351,-0.284,-0.511,-0.022,-0.482,0.225,0.297,-0.234,0.258,-0.147,-0.137,-0.263,-0.390,-0.348,-0.425,-0.048
Josh Rachele,0.137,-0.139,-0.323,0.202,-0.351,1.000,0.319,0.318,-0.208,0.315,0.343,-0.495,0.451,-0.312,-0.263,0.145,0.487,0.092,0.066,0.255,0.022
Zac Taylor,-0.497,-0.019,0.011,0.028,-0.284,0.319,1.000,0.147,0.029,-0.012,0.430,-0.009,0.049,-0.695,0.153,-0.235,0.098,-0.131,-0.033,-0.004,-0.410
Izak Rankine,-0.331,0.080,0.077,-0.327,-0.511,0.318,0.147,1.000,-0.306,0.196,0.037,0.052,0.185,-0.284,0.031,-0.212,0.080,0.648,0.443,-0.020,-0.217
Daniel Curtin,-0.299,0.180,0.139,0.084,-0.022,-0.208,0.029,-0.306,1.000,0.020,0.090,-0.147,-0.122,0.396,0.068,0.336,0.101,-0.057,0.254,0.177,-0.002
Isaac Cumming,-0.285,-0.346,-0.051,0.426,-0.482,0.315,-0.012,0.196,0.020,1.000,0.036,-0.080,-0.023,-0.158,0.001,0.154,0.382,-0.078,-0.106,0.094,0.308
Jake Soligo,-0.014,0.191,0.028,0.170,0.225,0.343,0.430,0.037,0.090,0.036,1.000,0.206,0.344,-0.328,-0.120,-0.186,-0.038,0.090,0.140,-0.280,-0.386
James Peatling,0.074,0.028,0.181,0.068,0.297,-0.495,-0.009,0.052,-0.147,-0.080,0.206,1.000,-0.261,-0.027,-0.432,-0.153,-0.511,-0.020,-0.277,0.063,-0.087
Jordan Dawson,0.104,0.295,0.173,-0.015,-0.234,0.451,0.049,0.185,-0.122,-0.023,0.344,-0.261,1.000,-0.090,0.058,-0.119,0.247,0.464,-0.089,0.160,-0.171
Sam Berry,0.035,0.289,-0.073,-0.056,0.258,-0.312,-0.695,-0.284,0.396,-0.158,-0.328,-0.027,-0.090,1.000,-0.152,0.255,-0.135,-0.027,0.362,0.276,0.130
Reilly O'Brien,-0.375,0.259,0.092,-0.212,-0.147,-0.263,0.153,0.031,0.068,0.001,-0.120,-0.432,0.058,-0.152,1.000,0.141,0.141,-0.178,0.172,-0.335,0.061
Josh Worrell,-0.208,-0.121,0.041,0.555,-0.137,0.145,-0.235,-0.212,0.336,0.154,-0.186,-0.153,-0.119,0.255,0.141,1.000,0.395,-0.237,0.152,0.217,0.356
Max Michalanney,-0.255,-0.403,0.067,0.176,-0.263,0.487,0.098,0.080,0.101,0.382,-0.038,-0.511,0.247,-0.135,0.141,0.395,1.000,-0.267,0.024,0.133,-0.087
Mitchell Hinge,-0.150,0.256,0.238,-0.145,-0.390,0.092,-0.131,0.648,-0.057,-0.078,0.090,-0.020,0.464,-0.027,-0.178,-0.237,-0.267,1.000,0.217,0.359,-0.071
Rory Laird,-0.266,0.171,-0.279,-0.087,-0.348,0.066,-0.033,0.443,0.254,-0.106,0.140,-0.277,-0.089,0.362,0.172,0.152,0.024,0.217,1.000,-0.157,-0.078
Wayne Milera,0.004,-0.063,0.228,0.175,-0.425,0.255,-0.004,-0.020,0.177,0.094,-0.280,0.063,0.160,0.276,-0.335,0.217,0.133,0.359,-0.157,1.000,0.257
Mark Keane,0.225,-0.198,-0.153,0.276,-0.048,0.022,-0.410,-0.217,-0.002,0.308,-0.386,-0.087,-0.171,0.130,0.061,0.356,-0.087,-0.071,-0.078,0.257,1.000
