Player,Eric Hipwood,Logan Morris,Sam Day,Callum Ah Chee,Cam Rayner,Charlie Cameron,Kai Lohmann,Zac Bailey,Hugh McCluggage,Jarrod Berry,Josh Dunkley,Lachie Neale,Levi Ashcroft,Will Ashcroft,Darcy Fort,Darcy Wilmot,Dayne Zorko,Jaspa Fletcher,Noah Answerth,Ryan Lester,Darcy Gardiner,Harris Andrews,Jack Payne
Eric Hipwood,1.000,-0.147,0.209,0.032,0.014,-0.236,0.045,-0.143,0.132,-0.027,-0.119,0.538,-0.057,0.165,-0.460,0.146,-0.208,-0.241,0.220,-0.074,0.217,0.174,-0.156
Logan Morris,-0.147,1.000,0.124,-0.109,-0.009,-0.113,0.248,-0.120,0.157,0.330,-0.050,0.057,-0.164,0.074,0.129,-0.372,-0.226,0.257,-0.253,-0.398,0.057,-0.067,0.048
Sam Day,0.209,0.124,1.000,-0.127,-0.218,-0.251,-0.515,-0.308,-0.635,0.241,0.065,0.038,-0.297,-0.344,0.712,0.280,0.249,-0.036,-0.004,0.378,0.669,-0.495,-0.180
Callum Ah Chee,0.032,-0.109,-0.127,1.000,0.037,-0.228,0.352,0.124,0.036,0.150,-0.098,-0.036,-0.196,0.025,-0.138,0.071,0.035,0.087,-0.097,0.270,0.029,0.181,-0.122
Cam Rayner,0.014,-0.009,-0.218,0.037,1.000,-0.313,0.124,0.362,0.060,-0.023,0.221,0.188,-0.021,0.304,-0.204,0.385,-0.114,0.037,-0.527,-0.369,-0.368,-0.130,0.051
Charlie Cameron,-0.236,-0.113,-0.251,-0.228,-0.313,1.000,0.015,0.270,-0.072,-0.053,0.080,0.146,0.401,0.101,-0.073,-0.010,0.164,0.247,0.048,-0.008,0.127,-0.036,-0.109
Kai Lohmann,0.045,0.248,-0.515,0.352,0.124,0.015,1.000,0.067,0.360,0.099,-0.230,0.269,-0.043,-0.184,-0.610,-0.430,-0.186,0.613,-0.007,-0.370,-0.471,0.724,0.473
Zac Bailey,-0.143,-0.120,-0.308,0.124,0.362,0.270,0.067,1.000,0.324,0.067,0.114,0.130,0.023,0.398,-0.147,0.311,-0.107,0.376,-0.187,-0.017,0.325,-0.003,0.282
Hugh McCluggage,0.132,0.157,-0.635,0.036,0.060,-0.072,0.360,0.324,1.000,-0.113,0.006,0.106,-0.019,0.390,-0.108,-0.351,-0.351,0.204,0.532,-0.127,0.088,0.301,0.455
Jarrod Berry,-0.027,0.330,0.241,0.150,-0.023,-0.053,0.099,0.067,-0.113,1.000,-0.082,0.047,0.029,0.032,0.145,0.018,-0.399,-0.132,-0.248,-0.131,0.440,-0.026,0.010
Josh Dunkley,-0.119,-0.050,0.065,-0.098,0.221,0.080,-0.230,0.114,0.006,-0.082,1.000,-0.013,0.331,0.277,0.166,0.469,0.135,0.109,-0.292,0.023,0.014,0.018,0.123
Lachie Neale,0.538,0.057,0.038,-0.036,0.188,0.146,0.269,0.130,0.106,0.047,-0.013,1.000,-0.117,0.058,-0.585,0.169,-0.292,0.244,-0.254,-0.366,0.349,0.013,0.180
Levi Ashcroft,-0.057,-0.164,-0.297,-0.196,-0.021,0.401,-0.043,0.023,-0.019,0.029,0.331,-0.117,1.000,0.251,0.050,0.050,0.070,0.226,-0.022,-0.154,0.253,0.199,0.293
Will Ashcroft,0.165,0.074,-0.344,0.025,0.304,0.101,-0.184,0.398,0.390,0.032,0.277,0.058,0.251,1.000,-0.148,0.128,0.205,0.166,0.093,-0.047,0.253,0.045,0.310
Darcy Fort,-0.460,0.129,0.712,-0.138,-0.204,-0.073,-0.610,-0.147,-0.108,0.145,0.166,-0.585,0.050,-0.148,1.000,0.273,0.042,0.053,-0.023,0.439,0.085,-0.155,-0.185
Darcy Wilmot,0.146,-0.372,0.280,0.071,0.385,-0.010,-0.430,0.311,-0.351,0.018,0.469,0.169,0.050,0.128,0.273,1.000,0.193,-0.086,-0.538,0.145,-0.084,-0.144,-0.284
Dayne Zorko,-0.208,-0.226,0.249,0.035,-0.114,0.164,-0.186,-0.107,-0.351,-0.399,0.135,-0.292,0.070,0.205,0.042,0.193,1.000,0.080,0.220,0.449,-0.170,0.048,-0.248
Jaspa Fletcher,-0.241,0.257,-0.036,0.087,0.037,0.247,0.613,0.376,0.204,-0.132,0.109,0.244,0.226,0.166,0.053,-0.086,0.080,1.000,-0.121,-0.004,0.117,0.318,0.639
Noah Answerth,0.220,-0.253,-0.004,-0.097,-0.527,0.048,-0.007,-0.187,0.532,-0.248,-0.292,-0.254,-0.022,0.093,-0.023,-0.538,0.220,-0.121,1.000,0.519,0.339,0.470,0.035
Ryan Lester,-0.074,-0.398,0.378,0.270,-0.369,-0.008,-0.370,-0.017,-0.127,-0.131,0.023,-0.366,-0.154,-0.047,0.439,0.145,0.449,-0.004,0.519,1.000,0.261,0.302,-0.219
Darcy Gardiner,0.217,0.057,0.669,0.029,-0.368,0.127,-0.471,0.325,0.088,0.440,0.014,0.349,0.253,0.253,0.085,-0.084,-0.170,0.117,0.339,0.261,1.000,-0.006,-0.287
Harris Andrews,0.174,-0.067,-0.495,0.181,-0.130,-0.036,0.724,-0.003,0.301,-0.026,0.018,0.013,0.199,0.045,-0.155,-0.144,0.048,0.318,0.470,0.302,-0.006,1.000,0.295
Jack Payne,-0.156,0.048,-0.180,-0.122,0.051,-0.109,0.473,0.282,0.455,0.010,0.123,0.180,0.293,0.310,-0.185,-0.284,-0.248,0.639,0.035,-0.219,-0.287,0.295,1.000
