Player,Charlie Curnow,Harry McKay,Corey Durdin,Jesse Motlop,Lachie Fogarty,Will White,Zac Williams,Adam Cerra,Blake Acres,Cooper Lord,George Hewett,Patrick Cripps,Sam Docherty,Sam Walsh,Tom De Koning,Adam Saad,Lachlan Cowan,Matthew Carroll,Mitch McGovern,Nick Haynes,Oliver Hollands,Jack Silvagni,Jacob Weitering,Lewis Young
Charlie Curnow,1.000,-0.084,0.502,0.015,-0.352,-0.202,0.224,-0.094,0.041,0.134,-0.306,0.165,0.129,0.033,-0.528,-0.167,0.443,-0.319,0.222,0.081,0.057,-0.048,-0.480,0.386
Harry McKay,-0.084,1.000,-0.150,-0.320,0.307,-0.407,-0.125,-0.095,0.266,-0.289,-0.276,0.153,-0.013,-0.346,0.131,-0.519,0.270,0.362,-0.490,0.000,0.114,-0.111,0.112,-0.525
Corey Durdin,0.502,-0.150,1.000,0.472,-0.147,0.334,-0.016,0.310,0.478,-0.343,0.236,-0.273,0.226,-0.497,-0.159,0.076,0.001,0.019,0.327,-0.130,-0.262,-0.310,-0.017,-0.321
Jesse Motlop,0.015,-0.320,0.472,1.000,-0.302,-0.089,0.103,0.107,0.211,0.019,0.270,-0.007,-0.170,-0.354,-0.120,-0.104,0.373,0.229,0.078,-0.245,-0.135,0.065,-0.458,-0.308
Lachie Fogarty,-0.352,0.307,-0.147,-0.302,1.000,0.149,0.106,0.074,0.166,0.062,0.323,-0.027,0.319,0.371,0.029,-0.180,0.399,0.435,-0.052,0.304,0.012,-0.100,0.425,-0.080
Will White,-0.202,-0.407,0.334,-0.089,0.149,1.000,-0.123,0.010,-0.318,-0.436,0.166,-0.147,-0.003,0.374,-0.277,0.257,-0.680,-0.079,0.396,0.318,-0.573,0.156,0.651,0.386
Zac Williams,0.224,-0.125,-0.016,0.103,0.106,-0.123,1.000,-0.376,0.392,0.362,-0.037,-0.160,0.502,-0.154,-0.624,-0.291,0.036,-0.497,-0.070,-0.090,0.249,-0.309,-0.267,0.148
Adam Cerra,-0.094,-0.095,0.310,0.107,0.074,0.010,-0.376,1.000,0.144,0.098,0.417,0.195,-0.046,-0.135,0.035,0.421,0.469,0.037,0.618,-0.084,0.133,-0.414,0.194,0.318
Blake Acres,0.041,0.266,0.478,0.211,0.166,-0.318,0.392,0.144,1.000,-0.032,0.488,-0.334,0.230,-0.097,-0.089,0.175,0.186,0.328,0.123,-0.070,0.347,0.474,0.048,0.137
Cooper Lord,0.134,-0.289,-0.343,0.019,0.062,-0.436,0.362,0.098,-0.032,1.000,-0.268,-0.038,0.518,0.324,-0.007,0.152,0.120,-0.307,0.155,-0.048,0.352,-0.376,-0.318,-0.222
George Hewett,-0.306,-0.276,0.236,0.270,0.323,0.166,-0.037,0.417,0.488,-0.268,1.000,-0.005,0.074,-0.037,-0.067,0.132,0.146,0.198,0.325,0.347,0.031,0.274,0.181,0.531
