Player,Charlie Curnow,Harry McKay,Corey Durdin,Jesse Motlop,Lachie Fogarty,Will White,Zac Williams,Adam Cerra,Blake Acres,Cooper Lord,George Hewett,Patrick Cripps,Sam Docherty,Sam Walsh,Tom De Koning,Adam Saad,Lachlan Cowan,Matthew Carroll,Mitch McGovern,Nick Haynes,Oliver Hollands,Jack Silvagni,Jacob Weitering,Lewis Young
Charlie Curnow,1.000,-0.110,0.376,0.033,-0.263,-0.265,0.198,0.123,0.114,0.196,-0.150,0.275,0.125,-0.109,-0.638,-0.064,0.545,-0.105,0.442,0.028,0.076,0.243,-0.253,0.375
Harry McKay,-0.110,1.000,-0.141,-0.333,0.412,-0.294,0.098,-0.240,0.291,-0.354,-0.014,0.146,0.100,0.071,0.189,-0.267,0.386,0.560,-0.427,0.100,0.152,0.237,0.275,-0.515
Corey Durdin,0.376,-0.141,1.000,0.369,-0.138,0.217,-0.091,0.369,0.464,-0.341,0.248,-0.199,0.289,-0.481,-0.226,-0.001,0.063,-0.015,0.425,-0.126,-0.167,-0.064,0.053,-0.366
Jesse Motlop,0.033,-0.333,0.369,1.000,-0.338,-0.053,-0.056,0.103,0.234,0.064,0.160,-0.090,-0.053,0.077,-0.160,-0.188,0.432,0.186,-0.120,-0.261,-0.083,0.092,-0.521,-0.242
Lachie Fogarty,-0.263,0.412,-0.138,-0.338,1.000,0.410,0.051,0.115,0.154,-0.006,0.402,-0.103,0.338,0.132,0.019,-0.087,0.077,0.391,0.082,0.353,-0.126,-0.121,0.465,0.111
Will White,-0.265,-0.294,0.217,-0.053,0.410,1.000,-0.164,0.133,-0.164,-0.450,0.103,-0.356,0.214,0.442,-0.282,0.253,-0.777,-0.071,0.388,0.306,-0.444,0.091,0.589,0.366
Zac Williams,0.198,0.098,-0.091,-0.056,0.051,-0.164,1.000,-0.484,0.450,0.378,-0.048,-0.216,0.578,0.138,-0.510,-0.327,0.007,-0.530,0.028,-0.104,0.220,-0.344,-0.210,0.103
Adam Cerra,0.123,-0.240,0.369,0.103,0.115,0.133,-0.484,1.000,0.126,-0.009,0.459,0.157,-0.010,-0.095,-0.045,0.319,0.457,0.163,0.379,-0.060,0.113,-0.157,0.256,0.508
Blake Acres,0.114,0.291,0.464,0.234,0.154,-0.164,0.450,0.126,1.000,-0.201,0.531,-0.356,0.205,0.278,-0.164,-0.012,0.225,0.231,0.226,-0.113,0.412,0.437,0.104,0.241
Cooper Lord,0.196,-0.354,-0.341,0.064,-0.006,-0.450,0.378,-0.009,-0.201,1.000,-0.254,-0.019,0.568,0.257,0.046,0.192,0.134,-0.386,0.039,-0.063,0.239,-0.297,-0.292,-0.103
George Hewett,-0.150,-0.014,0.248,0.160,0.402,0.103,-0.048,0.459,0.531,-0.254,1.000,-0.073,0.165,0.315,-0.071,-0.019,0.093,0.241,0.308,0.324,0.128,0.149,0.175,0.460
Patrick Cripps,0.275,0.146,-0.199,-0.090,-0.103,-0.356,-0.216,0.157,-0.356,-0.019,-0.073,1.000,-0.335,-0.469,0.020,0.072,0.317,0.127,0.100,0.070,-0.070,-0.174,0.033,-0.115
Sam Docherty,0.125,0.100,0.289,-0.053,0.338,0.214,0.578,-0.010,0.205,0.568,0.165,-0.335,1.000,0.647,-0.326,0.160,0.176,0.196,0.310,0.174,0.388,-0.042,0.086,-0.522
Sam Walsh,-0.109,0.071,-0.481,0.077,0.132,0.442,0.138,-0.095,0.278,0.257,0.315,-0.469,0.647,1.000,0.074,0.289,-0.074,0.034,0.127,0.400,0.282,0.074,0.175,0.308
Tom De Koning,-0.638,0.189,-0.226,-0.160,0.019,-0.282,-0.510,-0.045,-0.164,0.046,-0.071,0.020,-0.326,0.074,1.000,0.302,-0.549,-0.075,-0.510,0.057,-0.036,0.293,0.264,-0.283
Adam Saad,-0.064,-0.267,-0.001,-0.188,-0.087,0.253,-0.327,0.319,-0.012,0.192,-0.019,0.072,0.160,0.289,0.302,1.000,-0.259,0.085,0.429,0.140,0.316,-0.024,0.554,0.011
Lachlan Cowan,0.545,0.386,0.063,0.432,0.077,-0.777,0.007,0.457,0.225,0.134,0.093,0.317,0.176,-0.074,-0.549,-0.259,1.000,0.673,-0.196,0.227,0.602,0.000,-0.363,-0.199
Matthew Carroll,-0.105,0.560,-0.015,0.186,0.391,-0.071,-0.530,0.163,0.231,-0.386,0.241,0.127,0.196,0.034,-0.075,0.085,0.673,1.000,-0.056,-0.089,0.154,0.109,0.274,-0.356
Mitch McGovern,0.442,-0.427,0.425,-0.120,0.082,0.388,0.028,0.379,0.226,0.039,0.308,0.100,0.310,0.127,-0.510,0.429,-0.196,-0.056,1.000,0.076,0.100,-0.178,0.203,0.793
Nick Haynes,0.028,0.100,-0.126,-0.261,0.353,0.306,-0.104,-0.060,-0.113,-0.063,0.324,0.070,0.174,0.400,0.057,0.140,0.227,-0.089,0.076,1.000,0.130,-0.095,0.168,-0.032
Oliver Hollands,0.076,0.152,-0.167,-0.083,-0.126,-0.444,0.220,0.113,0.412,0.239,0.128,-0.070,0.388,0.282,-0.036,0.316,0.602,0.154,0.100,0.130,1.000,-0.096,-0.014,0.022
