Player,Brody Mihocek,Daniel McStay,Tim Membrey,Beau McCreery,Bobby Hill,Jamie Elliott,Lachie Schultz,Lachlan Sullivan,Will Hoskin-Elliott,Patrick Lipinski,Edward Allan,Jack Crisp,Ned Long,Nick Daicos,Scott Pendlebury,Steele Sidebottom,Darcy Cameron,Brayden Maynard,Dan Houston,Harry Perryman,Isaac Quaynor,Jeremy Howe,Josh Daicos,Billy Frampton,Darcy Moore
Brody Mihocek,1.000,0.521,0.064,-0.047,0.403,0.019,-0.444,0.006,0.171,0.034,0.682,0.044,0.174,0.597,-0.102,-0.236,0.284,-0.484,-0.014,0.026,0.198,-0.429,-0.019,-0.684,0.116
Daniel McStay,0.521,1.000,0.545,-0.019,0.433,-0.129,0.068,0.232,0.345,0.320,0.767,0.413,0.035,0.066,-0.531,-0.117,0.032,0.038,0.487,0.015,0.093,-0.429,-0.259,-0.600,0.224
Tim Membrey,0.064,0.545,1.000,-0.014,0.533,-0.021,-0.026,0.226,0.114,0.236,-0.278,0.206,0.173,-0.223,-0.533,0.045,0.069,-0.105,0.356,0.257,0.283,0.027,-0.013,-0.068,0.000
Beau McCreery,-0.047,-0.019,-0.014,1.000,0.510,-0.145,-0.374,0.284,-0.270,-0.431,-0.072,0.293,0.299,0.021,-0.198,-0.197,-0.450,-0.252,0.336,0.270,0.483,-0.106,-0.298,0.364,-0.256
Bobby Hill,0.403,0.433,0.533,0.510,1.000,0.098,-0.722,0.291,0.085,-0.184,0.082,0.516,0.500,-0.184,-0.126,-0.168,0.244,-0.353,0.327,-0.018,0.283,-0.094,-0.572,-0.008,-0.034
Jamie Elliott,0.019,-0.129,-0.021,-0.145,0.098,1.000,0.080,-0.321,0.461,0.061,0.371,-0.301,0.132,0.226,-0.014,0.072,-0.062,0.183,-0.388,-0.255,-0.093,0.094,0.172,0.043,-0.315
Lachie Schultz,-0.444,0.068,-0.026,-0.374,-0.722,0.080,1.000,-0.523,0.207,0.415,-0.098,-0.311,0.052,0.248,0.271,0.647,0.041,0.075,0.184,0.181,-0.106,0.211,0.220,0.037,0.155
Lachlan Sullivan,0.006,0.232,0.226,0.284,0.291,-0.321,-0.523,1.000,0.140,0.200,-0.505,0.700,-0.220,-0.186,-0.144,-0.506,0.243,-0.068,-0.211,0.122,-0.125,-0.171,-0.480,0.344,0.704
Will Hoskin-Elliott,0.171,0.345,0.114,-0.270,0.085,0.461,0.207,0.140,1.000,0.082,0.251,-0.014,0.151,0.292,-0.367,-0.010,-0.002,0.060,-0.422,-0.315,-0.085,-0.429,-0.109,-0.192,0.120
Patrick Lipinski,0.034,0.320,0.236,-0.431,-0.184,0.061,0.415,0.200,0.082,1.000,-0.222,0.157,-0.119,0.074,-0.051,0.140,0.220,-0.380,-0.056,-0.053,-0.423,0.008,0.142,-0.111,0.315
