Player,Brody Mihocek,Daniel McStay,Tim Membrey,Beau McCreery,Bobby Hill,Jamie Elliott,Lachie Schultz,Lachlan Sullivan,Will Hoskin-Elliott,Patrick Lipinski,Edward Allan,Jack Crisp,Ned Long,Nick Daicos,Scott Pendlebury,Steele Sidebottom,Darcy Cameron,Brayden Maynard,Dan Houston,Harry Perryman,Isaac Quaynor,Jeremy Howe,Josh Daicos,Billy Frampton,Darcy Moore
Brody Mihocek,1.000,0.589,0.062,-0.074,0.254,0.134,-0.313,-0.005,0.208,-0.129,0.742,0.078,0.107,0.575,-0.211,-0.220,0.365,-0.054,-0.031,0.031,0.204,-0.510,-0.033,-0.788,0.107
Daniel McStay,0.589,1.000,0.333,-0.227,0.301,0.072,0.126,0.132,0.472,0.331,0.808,0.275,-0.027,-0.012,-0.264,-0.168,0.068,0.128,0.284,0.014,0.056,-0.453,-0.178,-0.648,0.260
Tim Membrey,0.062,0.333,1.000,0.040,0.433,0.002,0.026,0.167,0.200,0.287,-0.361,0.120,0.226,-0.278,-0.207,0.244,0.148,-0.101,0.196,0.361,0.309,0.002,0.085,-0.054,0.028
Beau McCreery,-0.074,-0.227,0.040,1.000,0.538,-0.159,-0.470,0.340,-0.357,-0.603,0.172,0.314,0.162,-0.109,-0.501,-0.361,-0.485,-0.176,0.100,0.190,0.573,0.003,-0.238,0.323,-0.293
Bobby Hill,0.254,0.301,0.433,0.538,1.000,-0.050,-0.729,0.311,0.028,-0.059,0.000,0.492,0.557,-0.024,-0.056,0.341,0.169,-0.702,0.368,-0.030,0.348,-0.066,-0.528,0.050,-0.125
Jamie Elliott,0.134,0.072,0.002,-0.159,-0.050,1.000,0.052,-0.298,0.475,0.145,0.416,-0.284,0.040,0.263,-0.244,0.047,-0.026,0.254,-0.436,-0.259,-0.021,0.079,0.071,-0.053,-0.327
Lachie Schultz,-0.313,0.126,0.026,-0.470,-0.729,0.052,1.000,-0.462,0.123,0.524,0.158,-0.228,0.086,0.325,0.369,0.587,0.127,0.035,0.123,0.213,-0.183,0.242,0.222,0.126,0.191
Lachlan Sullivan,-0.005,0.132,0.167,0.340,0.311,-0.298,-0.462,1.000,0.187,0.069,-0.563,0.740,-0.169,-0.014,-0.145,-0.303,0.284,-0.177,-0.196,0.120,-0.202,-0.138,-0.533,0.296,0.647
Will Hoskin-Elliott,0.208,0.472,0.200,-0.357,0.028,0.475,0.123,0.187,1.000,0.256,0.197,0.048,0.207,0.329,-0.283,0.038,0.168,0.231,-0.381,-0.272,0.006,-0.414,-0.109,-0.278,0.184
Patrick Lipinski,-0.129,0.331,0.287,-0.603,-0.059,0.145,0.524,0.069,0.256,1.000,-0.039,-0.014,-0.015,0.069,0.239,0.381,0.174,-0.377,-0.034,-0.088,-0.408,0.133,0.362,-0.233,0.308
Edward Allan,0.742,0.808,-0.361,0.172,0.000,0.416,0.158,-0.563,0.197,-0.039,1.000,-0.575,0.155,0.251,-0.191,-0.168,-0.234,0.000,-0.112,0.101,0.174,-0.526,0.304,-0.485,-0.286
Jack Crisp,0.078,0.275,0.120,0.314,0.492,-0.284,-0.228,0.740,0.048,-0.014,-0.575,1.000,-0.106,-0.163,0.039,-0.244,0.270,-0.105,0.225,-0.154,-0.188,0.005,-0.335,0.530,0.514
Ned Long,0.107,-0.027,0.226,0.162,0.557,0.040,0.086,-0.169,0.207,-0.015,0.155,-0.106,1.000,0.394,-0.010,0.651,-0.040,-0.294,0.174,-0.011,0.502,0.274,-0.025,-0.023,-0.193
Nick Daicos,0.575,-0.012,-0.278,-0.109,-0.024,0.263,0.325,-0.014,0.329,0.069,0.251,-0.163,0.394,1.000,-0.070,0.238,0.210,-0.296,-0.370,-0.168,0.208,0.140,-0.007,-0.507,0.071
Scott Pendlebury,-0.211,-0.264,-0.207,-0.501,-0.056,-0.244,0.369,-0.145,-0.283,0.239,-0.191,0.039,-0.010,-0.070,1.000,0.309,0.328,0.112,0.039,0.423,-0.377,0.536,0.276,0.412,0.580
Steele Sidebottom,-0.220,-0.168,0.244,-0.361,0.341,0.047,0.587,-0.303,0.038,0.381,-0.168,-0.244,0.651,0.238,0.309,1.000,-0.081,-0.201,0.293,0.088,0.192,0.281,0.268,-0.207,-0.041
Darcy Cameron,0.365,0.068,0.148,-0.485,0.169,-0.026,0.127,0.284,0.168,0.174,-0.234,0.270,-0.040,0.210,0.328,-0.081,1.000,0.203,0.014,0.128,-0.129,-0.030,-0.062,0.160,0.471
Brayden Maynard,-0.054,0.128,-0.101,-0.176,-0.702,0.254,0.035,-0.177,0.231,-0.377,0.000,-0.105,-0.294,-0.296,0.112,-0.201,0.203,1.000,-0.061,0.045,0.045,-0.296,0.192,0.356,-0.133
Dan Houston,-0.031,0.284,0.196,0.100,0.368,-0.436,0.123,-0.196,-0.381,-0.034,-0.112,0.225,0.174,-0.370,0.039,0.293,0.014,-0.061,1.000,0.265,0.075,-0.371,-0.114,-0.155,0.039
Harry Perryman,0.031,0.014,0.361,0.190,-0.030,-0.259,0.213,0.120,-0.272,-0.088,0.101,-0.154,-0.011,-0.168,0.423,0.088,0.128,0.045,0.265,1.000,0.219,-0.029,0.119,0.130,0.218
Isaac Quaynor,0.204,0.056,0.309,0.573,0.348,-0.021,-0.183,-0.202,0.006,-0.408,0.174,-0.188,0.502,0.208,-0.377,0.192,-0.129,0.045,0.075,0.219,1.000,-0.112,0.056,0.004,-0.191
Jeremy Howe,-0.510,-0.453,0.002,0.003,-0.066,0.079,0.242,-0.138,-0.414,0.133,-0.526,0.005,0.274,0.140,0.536,0.281,-0.030,-0.296,-0.371,-0.029,-0.112,1.000,0.325,0.564,0.025
Josh Daicos,-0.033,-0.178,0.085,-0.238,-0.528,0.071,0.222,-0.533,-0.109,0.362,0.304,-0.335,-0.025,-0.007,0.276,0.268,-0.062,0.192,-0.114,0.119,0.056,0.325,1.000,-0.134,-0.131
Billy Frampton,-0.788,-0.648,-0.054,0.323,0.050,-0.053,0.126,0.296,-0.278,-0.233,-0.485,0.530,-0.023,-0.507,0.412,-0.207,0.160,0.356,-0.155,0.130,0.004,0.564,-0.134,1.000,0.365
Darcy Moore,0.107,0.260,0.028,-0.293,-0.125,-0.327,0.191,0.647,0.184,0.308,-0.286,0.514,-0.193,0.071,0.580,-0.041,0.471,-0.133,0.039,0.218,-0.191,0.025,-0.131,0.365,1.000
