Player,Nate Caddy,Peter Wright,Archie Perkins,Ben Hobbs,Isaac Kako,Jade Gresham,Nic Martin,Dylan Shiel,Sam Durham,Will Setterfield,Xavier Duursma,Zach Merrett,Todd Goldstein,Andrew McGrath,Angus Clarke,Archie Roberts,Jaxon Prior,Mason Redman,Jayden Laverde
Nate Caddy,1.000,-0.072,-0.142,0.051,0.068,0.040,0.246,-0.180,0.038,-0.026,0.006,-0.286,0.024,-0.011,0.796,0.066,-0.138,0.240,-0.357
Peter Wright,-0.072,1.000,0.667,-0.417,0.339,-0.036,0.494,0.453,-0.232,0.148,0.592,0.403,-0.291,0.432,0.509,0.377,0.474,0.264,0.116
Archie Perkins,-0.142,0.667,1.000,-0.363,0.512,0.084,0.272,0.637,-0.326,-0.198,0.626,0.559,0.013,0.589,0.650,0.503,0.153,0.467,-0.243
Ben Hobbs,0.051,-0.417,-0.363,1.000,-0.148,-0.090,-0.457,0.286,-0.156,0.213,-0.221,0.141,0.090,-0.501,-0.286,-0.209,-0.431,0.188,-0.096
Isaac Kako,0.068,0.339,0.512,-0.148,1.000,-0.165,-0.186,0.814,-0.236,-0.230,0.454,0.694,0.243,0.542,0.867,0.742,0.384,0.705,-0.274
Jade Gresham,0.040,-0.036,0.084,-0.090,-0.165,1.000,0.088,-0.007,-0.036,-0.167,0.147,-0.090,-0.058,0.005,0.070,0.151,0.112,0.160,0.175
Nic Martin,0.246,0.494,0.272,-0.457,-0.186,0.088,1.000,-0.500,0.002,0.343,0.026,-0.227,-0.087,0.458,0.512,-0.111,0.368,0.471,-0.395
Dylan Shiel,-0.180,0.453,0.637,0.286,0.814,-0.007,-0.500,1.000,-0.256,-0.876,0.582,0.913,0.194,0.395,0.904,0.597,0.302,0.529,-0.752
Sam Durham,0.038,-0.232,-0.326,-0.156,-0.236,-0.036,0.002,-0.256,1.000,-0.209,0.131,-0.067,-0.210,-0.129,-0.342,-0.156,-0.070,-0.267,-0.180
Will Setterfield,-0.026,0.148,-0.198,0.213,-0.230,-0.167,0.343,-0.876,-0.209,1.000,0.125,0.010,0.519,0.097,-0.385,0.192,0.583,0.964,0.239
Xavier Duursma,0.006,0.592,0.626,-0.221,0.454,0.147,0.026,0.582,0.131,0.125,1.000,0.508,0.167,0.424,0.439,0.447,0.471,0.475,-0.228
Zach Merrett,-0.286,0.403,0.559,0.141,0.694,-0.090,-0.227,0.913,-0.067,0.010,0.508,1.000,0.167,0.216,0.562,0.567,0.213,0.459,-0.380
Todd Goldstein,0.024,-0.291,0.013,0.090,0.243,-0.058,-0.087,0.194,-0.210,0.519,0.167,0.167,1.000,0.332,0.251,0.439,0.496,0.355,-0.033
Andrew McGrath,-0.011,0.432,0.589,-0.501,0.542,0.005,0.458,0.395,-0.129,0.097,0.424,0.216,0.332,1.000,0.813,0.701,0.600,0.740,-0.272
Angus Clarke,0.796,0.509,0.650,-0.286,0.867,0.070,0.512,0.904,-0.342,-0.385,0.439,0.562,0.251,0.813,1.000,0.757,0.484,0.894,-0.319
Archie Roberts,0.066,0.377,0.503,-0.209,0.742,0.151,-0.111,0.597,-0.156,0.192,0.447,0.567,0.439,0.701,0.757,1.000,0.583,0.718,-0.001
Jaxon Prior,-0.138,0.474,0.153,-0.431,0.384,0.112,0.368,0.302,-0.070,0.583,0.471,0.213,0.496,0.600,0.484,0.583,1.000,0.659,0.110
Mason Redman,0.240,0.264,0.467,0.188,0.705,0.160,0.471,0.529,-0.267,0.964,0.475,0.459,0.355,0.740,0.894,0.718,0.659,1.000,-0.570
Jayden Laverde,-0.357,0.116,-0.243,-0.096,-0.274,0.175,-0.395,-0.752,-0.180,0.239,-0.228,-0.380,-0.033,-0.272,-0.319,-0.001,0.110,-0.570,1.000
