Player,Nate Caddy,Peter Wright,Archie Perkins,Ben Hobbs,Isaac Kako,Jade Gresham,Nic Martin,Dylan Shiel,Sam Durham,Will Setterfield,Xavier Duursma,Zach Merrett,Todd Goldstein,Andrew McGrath,Angus Clarke,Archie Roberts,Jaxon Prior,Mason Redman,Jayden Laverde
Nate Caddy,1.000,-0.139,-0.159,0.097,0.117,0.068,-0.018,-0.275,0.048,-0.032,0.004,-0.274,0.125,-0.165,0.590,-0.051,-0.130,0.176,-0.515
Peter Wright,-0.139,1.000,0.518,-0.300,-0.091,0.082,0.465,0.248,-0.291,0.354,0.528,0.265,-0.302,0.314,0.082,0.170,0.446,0.016,0.066
Archie Perkins,-0.159,0.518,1.000,-0.178,0.161,0.159,0.189,0.371,-0.324,0.057,0.164,0.451,0.245,0.372,0.472,0.244,-0.009,-0.067,-0.325
Ben Hobbs,0.097,-0.300,-0.178,1.000,-0.104,-0.074,-0.396,0.282,0.038,0.149,-0.216,0.227,0.037,-0.499,-0.329,-0.049,-0.273,0.123,-0.043
Isaac Kako,0.117,-0.091,0.161,-0.104,1.000,-0.436,-0.140,0.578,0.064,-0.171,0.168,0.452,0.333,-0.031,0.318,0.244,-0.003,-0.151,-0.269
Jade Gresham,0.068,0.082,0.159,-0.074,-0.436,1.000,-0.008,0.009,0.055,-0.194,0.227,-0.077,-0.218,-0.027,0.072,0.115,0.030,0.437,-0.005
Nic Martin,-0.018,0.465,0.189,-0.396,-0.140,-0.008,1.000,-0.024,0.057,0.299,-0.007,-0.162,-0.055,0.573,0.357,0.042,0.322,0.433,-0.455
Dylan Shiel,-0.275,0.248,0.371,0.282,0.578,0.009,-0.024,1.000,0.139,-0.564,0.203,0.838,0.045,0.063,0.359,0.184,0.064,0.127,-0.714
Sam Durham,0.048,-0.291,-0.324,0.038,0.064,0.055,0.057,0.139,1.000,-0.195,0.262,0.191,-0.271,0.022,-0.072,0.073,0.017,-0.060,-0.297
Will Setterfield,-0.032,0.354,0.057,0.149,-0.171,-0.194,0.299,-0.564,-0.195,1.000,-0.107,0.204,0.156,-0.032,-0.541,0.175,0.323,0.958,0.163
Xavier Duursma,0.004,0.528,0.164,-0.216,0.168,0.227,-0.007,0.203,0.262,-0.107,1.000,0.258,0.073,0.279,0.095,0.259,0.469,-0.010,-0.032
Zach Merrett,-0.274,0.265,0.451,0.227,0.452,-0.077,-0.162,0.838,0.191,0.204,0.258,1.000,0.169,-0.160,-0.054,0.325,0.037,-0.105,-0.243
Todd Goldstein,0.125,-0.302,0.245,0.037,0.333,-0.218,-0.055,0.045,-0.271,0.156,0.073,0.169,1.000,0.228,0.241,0.551,0.348,0.278,-0.113
Andrew McGrath,-0.165,0.314,0.372,-0.499,-0.031,-0.027,0.573,0.063,0.022,-0.032,0.279,-0.160,0.228,1.000,0.495,0.410,0.453,0.297,-0.048
Angus Clarke,0.590,0.082,0.472,-0.329,0.318,0.072,0.357,0.359,-0.072,-0.541,0.095,-0.054,0.241,0.495,1.000,0.181,0.152,0.622,-0.502
Archie Roberts,-0.051,0.170,0.244,-0.049,0.244,0.115,0.042,0.184,0.073,0.175,0.259,0.325,0.551,0.410,0.181,1.000,0.438,0.271,0.237
Jaxon Prior,-0.130,0.446,-0.009,-0.273,-0.003,0.030,0.322,0.064,0.017,0.323,0.469,0.037,0.348,0.453,0.152,0.438,1.000,0.334,0.289
Mason Redman,0.176,0.016,-0.067,0.123,-0.151,0.437,0.433,0.127,-0.060,0.958,-0.010,-0.105,0.278,0.297,0.622,0.271,0.334,1.000,-0.657
Jayden Laverde,-0.515,0.066,-0.325,-0.043,-0.269,-0.005,-0.455,-0.714,-0.297,0.163,-0.032,-0.243,-0.113,-0.048,-0.502,0.237,0.289,-0.657,1.000
