Player,Josh Treacy,Jye Amiss,Patrick Voss,Isaiah Dudley,Michael Frederick,Murphy Reid,Sam Switkowski,Shai Bolton,Andrew Brayshaw,Caleb Serong,Corey Wagner,Jaeger O'Meara,Jeremy Sharp,Matthew Johnson,Nathan O'Driscoll,Neil Erasmus,Luke Jackson,Sean Darcy,Bailey Banfield,Heath Chapman,Jordan Clark,Karl Worner,Luke Ryan,Alex Pearce,Brennan Cox
Josh Treacy,1.000,0.110,0.047,0.277,0.028,-0.206,0.174,0.169,0.179,0.355,-0.152,0.064,-0.383,0.117,-0.263,0.014,-0.027,-0.247,0.209,0.179,0.314,-0.196,0.084,-0.325,0.072
Jye Amiss,0.110,1.000,0.025,0.509,-0.205,0.246,0.531,0.452,0.174,-0.075,0.273,-0.247,-0.366,0.148,0.254,-0.233,0.268,-0.652,-0.083,0.138,0.109,0.044,0.285,-0.188,-0.194
Patrick Voss,0.047,0.025,1.000,-0.042,-0.286,0.225,-0.326,-0.097,-0.178,0.574,-0.066,0.827,0.063,-0.339,-0.077,0.441,0.213,0.285,0.005,0.202,0.121,0.041,0.039,-0.044,0.246
Isaiah Dudley,0.277,0.509,-0.042,1.000,-0.091,0.395,0.138,-0.060,-0.242,-0.045,-0.254,-0.141,-0.242,-0.053,-0.189,-0.443,-0.191,-0.100,0.494,-0.005,-0.258,-0.358,0.236,-0.120,0.029
Michael Frederick,0.028,-0.205,-0.286,-0.091,1.000,-0.053,-0.157,0.138,-0.123,-0.145,-0.174,0.191,0.037,0.066,0.103,0.195,-0.240,0.437,-0.101,-0.160,-0.321,0.049,-0.317,-0.589,-0.276
Murphy Reid,-0.206,0.246,0.225,0.395,-0.053,1.000,0.273,-0.049,-0.275,-0.045,-0.252,-0.263,0.059,-0.484,-0.103,0.151,-0.162,0.209,0.178,-0.032,-0.483,-0.131,-0.361,-0.247,-0.331
Sam Switkowski,0.174,0.531,-0.326,0.138,-0.157,0.273,1.000,0.667,0.281,0.113,-0.290,-0.648,-0.532,-0.498,-0.538,-0.246,0.243,-0.387,-0.154,0.317,0.350,-0.338,0.177,-0.396,-0.270
Shai Bolton,0.169,0.452,-0.097,-0.060,0.138,-0.049,0.667,1.000,0.696,0.223,0.313,-0.135,-0.482,0.180,0.217,-0.329,0.412,-0.451,-0.251,0.250,0.163,0.056,-0.150,-0.549,-0.202
Andrew Brayshaw,0.179,0.174,-0.178,-0.242,-0.123,-0.275,0.281,0.696,1.000,0.404,0.182,-0.334,-0.311,0.103,-0.182,-0.351,0.118,-0.459,-0.471,0.192,0.353,0.039,-0.008,-0.142,0.031
Caleb Serong,0.355,-0.075,0.574,-0.045,-0.145,-0.045,0.113,0.223,0.404,1.000,-0.231,0.247,-0.290,-0.268,-0.341,0.410,-0.109,-0.050,-0.107,0.267,0.250,-0.327,0.184,-0.282,0.127
Corey Wagner,-0.152,0.273,-0.066,-0.254,-0.174,-0.252,-0.290,0.313,0.182,-0.231,1.000,0.258,-0.191,0.611,0.954,-0.348,0.590,-0.264,-0.320,-0.055,-0.094,0.302,0.009,-0.112,-0.262
Jaeger O'Meara,0.064,-0.247,0.827,-0.141,0.191,-0.263,-0.648,-0.135,-0.334,0.247,0.258,1.000,0.005,0.280,0.176,0.462,0.357,0.679,0.278,-0.220,0.179,-0.235,0.063,0.149,0.385
Jeremy Sharp,-0.383,-0.366,0.063,-0.242,0.037,0.059,-0.532,-0.482,-0.311,-0.290,-0.191,0.005,1.000,-0.131,-0.373,-0.489,-0.718,0.414,0.082,0.050,-0.156,0.149,0.069,0.696,0.434
Matthew Johnson,0.117,0.148,-0.339,-0.053,0.066,-0.484,-0.498,0.180,0.103,-0.268,0.611,0.280,-0.131,1.000,0.662,-0.649,0.150,-0.140,0.126,-0.440,0.082,0.424,0.091,0.150,0.054
Nathan O'Driscoll,-0.263,0.254,-0.077,-0.189,0.103,-0.103,-0.538,0.217,-0.182,-0.341,0.954,0.176,-0.373,0.662,1.000,0.010,0.292,-0.015,-0.246,-0.087,-0.263,0.425,-0.008,-0.667,-0.399
Neil Erasmus,0.014,-0.233,0.441,-0.443,0.195,0.151,-0.246,-0.329,-0.351,0.410,-0.348,0.462,-0.489,-0.649,0.010,1.000,0.044,0.261,-0.146,0.157,-0.029,-0.193,-0.025,-0.280,-0.040
Luke Jackson,-0.027,0.268,0.213,-0.191,-0.240,-0.162,0.243,0.412,0.118,-0.109,0.590,0.357,-0.718,0.150,0.292,0.044,1.000,-0.254,0.010,0.095,0.191,0.206,-0.244,-0.396,-0.314
Sean Darcy,-0.247,-0.652,0.285,-0.100,0.437,0.209,-0.387,-0.451,-0.459,-0.050,-0.264,0.679,0.414,-0.140,-0.015,0.261,-0.254,1.000,0.215,-0.363,-0.196,0.094,-0.269,-0.234,-0.100
Bailey Banfield,0.209,-0.083,0.005,0.494,-0.101,0.178,-0.154,-0.251,-0.471,-0.107,-0.320,0.278,0.082,0.126,-0.246,-0.146,0.010,0.215,1.000,0.004,-0.188,-0.007,0.036,0.182,0.312
Heath Chapman,0.179,0.138,0.202,-0.005,-0.160,-0.032,0.317,0.250,0.192,0.267,-0.055,-0.220,0.050,-0.440,-0.087,0.157,0.095,-0.363,0.004,1.000,0.110,0.200,0.300,0.033,0.418
Jordan Clark,0.314,0.109,0.121,-0.258,-0.321,-0.483,0.350,0.163,0.353,0.250,-0.094,0.179,-0.156,0.082,-0.263,-0.029,0.191,-0.196,-0.188,0.110,1.000,-0.183,0.381,0.161,0.291
Karl Worner,-0.196,0.044,0.041,-0.358,0.049,-0.131,-0.338,0.056,0.039,-0.327,0.302,-0.235,0.149,0.424,0.425,-0.193,0.206,0.094,-0.007,0.200,-0.183,1.000,-0.102,0.151,-0.033
Luke Ryan,0.084,0.285,0.039,0.236,-0.317,-0.361,0.177,-0.150,-0.008,0.184,0.009,0.063,0.069,0.091,-0.008,-0.025,-0.244,-0.269,0.036,0.300,0.381,-0.102,1.000,0.370,0.470
Alex Pearce,-0.325,-0.188,-0.044,-0.120,-0.589,-0.247,-0.396,-0.549,-0.142,-0.282,-0.112,0.149,0.696,0.150,-0.667,-0.280,-0.396,-0.234,0.182,0.033,0.161,0.151,0.370,1.000,0.642
Brennan Cox,0.072,-0.194,0.246,0.029,-0.276,-0.331,-0.270,-0.202,0.031,0.127,-0.262,0.385,0.434,0.054,-0.399,-0.040,-0.314,-0.100,0.312,0.418,0.291,-0.033,0.470,0.642,1.000
