Player,Josh Treacy,Jye Amiss,Patrick Voss,Isaiah Dudley,Michael Frederick,Murphy Reid,Sam Switkowski,Shai Bolton,Andrew Brayshaw,Caleb Serong,Corey Wagner,Jaeger O'Meara,Jeremy Sharp,Matthew Johnson,Nathan O'Driscoll,Neil Erasmus,Luke Jackson,Sean Darcy,Bailey Banfield,Heath Chapman,Jordan Clark,Karl Worner,Luke Ryan,Alex Pearce,Brennan Cox
Josh Treacy,1.000,0.087,-0.001,0.315,-0.063,-0.124,0.098,0.117,0.122,0.327,-0.009,-0.130,-0.290,0.061,-0.181,-0.035,-0.030,-0.313,0.073,0.176,0.349,-0.070,0.160,-0.169,0.072
Jye Amiss,0.087,1.000,0.117,0.451,-0.233,0.318,0.710,0.416,0.116,-0.129,0.225,-0.273,-0.471,0.120,0.208,0.036,0.352,-0.600,0.127,0.361,0.032,-0.058,0.109,-0.217,-0.101
Patrick Voss,-0.001,0.117,1.000,0.162,-0.297,0.193,-0.391,-0.102,-0.321,0.456,0.088,0.760,-0.099,-0.283,0.204,0.323,0.296,0.186,0.115,0.217,-0.179,0.276,0.130,-0.248,0.191
Isaiah Dudley,0.315,0.451,0.162,1.000,-0.057,0.569,0.158,-0.144,-0.271,0.098,-0.085,-0.155,-0.220,-0.107,-0.246,-0.299,-0.084,-0.028,0.556,0.244,-0.353,-0.176,0.133,-0.193,-0.041
Michael Frederick,-0.063,-0.233,-0.297,-0.057,1.000,0.011,-0.145,0.097,-0.095,-0.113,-0.152,-0.042,0.081,-0.018,0.232,0.192,-0.209,0.472,-0.035,-0.037,-0.301,-0.144,-0.252,-0.557,-0.377
Murphy Reid,-0.124,0.318,0.193,0.569,0.011,1.000,0.355,0.091,-0.165,0.007,-0.300,-0.279,-0.053,-0.442,-0.032,0.029,-0.192,-0.013,0.278,0.158,-0.557,-0.122,-0.240,-0.343,-0.246
Sam Switkowski,0.098,0.710,-0.391,0.158,-0.145,0.355,1.000,0.647,0.307,-0.087,-0.112,-0.535,-0.596,-0.312,-0.107,-0.104,0.246,-0.387,0.021,0.438,0.263,-0.473,0.067,-0.428,-0.218
Shai Bolton,0.117,0.416,-0.102,-0.144,0.097,0.091,0.647,1.000,0.756,0.173,0.314,-0.209,-0.562,0.229,0.322,-0.147,0.450,-0.555,-0.082,0.247,0.004,-0.032,-0.361,-0.444,-0.293
Andrew Brayshaw,0.122,0.116,-0.321,-0.271,-0.095,-0.165,0.307,0.756,1.000,0.336,0.118,-0.299,-0.192,0.016,-0.094,-0.268,0.259,-0.408,-0.410,0.240,0.298,0.055,-0.199,-0.024,-0.010
Caleb Serong,0.327,-0.129,0.456,0.098,-0.113,0.007,-0.087,0.173,0.336,1.000,-0.195,0.144,-0.185,-0.390,-0.318,0.441,0.048,-0.018,-0.033,0.339,0.141,-0.145,0.165,-0.131,0.127
