Player,Jeremy Cameron,Oliver Henry,Shannon Neale,Brad Close,Gryan Miers,Patrick Dangerfield,Shaun Mannagh,Tyson Stengle,Bailey Smith,Jack Bowes,Max Holmes,Oliver Dempsey,Tom Atkins,Mark Blicavs,Rhys Stanley,Lawson Humphries,Mark O'Connor,Oisin Mullin,Tom Stewart,Zach Guthrie,Connor O'Sullivan,Jack Henry,Sam De Koning
Jeremy Cameron,1.000,0.723,0.160,-0.069,0.107,0.014,-0.025,-0.153,0.446,-0.110,-0.074,0.364,0.174,-0.170,0.194,-0.011,0.100,0.033,-0.313,0.252,-0.073,-0.209,-0.060
Oliver Henry,0.723,1.000,0.302,0.221,0.479,-0.030,0.332,-0.372,0.164,-0.236,0.411,0.455,-0.145,-0.011,0.437,0.343,0.459,-0.113,-0.108,0.635,-0.463,-0.144,-0.017
Shannon Neale,0.160,0.302,1.000,-0.097,0.144,-0.225,0.029,0.708,0.432,-0.142,0.282,0.173,-0.103,-0.165,0.017,-0.087,0.116,0.351,0.089,-0.074,-0.327,-0.193,-0.416
Brad Close,-0.069,0.221,-0.097,1.000,0.436,0.082,0.272,-0.319,-0.103,0.385,0.108,0.109,-0.110,0.150,-0.436,0.169,0.086,-0.017,0.238,0.306,-0.120,-0.189,-0.088
Gryan Miers,0.107,0.479,0.144,0.436,1.000,0.124,0.584,0.021,0.034,0.225,0.452,0.193,-0.135,0.115,-0.101,0.069,0.400,0.184,-0.008,0.282,-0.112,-0.393,-0.307
Patrick Dangerfield,0.014,-0.030,-0.225,0.082,0.124,1.000,-0.011,-0.244,-0.294,0.369,-0.176,-0.022,-0.121,-0.427,-0.223,0.223,-0.428,0.111,-0.209,0.056,0.018,-0.197,0.256
Shaun Mannagh,-0.025,0.332,0.029,0.272,0.584,-0.011,1.000,-0.323,-0.197,0.024,0.231,-0.138,-0.126,0.241,-0.016,0.189,0.398,-0.197,-0.449,0.328,-0.320,0.186,-0.111
Tyson Stengle,-0.153,-0.372,0.708,-0.319,0.021,-0.244,-0.323,1.000,0.366,-0.216,0.253,0.029,0.082,-0.150,-0.172,-0.351,0.010,0.313,0.048,-0.613,-0.182,-0.072,-0.480
Bailey Smith,0.446,0.164,0.432,-0.103,0.034,-0.294,-0.197,0.366,1.000,0.180,0.428,-0.052,0.119,-0.263,0.013,-0.228,0.530,-0.126,-0.042,-0.190,0.047,-0.149,-0.245
Jack Bowes,-0.110,-0.236,-0.142,0.385,0.225,0.369,0.024,-0.216,0.180,1.000,0.242,-0.474,-0.275,-0.026,-0.422,0.053,0.200,0.300,0.032,-0.025,0.001,-0.620,-0.019
Max Holmes,-0.074,0.411,0.282,0.108,0.452,-0.176,0.231,0.253,0.428,0.242,1.000,-0.037,-0.063,0.041,0.105,-0.079,0.469,0.081,-0.127,-0.089,-0.232,0.024,-0.395
Oliver Dempsey,0.364,0.455,0.173,0.109,0.193,-0.022,-0.138,0.029,-0.052,-0.474,-0.037,1.000,0.280,0.055,0.194,-0.010,-0.284,0.132,0.279,0.153,-0.048,0.003,-0.125
Tom Atkins,0.174,-0.145,-0.103,-0.110,-0.135,-0.121,-0.126,0.082,0.119,-0.275,-0.063,0.280,1.000,0.011,-0.192,-0.421,-0.069,-0.038,-0.166,-0.447,-0.206,0.170,-0.439
Mark Blicavs,-0.170,-0.011,-0.165,0.150,0.115,-0.427,0.241,-0.150,-0.263,-0.026,0.041,0.055,0.011,1.000,-0.340,0.185,0.225,-0.075,0.032,0.090,-0.017,-0.042,-0.211
Rhys Stanley,0.194,0.437,0.017,-0.436,-0.101,-0.223,-0.016,-0.172,0.013,-0.422,0.105,0.194,-0.192,-0.340,1.000,0.258,0.112,-0.201,0.088,0.437,0.274,0.082,0.447
Lawson Humphries,-0.011,0.343,-0.087,0.169,0.069,0.223,0.189,-0.351,-0.228,0.053,-0.079,-0.010,-0.421,0.185,0.258,1.000,0.204,-0.299,0.001,0.675,0.093,-0.133,0.508
Mark O'Connor,0.100,0.459,0.116,0.086,0.400,-0.428,0.398,0.010,0.530,0.200,0.469,-0.284,-0.069,0.225,0.112,0.204,1.000,-0.318,-0.085,0.309,-0.156,-0.256,-0.423
Oisin Mullin,0.033,-0.113,0.351,-0.017,0.184,0.111,-0.197,0.313,-0.126,0.300,0.081,0.132,-0.038,-0.075,-0.201,-0.299,-0.318,1.000,0.217,-0.150,0.049,-0.288,-0.404
Tom Stewart,-0.313,-0.108,0.089,0.238,-0.008,-0.209,-0.449,0.048,-0.042,0.032,-0.127,0.279,-0.166,0.032,0.088,0.001,-0.085,0.217,1.000,0.129,0.190,-0.016,0.213
Zach Guthrie,0.252,0.635,-0.074,0.306,0.282,0.056,0.328,-0.613,-0.190,-0.025,-0.089,0.153,-0.447,0.090,0.437,0.675,0.309,-0.150,0.129,1.000,0.002,-0.118,0.333
Connor O'Sullivan,-0.073,-0.463,-0.327,-0.120,-0.112,0.018,-0.320,-0.182,0.047,0.001,-0.232,-0.048,-0.206,-0.017,0.274,0.093,-0.156,0.049,0.190,0.002,1.000,-0.043,0.236
Jack Henry,-0.209,-0.144,-0.193,-0.189,-0.393,-0.197,0.186,-0.072,-0.149,-0.620,0.024,0.003,0.170,-0.042,0.082,-0.133,-0.256,-0.288,-0.016,-0.118,-0.043,1.000,0.426
Sam De Koning,-0.060,-0.017,-0.416,-0.088,-0.307,0.256,-0.111,-0.480,-0.245,-0.019,-0.395,-0.125,-0.439,-0.211,0.447,0.508,-0.423,-0.404,0.213,0.333,0.236,0.426,1.000
