Player,Ben King,Ethan Read,Jed Walter,Ben Ainsworth,Ben Long,Connor Budarick,Sam Flanders,Bailey Humphrey,Nick Holman,Brayden Fiorini,Lachie Weller,Matt Rowell,Noah Anderson,Sam Clohesy,Touk Miller,Jarrod Witts,Bodhi Uwland,Daniel Rioli,Joel Jeffrey,John Noble,Wil Powell,Mac Andrew,Sam Collins
Ben King,1.000,0.568,0.244,0.421,0.561,-0.071,0.149,0.023,0.027,0.476,0.475,0.393,0.308,-0.173,0.006,0.515,0.307,0.441,-0.182,0.428,0.260,0.277,0.220
Ethan Read,0.568,1.000,-0.055,0.471,0.727,0.406,-0.108,-0.448,0.056,0.788,0.592,0.541,0.396,-0.138,0.111,0.336,0.492,-0.081,0.137,0.690,0.595,0.699,0.454
Jed Walter,0.244,-0.055,1.000,-0.315,-0.212,0.048,0.071,-0.017,0.333,-0.279,-0.362,-0.300,-0.075,-0.087,-0.248,-0.383,0.006,0.372,0.233,-0.008,-0.278,0.404,-0.016
Ben Ainsworth,0.421,0.471,-0.315,1.000,0.630,0.405,0.285,-0.193,-0.188,0.696,0.690,0.531,0.533,-0.074,0.552,0.515,0.447,0.010,0.181,0.599,0.534,0.447,0.222
Ben Long,0.561,0.727,-0.212,0.630,1.000,0.298,-0.116,-0.423,-0.444,0.713,0.701,0.683,0.605,0.356,0.374,0.481,0.710,0.066,-0.073,0.752,0.539,0.635,0.499
Connor Budarick,-0.071,0.406,0.048,0.405,0.298,1.000,-0.182,-0.337,-0.246,0.592,0.384,0.491,0.244,0.004,0.268,-0.223,-0.014,-0.675,0.453,0.167,0.355,0.438,0.031
Sam Flanders,0.149,-0.108,0.071,0.285,-0.116,-0.182,1.000,0.120,-0.291,0.096,-0.281,0.038,0.076,-0.319,0.193,0.273,-0.122,-0.201,0.027,0.081,-0.092,-0.233,0.154
Bailey Humphrey,0.023,-0.448,-0.017,-0.193,-0.423,-0.337,0.120,1.000,0.257,-0.594,-0.628,-0.352,-0.275,0.296,-0.214,-0.142,-0.320,0.335,-0.044,-0.429,-0.438,-0.627,-0.202
Nick Holman,0.027,0.056,0.333,-0.188,-0.444,-0.246,-0.291,0.257,1.000,-0.334,0.054,-0.519,-0.216,-0.161,-0.414,-0.050,0.373,0.568,-0.112,-0.039,-0.094,0.162,0.050
Brayden Fiorini,0.476,0.788,-0.279,0.696,0.713,0.592,0.096,-0.594,-0.334,1.000,0.891,0.814,0.499,-0.598,0.433,0.601,0.540,-0.336,0.312,0.646,0.774,0.712,0.481
Lachie Weller,0.475,0.592,-0.362,0.690,0.701,0.384,-0.281,-0.628,0.054,0.891,1.000,0.646,0.636,0.012,0.409,0.676,0.691,-0.276,0.064,0.703,0.782,0.567,0.257
Matt Rowell,0.393,0.541,-0.300,0.531,0.683,0.491,0.038,-0.352,-0.519,0.814,0.646,1.000,0.696,0.350,0.260,0.565,0.508,-0.201,-0.026,0.567,0.507,0.398,0.377
Noah Anderson,0.308,0.396,-0.075,0.533,0.605,0.244,0.076,-0.275,-0.216,0.499,0.636,0.696,1.000,0.525,0.433,0.475,0.673,0.097,0.075,0.616,0.487,0.473,0.564
Sam Clohesy,-0.173,-0.138,-0.087,-0.074,0.356,0.004,-0.319,0.296,-0.161,-0.598,0.012,0.350,0.525,1.000,0.140,0.059,0.576,0.017,0.007,0.531,-0.195,-0.147,0.448
Touk Miller,0.006,0.111,-0.248,0.552,0.374,0.268,0.193,-0.214,-0.414,0.433,0.409,0.260,0.433,0.140,1.000,0.352,0.367,-0.373,0.120,0.272,0.585,0.291,0.449
Jarrod Witts,0.515,0.336,-0.383,0.515,0.481,-0.223,0.273,-0.142,-0.050,0.601,0.676,0.565,0.475,0.059,0.352,1.000,0.640,0.116,-0.213,0.607,0.492,0.197,0.503
Bodhi Uwland,0.307,0.492,0.006,0.447,0.710,-0.014,-0.122,-0.320,0.373,0.540,0.691,0.508,0.673,0.576,0.367,0.640,1.000,0.183,-0.127,0.815,0.614,0.599,0.678
Daniel Rioli,0.441,-0.081,0.372,0.010,0.066,-0.675,-0.201,0.335,0.568,-0.336,-0.276,-0.201,0.097,0.017,-0.373,0.116,0.183,1.000,-0.296,0.019,-0.162,0.004,0.054
Joel Jeffrey,-0.182,0.137,0.233,0.181,-0.073,0.453,0.027,-0.044,-0.112,0.312,0.064,-0.026,0.075,0.007,0.120,-0.213,-0.127,-0.296,1.000,0.031,0.262,0.166,0.214
John Noble,0.428,0.690,-0.008,0.599,0.752,0.167,0.081,-0.429,-0.039,0.646,0.703,0.567,0.616,0.531,0.272,0.607,0.815,0.019,0.031,1.000,0.618,0.564,0.577
Wil Powell,0.260,0.595,-0.278,0.534,0.539,0.355,-0.092,-0.438,-0.094,0.774,0.782,0.507,0.487,-0.195,0.585,0.492,0.614,-0.162,0.262,0.618,1.000,0.569,0.305
Mac Andrew,0.277,0.699,0.404,0.447,0.635,0.438,-0.233,-0.627,0.162,0.712,0.567,0.398,0.473,-0.147,0.291,0.197,0.599,0.004,0.166,0.564,0.569,1.000,0.488
Sam Collins,0.220,0.454,-0.016,0.222,0.499,0.031,0.154,-0.202,0.050,0.481,0.257,0.377,0.564,0.448,0.449,0.503,0.678,0.054,0.214,0.577,0.305,0.488,1.000
