Player,Ben King,Ethan Read,Jed Walter,Ben Ainsworth,Ben Long,Connor Budarick,Sam Flanders,Bailey Humphrey,Nick Holman,Brayden Fiorini,Lachie Weller,Matt Rowell,Noah Anderson,Sam Clohesy,Touk Miller,Jarrod Witts,Bodhi Uwland,Daniel Rioli,Joel Jeffrey,John Noble,Wil Powell,Mac Andrew,Sam Collins
Ben King,1.000,0.534,0.248,0.274,0.489,0.019,0.133,0.166,0.061,0.190,0.098,0.300,0.221,-0.158,-0.153,0.473,0.027,0.513,-0.155,0.326,-0.038,0.081,0.268
Ethan Read,0.534,1.000,-0.117,0.109,0.515,0.558,-0.094,-0.184,-0.033,0.708,0.208,0.399,0.080,-0.288,-0.217,0.077,-0.298,-0.093,0.260,0.350,0.036,0.337,0.234
Jed Walter,0.248,-0.117,1.000,-0.242,-0.191,0.129,0.105,-0.052,0.257,-0.259,-0.502,-0.323,0.003,0.004,-0.303,-0.301,-0.059,0.397,0.184,0.008,-0.251,0.224,0.110
Ben Ainsworth,0.274,0.109,-0.242,1.000,0.424,0.356,0.283,0.056,-0.157,0.394,0.593,0.261,0.295,-0.101,0.640,0.452,0.016,-0.062,0.156,0.137,0.109,0.190,0.093
Ben Long,0.489,0.515,-0.191,0.424,1.000,0.316,-0.210,-0.031,-0.426,0.239,0.036,0.425,0.357,0.380,0.297,0.180,0.218,0.081,-0.047,0.392,-0.177,0.220,0.271
Connor Budarick,0.019,0.558,0.129,0.356,0.316,1.000,-0.270,-0.320,-0.149,0.710,0.422,0.474,0.306,-0.192,0.395,-0.206,-0.318,-0.617,0.435,0.061,0.302,0.505,0.017
Sam Flanders,0.133,-0.094,0.105,0.283,-0.210,-0.270,1.000,0.176,-0.235,0.202,-0.483,-0.003,-0.107,-0.411,0.155,0.234,-0.243,-0.106,0.143,-0.048,-0.285,-0.318,0.175
Bailey Humphrey,0.166,-0.184,-0.052,0.056,-0.031,-0.320,0.176,1.000,0.224,-0.281,-0.232,-0.010,-0.056,0.188,-0.145,0.168,0.179,0.482,-0.120,-0.099,-0.099,-0.428,-0.008
Nick Holman,0.061,-0.033,0.257,-0.157,-0.426,-0.149,-0.235,0.224,1.000,-0.362,0.273,-0.415,-0.141,-0.034,-0.372,-0.051,0.309,0.631,-0.122,-0.055,-0.082,0.156,0.147
Brayden Fiorini,0.190,0.708,-0.259,0.394,0.239,0.710,0.202,-0.281,-0.362,1.000,0.373,0.569,0.067,-0.560,0.162,0.264,-0.275,-0.501,0.482,0.147,0.212,0.395,0.316
Lachie Weller,0.098,0.208,-0.502,0.593,0.036,0.422,-0.483,-0.232,0.273,0.373,1.000,0.276,0.357,-0.086,0.438,0.381,0.285,-0.252,0.006,0.223,0.486,0.197,-0.030
Matt Rowell,0.300,0.399,-0.323,0.261,0.425,0.474,-0.003,-0.010,-0.415,0.569,0.276,1.000,0.532,0.181,0.109,0.485,0.033,-0.127,-0.057,0.234,-0.035,0.126,0.209
Noah Anderson,0.221,0.080,0.003,0.295,0.357,0.306,-0.107,-0.056,-0.141,0.067,0.357,0.532,1.000,0.532,0.375,0.208,0.362,0.173,0.132,0.270,0.029,0.178,0.513
Sam Clohesy,-0.158,-0.288,0.004,-0.101,0.380,-0.192,-0.411,0.188,-0.034,-0.560,-0.086,0.181,0.532,1.000,0.080,0.114,0.613,0.114,-0.204,0.522,-0.149,-0.158,0.464
Touk Miller,-0.153,-0.217,-0.303,0.640,0.297,0.395,0.155,-0.145,-0.372,0.162,0.438,0.109,0.375,0.080,1.000,0.107,0.323,-0.434,0.268,-0.122,0.254,0.310,0.317
Jarrod Witts,0.473,0.077,-0.301,0.452,0.180,-0.206,0.234,0.168,-0.051,0.264,0.381,0.485,0.208,0.114,0.107,1.000,0.361,0.225,-0.353,0.394,0.024,-0.137,0.421
Bodhi Uwland,0.027,-0.298,-0.059,0.016,0.218,-0.318,-0.243,0.179,0.309,-0.275,0.285,0.033,0.362,0.613,0.323,0.361,1.000,0.269,-0.273,0.385,0.047,0.180,0.600
Daniel Rioli,0.513,-0.093,0.397,-0.062,0.081,-0.617,-0.106,0.482,0.631,-0.501,-0.252,-0.127,0.173,0.114,-0.434,0.225,0.269,1.000,-0.501,0.045,-0.308,0.064,0.255
Joel Jeffrey,-0.155,0.260,0.184,0.156,-0.047,0.435,0.143,-0.120,-0.122,0.482,0.006,-0.057,0.132,-0.204,0.268,-0.353,-0.273,-0.501,1.000,0.012,0.244,0.069,0.212
John Noble,0.326,0.350,0.008,0.137,0.392,0.061,-0.048,-0.099,-0.055,0.147,0.223,0.234,0.270,0.522,-0.122,0.394,0.385,0.045,0.012,1.000,0.089,0.051,0.376
Wil Powell,-0.038,0.036,-0.251,0.109,-0.177,0.302,-0.285,-0.099,-0.082,0.212,0.486,-0.035,0.029,-0.149,0.254,0.024,0.047,-0.308,0.244,0.089,1.000,0.086,-0.191
Mac Andrew,0.081,0.337,0.224,0.190,0.220,0.505,-0.318,-0.428,0.156,0.395,0.197,0.126,0.178,-0.158,0.310,-0.137,0.180,0.064,0.069,0.051,0.086,1.000,0.310
Sam Collins,0.268,0.234,0.110,0.093,0.271,0.017,0.175,-0.008,0.147,0.316,-0.030,0.209,0.513,0.464,0.317,0.421,0.600,0.255,0.212,0.376,-0.191,0.310,1.000
