Player,Aaron Cadman,Jake Riccardi,Jesse Hogan,Callum Brown,Darcy Jones,Harvey Thomas,Jake Stringer,Toby Greene,Toby Bedford,Finn Callaghan,Jacob Wehr,Josh Kelly,Tom Green,Xavier O'Halloran,Kieren Briggs,Connor Idun,Harry Himmelberg,Joe Fonti,Lachie Ash,Lachie Whitfield,Jack Buckley,Leek Aleer,Sam Taylor
Aaron Cadman,1.000,-0.033,0.153,-0.039,0.235,0.061,-0.001,-0.220,-0.008,0.490,-0.087,-0.334,-0.162,0.095,-0.132,0.058,-0.147,-0.187,-0.253,0.260,-0.195,0.088,-0.138
Jake Riccardi,-0.033,1.000,0.445,0.384,0.052,-0.039,0.008,-0.202,0.202,0.082,0.013,0.080,0.229,-0.024,-0.116,-0.134,0.182,0.075,0.102,-0.276,0.284,-0.241,0.059
Jesse Hogan,0.153,0.445,1.000,-0.008,0.507,0.065,-0.286,0.255,0.304,0.223,-0.266,0.249,0.372,-0.226,0.048,-0.099,0.110,-0.649,-0.235,0.075,-0.032,-0.441,0.017
Callum Brown,-0.039,0.384,-0.008,1.000,-0.060,-0.443,-0.153,-0.147,-0.262,0.341,0.030,0.189,0.002,0.576,0.261,-0.439,-0.151,0.471,-0.003,-0.295,-0.214,0.073,-0.160
Darcy Jones,0.235,0.052,0.507,-0.060,1.000,0.143,0.139,0.477,0.317,0.189,-0.106,0.485,0.045,-0.105,0.311,-0.088,0.089,-0.208,-0.033,0.305,-0.242,0.275,-0.385
Harvey Thomas,0.061,-0.039,0.065,-0.443,0.143,1.000,-0.465,0.434,0.139,-0.111,-0.286,0.125,-0.207,-0.116,-0.134,-0.062,0.075,-0.417,-0.205,-0.068,0.093,-0.389,-0.134
Jake Stringer,-0.001,0.008,-0.286,-0.153,0.139,-0.465,1.000,-0.189,0.104,-0.150,-0.105,-0.009,-0.126,-0.272,-0.193,0.314,0.282,0.447,0.081,0.504,0.036,0.439,0.574
Toby Greene,-0.220,-0.202,0.255,-0.147,0.477,0.434,-0.189,1.000,0.178,0.194,-0.160,0.671,0.176,0.057,0.000,-0.118,0.354,-0.482,-0.138,0.099,-0.559,0.121,-0.410
Toby Bedford,-0.008,0.202,0.304,-0.262,0.317,0.139,0.104,0.178,1.000,-0.094,-0.422,0.192,0.020,0.094,0.107,-0.092,0.311,-0.281,-0.068,-0.211,0.073,-0.510,0.045
Finn Callaghan,0.490,0.082,0.223,0.341,0.189,-0.111,-0.150,0.194,-0.094,1.000,0.203,0.316,0.383,0.567,-0.396,-0.026,-0.053,0.092,-0.099,-0.004,-0.669,-0.339,-0.290
Jacob Wehr,-0.087,0.013,-0.266,0.030,-0.106,-0.286,-0.105,-0.160,-0.422,0.203,1.000,0.076,0.061,-0.346,-0.517,0.271,-0.232,0.370,0.098,0.009,0.031,-0.737,0.515
Josh Kelly,-0.334,0.080,0.249,0.189,0.485,0.125,-0.009,0.671,0.192,0.316,0.076,1.000,0.664,-0.116,0.271,0.181,0.054,-0.140,0.540,0.171,-0.331,-0.015,-0.447
Tom Green,-0.162,0.229,0.372,0.002,0.045,-0.207,-0.126,0.176,0.020,0.383,0.061,0.664,1.000,-0.180,0.064,0.140,0.226,0.106,0.311,0.178,-0.180,-0.196,-0.144
Xavier O'Halloran,0.095,-0.024,-0.226,0.576,-0.105,-0.116,-0.272,0.057,0.094,0.567,-0.346,-0.116,-0.180,1.000,-0.273,-0.191,0.034,0.272,-0.244,-0.487,-0.450,-0.101,-0.321
Kieren Briggs,-0.132,-0.116,0.048,0.261,0.311,-0.134,-0.193,0.000,0.107,-0.396,-0.517,0.271,0.064,-0.273,1.000,-0.436,-0.171,0.205,0.135,0.082,0.064,0.366,-0.347
Connor Idun,0.058,-0.134,-0.099,-0.439,-0.088,-0.062,0.314,-0.118,-0.092,-0.026,0.271,0.181,0.140,-0.191,-0.436,1.000,0.070,0.116,0.403,0.288,-0.065,0.090,0.140
Harry Himmelberg,-0.147,0.182,0.110,-0.151,0.089,0.075,0.282,0.354,0.311,-0.053,-0.232,0.054,0.226,0.034,-0.171,0.070,1.000,0.322,-0.411,0.313,-0.186,0.049,-0.125
Joe Fonti,-0.187,0.075,-0.649,0.471,-0.208,-0.417,0.447,-0.482,-0.281,0.092,0.370,-0.140,0.106,0.272,0.205,0.116,0.322,1.000,0.127,0.126,0.053,0.366,0.018
Lachie Ash,-0.253,0.102,-0.235,-0.003,-0.033,-0.205,0.081,-0.138,-0.068,-0.099,0.098,0.540,0.311,-0.244,0.135,0.403,-0.411,0.127,1.000,-0.133,0.172,0.374,-0.202
Lachie Whitfield,0.260,-0.276,0.075,-0.295,0.305,-0.068,0.504,0.099,-0.211,-0.004,0.009,0.171,0.178,-0.487,0.082,0.288,0.313,0.126,-0.133,1.000,-0.030,0.392,-0.015
Jack Buckley,-0.195,0.284,-0.032,-0.214,-0.242,0.093,0.036,-0.559,0.073,-0.669,0.031,-0.331,-0.180,-0.450,0.064,-0.065,-0.186,0.053,0.172,-0.030,1.000,-0.268,0.527
Leek Aleer,0.088,-0.241,-0.441,0.073,0.275,-0.389,0.439,0.121,-0.510,-0.339,-0.737,-0.015,-0.196,-0.101,0.366,0.090,0.049,0.366,0.374,0.392,-0.268,1.000,-0.726
Sam Taylor,-0.138,0.059,0.017,-0.160,-0.385,-0.134,0.574,-0.410,0.045,-0.290,0.515,-0.447,-0.144,-0.321,-0.347,0.140,-0.125,0.018,-0.202,-0.015,0.527,-0.726,1.000
