Player,Aaron Cadman,Jake Riccardi,Jesse Hogan,Callum Brown,Darcy Jones,Harvey Thomas,Jake Stringer,Toby Greene,Toby Bedford,Finn Callaghan,Jacob Wehr,Josh Kelly,Tom Green,Xavier O'Halloran,Kieren Briggs,Connor Idun,Harry Himmelberg,Joe Fonti,Lachie Ash,Lachie Whitfield,Jack Buckley,Leek Aleer,Sam Taylor
Aaron Cadman,1.000,0.012,0.017,0.027,0.239,0.116,-0.039,-0.277,0.071,0.576,0.110,-0.398,-0.187,0.123,-0.178,-0.016,-0.102,-0.012,-0.392,0.161,-0.209,0.046,-0.086
Jake Riccardi,0.012,1.000,0.367,0.350,-0.010,-0.232,0.073,-0.072,0.089,0.118,-0.054,0.138,0.320,0.030,0.036,-0.039,0.175,0.079,-0.030,-0.190,0.245,-0.100,-0.018
Jesse Hogan,0.017,0.367,1.000,-0.149,0.537,0.164,-0.040,0.440,0.402,0.264,-0.264,0.405,0.357,-0.342,0.214,-0.160,0.105,-0.664,-0.186,0.315,-0.041,-0.613,0.063
Callum Brown,0.027,0.350,-0.149,1.000,-0.203,-0.535,-0.043,-0.271,-0.362,0.400,0.242,0.073,0.155,0.315,0.389,-0.322,-0.252,0.424,-0.083,-0.172,-0.159,0.094,0.149
Darcy Jones,0.239,-0.010,0.537,-0.203,1.000,0.380,0.152,0.413,0.265,0.225,-0.131,0.495,-0.057,-0.043,0.303,-0.148,0.060,-0.219,-0.080,0.192,-0.188,0.080,-0.372
Harvey Thomas,0.116,-0.232,0.164,-0.535,0.380,1.000,-0.486,0.525,0.166,-0.009,-0.098,0.409,-0.240,-0.064,-0.090,-0.159,-0.019,-0.442,-0.027,-0.116,-0.061,-0.433,-0.169
Jake Stringer,-0.039,0.073,-0.040,-0.043,0.152,-0.486,1.000,-0.056,-0.020,-0.104,-0.138,-0.068,-0.007,-0.110,-0.056,0.305,0.375,0.446,-0.156,0.511,0.002,0.464,0.528
Toby Greene,-0.277,-0.072,0.440,-0.271,0.413,0.525,-0.056,1.000,0.313,0.173,-0.376,0.847,0.243,0.112,0.053,-0.095,0.407,-0.556,-0.232,0.172,-0.519,-0.222,-0.354
Toby Bedford,0.071,0.089,0.402,-0.362,0.265,0.166,-0.020,0.313,1.000,-0.038,-0.435,0.136,0.148,0.215,0.126,-0.019,0.345,-0.185,0.062,-0.108,-0.068,-0.563,-0.118
Finn Callaghan,0.576,0.118,0.264,0.400,0.225,-0.009,-0.104,0.173,-0.038,1.000,0.000,0.083,0.284,0.620,-0.360,-0.065,-0.065,0.144,-0.310,0.066,-0.687,-0.278,-0.295
Jacob Wehr,0.110,-0.054,-0.264,0.242,-0.131,-0.098,-0.138,-0.376,-0.435,0.000,1.000,0.110,0.038,-0.324,-0.480,0.236,-0.231,0.491,0.398,0.014,0.053,-0.632,0.472
Josh Kelly,-0.398,0.138,0.405,0.073,0.495,0.409,-0.068,0.847,0.136,0.083,0.110,1.000,0.446,-0.080,0.395,0.177,0.150,0.108,0.361,0.292,-0.420,-0.058,-0.512
Tom Green,-0.187,0.320,0.357,0.155,-0.057,-0.240,-0.007,0.243,0.148,0.284,0.038,0.446,1.000,-0.100,0.079,0.134,0.299,0.155,0.101,0.407,-0.178,-0.187,-0.079
Xavier O'Halloran,0.123,0.030,-0.342,0.315,-0.043,-0.064,-0.110,0.112,0.215,0.620,-0.324,-0.080,-0.100,1.000,-0.386,-0.151,0.177,0.315,-0.238,-0.495,-0.472,-0.148,-0.189
Kieren Briggs,-0.178,0.036,0.214,0.389,0.303,-0.090,-0.056,0.053,0.126,-0.360,-0.480,0.395,0.079,-0.386,1.000,-0.438,-0.125,0.218,0.148,0.164,0.038,0.398,-0.249
Connor Idun,-0.016,-0.039,-0.160,-0.322,-0.148,-0.159,0.305,-0.095,-0.019,-0.065,0.236,0.177,0.134,-0.151,-0.438,1.000,0.090,0.162,0.388,0.187,-0.097,0.171,0.043
Harry Himmelberg,-0.102,0.175,0.105,-0.252,0.060,-0.019,0.375,0.407,0.345,-0.065,-0.231,0.150,0.299,0.177,-0.125,0.090,1.000,0.262,-0.338,0.382,-0.152,-0.039,-0.107
Joe Fonti,-0.012,0.079,-0.664,0.424,-0.219,-0.442,0.446,-0.556,-0.185,0.144,0.491,0.108,0.155,0.315,0.218,0.162,0.262,1.000,0.221,0.032,0.028,0.506,-0.009
Lachie Ash,-0.392,-0.030,-0.186,-0.083,-0.080,-0.027,-0.156,-0.232,0.062,-0.310,0.398,0.361,0.101,-0.238,0.148,0.388,-0.338,0.221,1.000,-0.068,0.213,0.388,-0.206
Lachie Whitfield,0.161,-0.190,0.315,-0.172,0.192,-0.116,0.511,0.172,-0.108,0.066,0.014,0.292,0.407,-0.495,0.164,0.187,0.382,0.032,-0.068,1.000,-0.156,0.771,-0.152
Jack Buckley,-0.209,0.245,-0.041,-0.159,-0.188,-0.061,0.002,-0.519,-0.068,-0.687,0.053,-0.420,-0.178,-0.472,0.038,-0.097,-0.152,0.028,0.213,-0.156,1.000,-0.127,0.562
Leek Aleer,0.046,-0.100,-0.613,0.094,0.080,-0.433,0.464,-0.222,-0.563,-0.278,-0.632,-0.058,-0.187,-0.148,0.398,0.171,-0.039,0.506,0.388,0.771,-0.127,1.000,-0.552
Sam Taylor,-0.086,-0.018,0.063,0.149,-0.372,-0.169,0.528,-0.354,-0.118,-0.295,0.472,-0.512,-0.079,-0.189,-0.249,0.043,-0.107,-0.009,-0.206,-0.152,0.562,-0.552,1.000
