Player,Jack Gunston,Mabior Chol,Connor Macdonald,Dylan Moore,Finn Maginness,Jack Ginnivan,Nick Watson,Conor Nash,Harry Morrison,Jai Newcombe,James Worpel,Josh Ward,Massimo D'Ambrosio,Lloyd Meek,Blake Hardwick,Changkuoth Jiath,Jack Scrimshaw,James Sicily,Jarman Impey,Josh Weddle,Karl Amon,Josh Battle,Tom Barrass
Jack Gunston,1.000,0.153,0.237,0.097,0.769,-0.179,0.189,-0.188,-0.090,-0.292,0.267,0.093,-0.046,-0.098,0.160,0.006,0.306,0.429,-0.078,0.137,-0.260,-0.176,0.153
Mabior Chol,0.153,1.000,-0.078,-0.325,-0.054,0.257,0.160,0.263,0.022,0.130,-0.063,0.183,-0.045,0.361,-0.245,-0.404,-0.027,0.143,0.239,-0.294,0.056,0.292,-0.340
Connor Macdonald,0.237,-0.078,1.000,0.403,-0.243,0.188,-0.518,0.182,0.278,-0.126,0.181,0.053,-0.356,-0.238,0.036,-0.201,-0.186,0.170,0.245,-0.012,0.211,-0.063,0.056
Dylan Moore,0.097,-0.325,0.403,1.000,-0.027,0.095,-0.161,0.062,0.111,-0.486,0.093,0.385,-0.085,-0.120,0.520,-0.265,0.155,0.255,0.372,0.238,-0.464,-0.226,-0.179
Finn Maginness,0.769,-0.054,-0.243,-0.027,1.000,-0.422,0.662,-0.199,-0.249,0.210,-0.108,-0.020,0.052,-0.058,0.264,0.355,-0.117,0.410,-0.249,0.103,-0.399,0.175,-0.072
Jack Ginnivan,-0.179,0.257,0.188,0.095,-0.422,1.000,-0.172,0.684,0.055,-0.024,-0.120,0.073,0.053,-0.000,-0.089,-0.154,0.278,-0.208,0.403,-0.119,0.303,-0.002,-0.118
Nick Watson,0.189,0.160,-0.518,-0.161,0.662,-0.172,1.000,0.135,-0.333,-0.078,-0.428,0.024,-0.185,0.296,0.030,-0.139,-0.006,0.004,-0.441,-0.308,-0.005,-0.157,-0.320
Conor Nash,-0.188,0.263,0.182,0.062,-0.199,0.684,0.135,1.000,-0.149,-0.201,-0.159,0.326,-0.056,-0.146,0.179,-0.030,-0.488,-0.026,0.235,-0.549,0.200,-0.017,-0.235
Harry Morrison,-0.090,0.022,0.278,0.111,-0.249,0.055,-0.333,-0.149,1.000,-0.007,-0.045,-0.148,-0.019,0.121,0.304,0.017,0.307,0.187,0.307,0.427,0.126,0.339,0.130
Jai Newcombe,-0.292,0.130,-0.126,-0.486,0.210,-0.024,-0.078,-0.201,-0.007,1.000,-0.044,-0.140,-0.080,-0.046,-0.563,0.119,-0.026,-0.094,-0.402,-0.275,0.496,0.250,0.059
James Worpel,0.267,-0.063,0.181,0.093,-0.108,-0.120,-0.428,-0.159,-0.045,-0.044,1.000,0.065,-0.132,-0.421,-0.003,0.394,0.116,0.183,-0.072,0.082,0.192,-0.081,0.238
Josh Ward,0.093,0.183,0.053,0.385,-0.020,0.073,0.024,0.326,-0.148,-0.140,0.065,1.000,-0.121,-0.272,0.273,-0.113,-0.199,-0.076,-0.022,-0.325,-0.358,-0.174,-0.486
Massimo D'Ambrosio,-0.046,-0.045,-0.356,-0.085,0.052,0.053,-0.185,-0.056,-0.019,-0.080,-0.132,-0.121,1.000,-0.331,0.156,0.610,0.275,0.269,0.399,0.313,-0.423,0.473,0.253
Lloyd Meek,-0.098,0.361,-0.238,-0.120,-0.058,-0.000,0.296,-0.146,0.121,-0.046,-0.421,-0.272,-0.331,1.000,-0.193,-0.540,-0.114,-0.402,-0.127,-0.167,-0.175,0.007,-0.114
Blake Hardwick,0.160,-0.245,0.036,0.520,0.264,-0.089,0.030,0.179,0.304,-0.563,-0.003,0.273,0.156,-0.193,1.000,0.156,0.295,0.299,0.498,0.464,-0.352,-0.015,-0.199
Changkuoth Jiath,0.006,-0.404,-0.201,-0.265,0.355,-0.154,-0.139,-0.030,0.017,0.119,0.394,-0.113,0.610,-0.540,0.156,1.000,-0.663,0.276,-0.159,-0.026,0.011,0.622,0.472
Jack Scrimshaw,0.306,-0.027,-0.186,0.155,-0.117,0.278,-0.006,-0.488,0.307,-0.026,0.116,-0.199,0.275,-0.114,0.295,-0.663,1.000,-0.015,0.725,0.756,0.213,-0.514,-0.114
James Sicily,0.429,0.143,0.170,0.255,0.410,-0.208,0.004,-0.026,0.187,-0.094,0.183,-0.076,0.269,-0.402,0.299,0.276,-0.015,1.000,0.350,0.017,-0.105,0.336,0.254
Jarman Impey,-0.078,0.239,0.245,0.372,-0.249,0.403,-0.441,0.235,0.307,-0.402,-0.072,-0.022,0.399,-0.127,0.498,-0.159,0.725,0.350,1.000,0.530,-0.143,0.080,-0.122
Josh Weddle,0.137,-0.294,-0.012,0.238,0.103,-0.119,-0.308,-0.549,0.427,-0.275,0.082,-0.325,0.313,-0.167,0.464,-0.026,0.756,0.017,0.530,1.000,-0.229,-0.123,-0.014
Karl Amon,-0.260,0.056,0.211,-0.464,-0.399,0.303,-0.005,0.200,0.126,0.496,0.192,-0.358,-0.423,-0.175,-0.352,0.011,0.213,-0.105,-0.143,-0.229,1.000,-0.062,0.067
Josh Battle,-0.176,0.292,-0.063,-0.226,0.175,-0.002,-0.157,-0.017,0.339,0.250,-0.081,-0.174,0.473,0.007,-0.015,0.622,-0.514,0.336,0.080,-0.123,-0.062,1.000,0.253
Tom Barrass,0.153,-0.340,0.056,-0.179,-0.072,-0.118,-0.320,-0.235,0.130,0.059,0.238,-0.486,0.253,-0.114,-0.199,0.472,-0.114,0.254,-0.122,-0.014,0.067,0.253,1.000
