Player,Jack Gunston,Mabior Chol,Connor Macdonald,Dylan Moore,Finn Maginness,Jack Ginnivan,Nick Watson,Conor Nash,Harry Morrison,Jai Newcombe,James Worpel,Josh Ward,Massimo D'Ambrosio,Lloyd Meek,Blake Hardwick,Changkuoth Jiath,Jack Scrimshaw,James Sicily,Jarman Impey,Josh Weddle,Karl Amon,Josh Battle,Tom Barrass
Jack Gunston,1.000,0.123,0.167,0.174,0.722,-0.193,0.161,-0.060,-0.026,-0.062,0.215,0.089,-0.140,-0.100,0.171,-0.088,0.460,0.449,-0.020,0.080,-0.307,-0.369,0.117
Mabior Chol,0.123,1.000,0.083,-0.244,-0.165,0.281,0.295,0.185,0.012,0.137,-0.300,0.193,-0.098,0.329,-0.274,-0.458,0.025,0.165,0.223,-0.244,0.053,0.157,-0.353
Connor Macdonald,0.167,0.083,1.000,0.272,-0.293,-0.000,-0.135,0.344,0.106,-0.005,0.059,0.153,-0.330,-0.253,-0.132,-0.264,-0.301,0.219,0.052,-0.243,0.183,0.095,-0.063
Dylan Moore,0.174,-0.244,0.272,1.000,-0.021,0.070,-0.056,0.209,-0.079,-0.421,0.225,0.427,-0.069,-0.128,0.425,-0.346,0.183,0.349,0.474,0.192,-0.491,-0.254,-0.205
Finn Maginness,0.722,-0.165,-0.293,-0.021,1.000,-0.367,0.527,-0.255,-0.269,0.219,-0.119,-0.114,-0.028,-0.129,0.295,0.455,-0.154,0.334,-0.267,0.196,-0.405,-0.082,0.032
Jack Ginnivan,-0.193,0.281,-0.000,0.070,-0.367,1.000,-0.149,0.748,0.300,0.030,-0.313,0.007,0.010,-0.037,-0.094,-0.415,0.303,0.030,0.358,-0.111,0.416,-0.049,-0.102
Nick Watson,0.161,0.295,-0.135,-0.056,0.527,-0.149,1.000,0.027,-0.149,0.056,-0.537,0.051,-0.168,0.350,0.062,-0.167,0.037,0.010,-0.206,-0.446,0.003,-0.139,-0.337
Conor Nash,-0.060,0.185,0.344,0.209,-0.255,0.748,0.027,1.000,-0.171,-0.100,-0.345,0.349,-0.054,-0.264,-0.144,-0.231,-0.432,0.323,0.098,-0.607,0.206,-0.012,-0.068
Harry Morrison,-0.026,0.012,0.106,-0.079,-0.269,0.300,-0.149,-0.171,1.000,0.004,0.042,-0.166,-0.055,0.143,0.297,-0.015,0.370,0.067,0.315,0.384,0.091,0.269,0.048
Jai Newcombe,-0.062,0.137,-0.005,-0.421,0.219,0.030,0.056,-0.100,0.004,1.000,-0.116,-0.114,-0.100,-0.159,-0.547,0.025,0.168,-0.038,-0.376,-0.342,0.511,0.196,0.135
James Worpel,0.215,-0.300,0.059,0.225,-0.119,-0.313,-0.537,-0.345,0.042,-0.116,1.000,0.192,-0.158,-0.458,0.037,0.293,0.248,0.252,-0.057,0.165,-0.005,0.009,-0.008
Josh Ward,0.089,0.193,0.153,0.427,-0.114,0.007,0.051,0.349,-0.166,-0.114,0.192,1.000,-0.199,-0.173,0.144,-0.082,-0.043,0.045,-0.001,-0.410,-0.319,-0.200,-0.472
Massimo D'Ambrosio,-0.140,-0.098,-0.330,-0.069,-0.028,0.010,-0.168,-0.054,-0.055,-0.100,-0.158,-0.199,1.000,-0.350,0.209,0.522,0.086,0.339,0.413,0.338,-0.353,0.369,0.317
Lloyd Meek,-0.100,0.329,-0.253,-0.128,-0.129,-0.037,0.350,-0.264,0.143,-0.159,-0.458,-0.173,-0.350,1.000,-0.181,-0.552,-0.159,-0.529,-0.223,-0.187,-0.258,-0.138,-0.195
Blake Hardwick,0.171,-0.274,-0.132,0.425,0.295,-0.094,0.062,-0.144,0.297,-0.547,0.037,0.144,0.209,-0.181,1.000,0.176,0.240,0.227,0.594,0.556,-0.415,-0.059,-0.047
Changkuoth Jiath,-0.088,-0.458,-0.264,-0.346,0.455,-0.415,-0.167,-0.231,-0.015,0.025,0.293,-0.082,0.522,-0.552,0.176,1.000,-0.337,0.217,-0.178,0.135,-0.073,0.557,0.491
Jack Scrimshaw,0.460,0.025,-0.301,0.183,-0.154,0.303,0.037,-0.432,0.370,0.168,0.248,-0.043,0.086,-0.159,0.240,-0.337,1.000,0.005,0.697,0.706,0.199,-0.492,-0.090
James Sicily,0.449,0.165,0.219,0.349,0.334,0.030,0.010,0.323,0.067,-0.038,0.252,0.045,0.339,-0.529,0.227,0.217,0.005,1.000,0.458,-0.016,-0.227,0.291,0.295
Jarman Impey,-0.020,0.223,0.052,0.474,-0.267,0.358,-0.206,0.098,0.315,-0.376,-0.057,-0.001,0.413,-0.223,0.594,-0.178,0.697,0.458,1.000,0.533,-0.196,0.041,-0.135
Josh Weddle,0.080,-0.244,-0.243,0.192,0.196,-0.111,-0.446,-0.607,0.384,-0.342,0.165,-0.410,0.338,-0.187,0.556,0.135,0.706,-0.016,0.533,1.000,-0.275,-0.212,-0.021
Karl Amon,-0.307,0.053,0.183,-0.491,-0.405,0.416,0.003,0.206,0.091,0.511,-0.005,-0.319,-0.353,-0.258,-0.415,-0.073,0.199,-0.227,-0.196,-0.275,1.000,0.027,0.000
Josh Battle,-0.369,0.157,0.095,-0.254,-0.082,-0.049,-0.139,-0.012,0.269,0.196,0.009,-0.200,0.369,-0.138,-0.059,0.557,-0.492,0.291,0.041,-0.212,0.027,1.000,0.223
Tom Barrass,0.117,-0.353,-0.063,-0.205,0.032,-0.102,-0.337,-0.068,0.048,0.135,-0.008,-0.472,0.317,-0.195,-0.047,0.491,-0.090,0.295,-0.135,-0.021,0.000,0.223,1.000
