Player,Jack Gunston,Mabior Chol,Connor Macdonald,Dylan Moore,Finn Maginness,Jack Ginnivan,Nick Watson,Conor Nash,Harry Morrison,Jai Newcombe,James Worpel,Josh Ward,Massimo D'Ambrosio,Lloyd Meek,Blake Hardwick,Changkuoth Jiath,Jack Scrimshaw,James Sicily,Jarman Impey,Josh Weddle,Karl Amon,Josh Battle,Tom Barrass
Jack Gunston,1.000,-0.031,0.405,0.131,0.398,-0.295,-0.109,-0.376,-0.139,-0.160,-0.052,-0.033,0.074,0.082,0.078,0.057,0.518,0.267,0.025,0.206,-0.109,-0.208,0.237
Mabior Chol,-0.031,1.000,-0.067,-0.139,0.158,0.287,0.188,-0.092,-0.264,-0.078,0.071,-0.056,0.012,0.238,-0.332,-0.223,-0.177,0.321,-0.056,-0.337,-0.244,0.200,-0.375
Connor Macdonald,0.405,-0.067,1.000,0.398,-0.249,0.201,-0.548,0.075,0.392,0.033,0.155,0.177,-0.208,0.077,0.039,-0.270,-0.113,0.228,0.336,0.205,0.097,0.130,0.006
Dylan Moore,0.131,-0.139,0.398,1.000,-0.324,0.185,-0.226,0.137,0.441,-0.253,0.624,0.242,-0.250,0.004,0.506,-0.341,-0.033,-0.001,0.415,0.097,-0.097,-0.104,-0.017
Finn Maginness,0.398,0.158,-0.249,-0.324,1.000,-0.325,0.594,0.067,-0.257,0.192,-0.313,-0.049,0.373,0.011,0.207,0.697,0.169,0.506,-0.347,-0.202,-0.469,0.332,-0.074
Jack Ginnivan,-0.295,0.287,0.201,0.185,-0.325,1.000,-0.243,0.499,0.065,-0.107,0.170,-0.144,0.164,-0.064,-0.336,-0.059,-0.066,-0.175,0.312,-0.011,0.194,0.220,-0.219
Nick Watson,-0.109,0.188,-0.548,-0.226,0.594,-0.243,1.000,0.144,0.063,0.398,-0.111,0.376,-0.222,-0.012,-0.048,0.055,0.156,0.185,-0.533,-0.509,-0.078,-0.217,-0.190
Conor Nash,-0.376,-0.092,0.075,0.137,0.067,0.499,0.144,1.000,-0.089,0.160,0.020,0.275,0.365,0.038,0.115,0.059,-0.435,-0.079,0.170,-0.394,-0.266,0.254,-0.467
Harry Morrison,-0.139,-0.264,0.392,0.441,-0.257,0.065,0.063,-0.089,1.000,-0.224,0.251,0.291,-0.584,0.206,0.408,-0.458,0.437,-0.124,0.435,0.363,0.373,-0.215,-0.161
Jai Newcombe,-0.160,-0.078,0.033,-0.253,0.192,-0.107,0.398,0.160,-0.224,1.000,-0.351,0.396,-0.206,-0.230,-0.483,0.058,-0.348,0.033,-0.470,-0.384,0.098,0.058,-0.017
James Worpel,-0.052,0.071,0.155,0.624,-0.313,0.170,-0.111,0.020,0.251,-0.351,1.000,0.152,-0.105,-0.421,0.277,-0.008,0.031,-0.310,0.244,-0.531,0.287,-0.112,0.084
Josh Ward,-0.033,-0.056,0.177,0.242,-0.049,-0.144,0.376,0.275,0.291,0.396,0.152,1.000,-0.281,0.112,0.062,-0.263,-0.260,0.024,-0.131,-0.271,-0.233,-0.017,-0.436
Massimo D'Ambrosio,0.074,0.012,-0.208,-0.250,0.373,0.164,-0.222,0.365,-0.584,-0.206,-0.105,-0.281,1.000,-0.165,0.068,0.701,-0.226,0.058,0.172,-0.018,-0.479,0.516,0.048
Lloyd Meek,0.082,0.238,0.077,0.004,0.011,-0.064,-0.012,0.038,0.206,-0.230,-0.421,0.112,-0.165,1.000,0.099,-0.570,0.159,-0.015,0.260,0.415,-0.343,-0.121,-0.401
Blake Hardwick,0.078,-0.332,0.039,0.506,0.207,-0.336,-0.048,0.115,0.408,-0.483,0.277,0.062,0.068,0.099,1.000,0.176,0.152,0.099,0.375,0.214,-0.216,-0.009,-0.150
Changkuoth Jiath,0.057,-0.223,-0.270,-0.341,0.697,-0.059,0.055,0.059,-0.458,0.058,-0.008,-0.263,0.701,-0.570,0.176,1.000,-0.777,0.044,-0.259,-0.337,-0.162,0.589,0.327
Jack Scrimshaw,0.518,-0.177,-0.113,-0.033,0.169,-0.066,0.156,-0.435,0.437,-0.348,0.031,-0.260,-0.226,0.159,0.152,-0.777,1.000,0.178,0.659,0.657,0.232,-0.598,-0.012
James Sicily,0.267,0.321,0.228,-0.001,0.506,-0.175,0.185,-0.079,-0.124,0.033,-0.310,0.024,0.058,-0.015,0.099,0.044,0.178,1.000,0.172,-0.367,-0.150,0.274,0.141
Jarman Impey,0.025,-0.056,0.336,0.415,-0.347,0.312,-0.533,0.170,0.435,-0.470,0.244,-0.131,0.172,0.260,0.375,-0.259,0.659,0.172,1.000,0.432,0.034,0.078,-0.125
Josh Weddle,0.206,-0.337,0.205,0.097,-0.202,-0.011,-0.509,-0.394,0.363,-0.384,-0.531,-0.271,-0.018,0.415,0.214,-0.337,0.657,-0.367,0.432,1.000,-0.011,-0.158,0.134
Karl Amon,-0.109,-0.244,0.097,-0.097,-0.469,0.194,-0.078,-0.266,0.373,0.098,0.287,-0.233,-0.479,-0.343,-0.216,-0.162,0.232,-0.150,0.034,-0.011,1.000,-0.191,0.450
Josh Battle,-0.208,0.200,0.130,-0.104,0.332,0.220,-0.217,0.254,-0.215,0.058,-0.112,-0.017,0.516,-0.121,-0.009,0.589,-0.598,0.274,0.078,-0.158,-0.191,1.000,0.072
Tom Barrass,0.237,-0.375,0.006,-0.017,-0.074,-0.219,-0.190,-0.467,-0.161,-0.017,0.084,-0.436,0.048,-0.401,-0.150,0.327,-0.012,0.141,-0.125,0.134,0.450,0.072,1.000
