Player,Harrison Petty,Jacob van Rooyen,Jake Melksham,Bayley Fritsch,Harry Sharp,Kade Chandler,Tom Sparrow,Christian Petracca,Ed Langdon,Kysaiah Pickett,Clayton Oliver,Harvey Langford,Jack Viney,Xavier Lindsay,Max Gawn,Blake Howes,Caleb Windsor,Christian Salem,Jake Bowey,Judd McVee,Trent Rivers,Daniel Turner,Steven May,Tom McDonald
Harrison Petty,1.000,-0.141,-0.300,0.093,0.199,-0.393,0.172,-0.166,0.267,0.079,-0.026,-0.414,0.193,0.184,0.080,-0.288,0.012,0.379,0.208,0.287,0.035,-0.186,0.289,0.119
Jacob van Rooyen,-0.141,1.000,0.137,0.229,-0.449,0.258,-0.092,0.320,-0.166,0.118,-0.176,0.179,-0.060,-0.217,-0.046,0.194,-0.193,0.444,-0.023,-0.399,-0.035,-0.150,0.567,-0.329
Jake Melksham,-0.300,0.137,1.000,-0.099,-0.221,-0.146,-0.493,0.318,-0.210,0.459,-0.110,0.244,0.031,0.352,-0.035,-0.477,0.371,-0.085,-0.052,0.141,0.312,0.041,-0.350,0.692
Bayley Fritsch,0.093,0.229,-0.099,1.000,0.059,-0.215,-0.320,-0.381,-0.326,0.083,0.181,0.014,-0.376,-0.726,-0.129,0.294,-0.300,-0.024,-0.231,-0.094,-0.409,-0.146,0.292,0.094
Harry Sharp,0.199,-0.449,-0.221,0.059,1.000,-0.081,0.444,-0.221,-0.135,-0.361,-0.050,-0.258,0.138,-0.475,-0.382,-0.555,-0.088,-0.131,-0.006,0.077,-0.038,-0.109,0.079,-0.169
Kade Chandler,-0.393,0.258,-0.146,-0.215,-0.081,1.000,0.285,-0.005,0.010,-0.281,0.344,0.381,0.124,0.086,0.104,0.381,0.198,0.040,-0.027,-0.290,-0.123,0.333,-0.221,-0.281
Tom Sparrow,0.172,-0.092,-0.493,-0.320,0.444,0.285,1.000,0.086,0.019,-0.380,0.268,-0.294,0.568,0.331,-0.084,0.239,-0.229,0.385,0.206,-0.085,0.098,-0.340,0.172,-0.386
Christian Petracca,-0.166,0.320,0.318,-0.381,-0.221,-0.005,0.086,1.000,0.124,0.005,-0.131,0.298,-0.011,0.268,0.188,-0.546,-0.088,0.264,0.104,-0.154,0.547,-0.019,-0.505,-0.031
Ed Langdon,0.267,-0.166,-0.210,-0.326,-0.135,0.010,0.019,0.124,1.000,0.210,-0.046,0.248,-0.053,0.382,0.124,-0.065,0.522,0.375,0.293,0.431,0.171,0.120,-0.051,0.171
Kysaiah Pickett,0.079,0.118,0.459,0.083,-0.361,-0.281,-0.380,0.005,0.210,1.000,0.201,0.092,0.346,0.276,-0.443,-0.241,0.279,0.304,0.123,0.069,0.221,-0.177,-0.147,0.618
Clayton Oliver,-0.026,-0.176,-0.110,0.181,-0.050,0.344,0.268,-0.131,-0.046,0.201,1.000,0.078,0.013,-0.084,-0.187,0.154,0.027,0.224,-0.035,-0.282,-0.170,-0.220,-0.033,-0.238
Harvey Langford,-0.414,0.179,0.244,0.014,-0.258,0.381,-0.294,0.298,0.248,0.092,0.078,1.000,-0.347,-0.364,-0.013,0.346,0.011,-0.137,0.274,-0.010,0.064,0.228,-0.383,0.113
Jack Viney,0.193,-0.060,0.031,-0.376,0.138,0.124,0.568,-0.011,-0.053,0.346,0.013,-0.347,1.000,0.623,-0.169,0.020,0.008,0.318,0.189,-0.031,0.217,0.000,-0.029,-0.134
Xavier Lindsay,0.184,-0.217,0.352,-0.726,-0.475,0.086,0.331,0.268,0.382,0.276,-0.084,-0.364,0.623,1.000,0.176,-0.403,0.590,0.471,0.128,0.584,0.272,0.106,-0.038,0.212
Max Gawn,0.080,-0.046,-0.035,-0.129,-0.382,0.104,-0.084,0.188,0.124,-0.443,-0.187,-0.013,-0.169,0.176,1.000,0.044,0.371,0.017,0.096,-0.101,0.157,0.190,-0.370,-0.215
Blake Howes,-0.288,0.194,-0.477,0.294,-0.555,0.381,0.239,-0.546,-0.065,-0.241,0.154,0.346,0.020,-0.403,0.044,1.000,-0.513,-0.304,-0.055,-0.246,-0.398,-0.390,0.581,-0.152
Caleb Windsor,0.012,-0.193,0.371,-0.300,-0.088,0.198,-0.229,-0.088,0.522,0.279,0.027,0.011,0.008,0.590,0.371,-0.513,1.000,0.376,0.353,0.527,0.216,0.361,-0.016,-0.090
Christian Salem,0.379,0.444,-0.085,-0.024,-0.131,0.040,0.385,0.264,0.375,0.304,0.224,-0.137,0.318,0.471,0.017,-0.304,0.376,1.000,0.305,0.283,0.291,-0.191,0.087,-0.280
Jake Bowey,0.208,-0.023,-0.052,-0.231,-0.006,-0.027,0.206,0.104,0.293,0.123,-0.035,0.274,0.189,0.128,0.096,-0.055,0.353,0.305,1.000,0.274,0.341,-0.117,0.281,-0.093
Judd McVee,0.287,-0.399,0.141,-0.094,0.077,-0.290,-0.085,-0.154,0.431,0.069,-0.282,-0.010,-0.031,0.584,-0.101,-0.246,0.527,0.283,0.274,1.000,0.023,0.303,0.435,0.352
Trent Rivers,0.035,-0.035,0.312,-0.409,-0.038,-0.123,0.098,0.547,0.171,0.221,-0.170,0.064,0.217,0.272,0.157,-0.398,0.216,0.291,0.341,0.023,1.000,-0.082,-0.170,0.097
Daniel Turner,-0.186,-0.150,0.041,-0.146,-0.109,0.333,-0.340,-0.019,0.120,-0.177,-0.220,0.228,0.000,0.106,0.190,-0.390,0.361,-0.191,-0.117,0.303,-0.082,1.000,-0.263,-0.163
Steven May,0.289,0.567,-0.350,0.292,0.079,-0.221,0.172,-0.505,-0.051,-0.147,-0.033,-0.383,-0.029,-0.038,-0.370,0.581,-0.016,0.087,0.281,0.435,-0.170,-0.263,1.000,0.067
Tom McDonald,0.119,-0.329,0.692,0.094,-0.169,-0.281,-0.386,-0.031,0.171,0.618,-0.238,0.113,-0.134,0.212,-0.215,-0.152,-0.090,-0.280,-0.093,0.352,0.097,-0.163,0.067,1.000
