Player,Jack Darling,Nick Larkey,Cameron Zurhaar,Jacob Konstanty,Paul Curtis,Harry Sheezel,Jy Simpkin,Robert Hansen Jr,Bailey Scott,Dylan Stephens,George Wardlaw,Luke Davies-Uniacke,Luke Parker,Tom Powell,Tristan Xerri,Caleb Daniel,Colby McKercher,Finn O'Sullivan,Luke McDonald,Riley Hardeman,Charlie Comben,Griffin Logue,Toby Pink
Jack Darling,1.000,0.061,0.184,-0.283,0.298,-0.173,0.166,0.271,0.359,-0.196,0.366,-0.318,-0.338,0.162,-0.186,0.401,-0.081,0.030,-0.143,-0.091,-0.158,-0.199,0.416
Nick Larkey,0.061,1.000,-0.423,-0.176,0.132,-0.365,-0.115,-0.423,0.109,-0.183,0.036,0.032,0.233,-0.316,0.118,0.205,0.079,-0.099,-0.016,-0.455,-0.561,0.127,-0.345
Cameron Zurhaar,0.184,-0.423,1.000,-0.056,0.197,-0.310,0.179,0.917,-0.000,-0.364,-0.272,-0.297,-0.145,0.193,-0.121,-0.109,-0.249,-0.249,0.029,-0.072,0.005,-0.509,-0.082
Jacob Konstanty,-0.283,-0.176,-0.056,1.000,-0.175,0.296,-0.340,-0.122,-0.030,0.164,0.054,0.054,0.065,0.040,-0.155,0.024,0.346,0.160,0.440,-0.092,0.016,-0.103,-0.249
Paul Curtis,0.298,0.132,0.197,-0.175,1.000,0.302,-0.034,0.740,0.186,-0.141,0.523,0.365,0.225,0.034,0.137,0.101,-0.457,-0.273,-0.251,-0.472,0.325,-0.178,0.098
Harry Sheezel,-0.173,-0.365,-0.310,0.296,0.302,1.000,0.138,0.340,0.220,0.277,0.504,0.490,0.372,-0.056,0.180,-0.165,0.087,0.517,0.432,-0.359,0.012,0.300,-0.053
Jy Simpkin,0.166,-0.115,0.179,-0.340,-0.034,0.138,1.000,0.366,0.342,-0.332,0.233,0.051,-0.091,0.010,0.268,0.295,-0.237,0.537,-0.008,0.084,-0.224,0.255,0.265
Robert Hansen Jr,0.271,-0.423,0.917,-0.122,0.740,0.340,0.366,1.000,0.136,-0.441,-0.565,0.240,0.004,0.538,-0.100,0.032,-0.696,0.032,-0.081,-0.252,0.191,-0.545,0.112
Bailey Scott,0.359,0.109,-0.000,-0.030,0.186,0.220,0.342,0.136,1.000,-0.412,0.682,-0.353,0.145,0.242,0.189,0.375,0.298,0.444,0.737,-0.042,-0.127,-0.147,0.385
Dylan Stephens,-0.196,-0.183,-0.364,0.164,-0.141,0.277,-0.332,-0.441,-0.412,1.000,0.431,0.280,-0.048,-0.099,0.084,-0.402,-0.082,-0.076,0.209,0.141,0.040,-0.132,-0.073
George Wardlaw,0.366,0.036,-0.272,0.054,0.523,0.504,0.233,-0.565,0.682,0.431,1.000,0.252,-0.012,-0.279,0.423,-0.216,-0.107,0.271,0.061,-0.018,0.005,0.848,-0.137
Luke Davies-Uniacke,-0.318,0.032,-0.297,0.054,0.365,0.490,0.051,0.240,-0.353,0.280,0.252,1.000,0.225,-0.148,0.186,-0.202,-0.254,0.162,-0.414,-0.148,0.303,0.156,-0.124
Luke Parker,-0.338,0.233,-0.145,0.065,0.225,0.372,-0.091,0.004,0.145,-0.048,-0.012,0.225,1.000,-0.325,-0.118,-0.411,0.318,0.100,-0.108,-0.454,0.057,0.039,-0.188
Tom Powell,0.162,-0.316,0.193,0.040,0.034,-0.056,0.010,0.538,0.242,-0.099,-0.279,-0.148,-0.325,1.000,0.010,0.302,0.045,0.231,0.522,0.535,-0.231,-0.322,0.647
Tristan Xerri,-0.186,0.118,-0.121,-0.155,0.137,0.180,0.268,-0.100,0.189,0.084,0.423,0.186,-0.118,0.010,1.000,-0.258,-0.059,-0.073,-0.144,0.273,-0.088,0.249,0.024
Caleb Daniel,0.401,0.205,-0.109,0.024,0.101,-0.165,0.295,0.032,0.375,-0.402,-0.216,-0.202,-0.411,0.302,-0.258,1.000,-0.034,0.255,0.107,-0.093,-0.176,-0.041,0.363
Colby McKercher,-0.081,0.079,-0.249,0.346,-0.457,0.087,-0.237,-0.696,0.298,-0.082,-0.107,-0.254,0.318,0.045,-0.059,-0.034,1.000,0.369,0.330,-0.015,-0.337,0.122,0.115
Finn O'Sullivan,0.030,-0.099,-0.249,0.160,-0.273,0.517,0.537,0.032,0.444,-0.076,0.271,0.162,0.100,0.231,-0.073,0.255,0.369,1.000,0.675,0.005,-0.395,0.414,0.266
Luke McDonald,-0.143,-0.016,0.029,0.440,-0.251,0.432,-0.008,-0.081,0.737,0.209,0.061,-0.414,-0.108,0.522,-0.144,0.107,0.330,0.675,1.000,0.112,-0.410,-0.185,0.299
Riley Hardeman,-0.091,-0.455,-0.072,-0.092,-0.472,-0.359,0.084,-0.252,-0.042,0.141,-0.018,-0.148,-0.454,0.535,0.273,-0.093,-0.015,0.005,0.112,1.000,0.184,0.194,0.555
Charlie Comben,-0.158,-0.561,0.005,0.016,0.325,0.012,-0.224,0.191,-0.127,0.040,0.005,0.303,0.057,-0.231,-0.088,-0.176,-0.337,-0.395,-0.410,0.184,1.000,0.141,0.011
Griffin Logue,-0.199,0.127,-0.509,-0.103,-0.178,0.300,0.255,-0.545,-0.147,-0.132,0.848,0.156,0.039,-0.322,0.249,-0.041,0.122,0.414,-0.185,0.194,0.141,1.000,-0.193
Toby Pink,0.416,-0.345,-0.082,-0.249,0.098,-0.053,0.265,0.112,0.385,-0.073,-0.137,-0.124,-0.188,0.647,0.024,0.363,0.115,0.266,0.299,0.555,0.011,-0.193,1.000
