Player,Jack Darling,Nick Larkey,Cameron Zurhaar,Jacob Konstanty,Paul Curtis,Harry Sheezel,Jy Simpkin,Robert Hansen Jr,Bailey Scott,Dylan Stephens,George Wardlaw,Luke Davies-Uniacke,Luke Parker,Tom Powell,Tristan Xerri,Caleb Daniel,Colby McKercher,Finn O'Sullivan,Luke McDonald,Riley Hardeman,Charlie Comben,Griffin Logue,Toby Pink
Jack Darling,1.000,0.164,-0.054,-0.149,0.164,-0.340,0.286,0.123,0.462,-0.170,0.297,-0.431,-0.216,0.185,-0.154,0.416,0.015,0.093,-0.100,-0.085,-0.174,-0.126,0.484
Nick Larkey,0.164,1.000,-0.522,-0.211,0.193,-0.374,-0.017,-0.463,-0.113,-0.165,0.083,-0.004,0.148,-0.248,0.175,0.177,0.054,-0.048,-0.090,-0.602,-0.601,0.234,-0.363
Cameron Zurhaar,-0.054,-0.522,1.000,0.067,0.143,0.201,0.091,0.894,0.109,-0.369,-0.059,-0.238,0.026,0.174,-0.056,-0.196,-0.127,-0.031,0.042,0.053,0.039,-0.155,-0.102
Jacob Konstanty,-0.149,-0.211,0.067,1.000,0.032,0.321,-0.357,-0.016,0.027,0.110,0.177,0.092,0.049,0.048,-0.180,0.115,0.367,0.175,0.427,-0.170,0.053,-0.105,-0.167
Paul Curtis,0.164,0.193,0.143,0.032,1.000,0.409,-0.007,0.703,0.085,0.229,0.530,0.321,0.194,-0.162,0.156,-0.065,-0.536,-0.295,-0.260,-0.517,0.225,-0.116,0.068
Harry Sheezel,-0.340,-0.374,0.201,0.321,0.409,1.000,0.052,0.350,-0.009,0.399,0.426,0.199,0.198,-0.136,0.162,-0.338,0.030,0.323,0.404,-0.318,0.125,0.099,-0.096
Jy Simpkin,0.286,-0.017,0.091,-0.357,-0.007,0.052,1.000,0.300,0.274,-0.139,0.244,-0.191,-0.095,0.078,0.216,0.303,-0.199,0.614,0.232,0.080,-0.207,0.344,0.294
Robert Hansen Jr,0.123,-0.463,0.894,-0.016,0.703,0.350,0.300,1.000,0.136,-0.427,-0.559,0.281,0.075,0.610,-0.132,-0.084,-0.668,0.059,-0.065,-0.059,0.257,-0.442,0.167
Bailey Scott,0.462,-0.113,0.109,0.027,0.085,-0.009,0.274,0.136,1.000,-0.357,0.359,-0.494,0.138,0.183,-0.075,0.341,0.260,0.445,0.798,-0.133,0.000,-0.019,0.167
Dylan Stephens,-0.170,-0.165,-0.369,0.110,0.229,0.399,-0.139,-0.427,-0.357,1.000,0.337,0.444,-0.180,-0.056,0.224,-0.303,-0.239,-0.126,0.159,0.054,0.138,-0.021,-0.018
George Wardlaw,0.297,0.083,-0.059,0.177,0.530,0.426,0.244,-0.559,0.359,0.337,1.000,0.257,0.223,-0.370,0.471,-0.483,-0.192,0.162,-0.069,0.009,-0.159,0.901,-0.373
Luke Davies-Uniacke,-0.431,-0.004,-0.238,0.092,0.321,0.199,-0.191,0.281,-0.494,0.444,0.257,1.000,0.133,-0.209,0.258,-0.313,-0.201,-0.069,-0.428,0.054,0.139,0.210,-0.225
Luke Parker,-0.216,0.148,0.026,0.049,0.194,0.198,-0.095,0.075,0.138,-0.180,0.223,0.133,1.000,-0.383,-0.094,-0.373,0.362,0.098,-0.199,-0.325,0.087,0.223,-0.166
Tom Powell,0.185,-0.248,0.174,0.048,-0.162,-0.136,0.078,0.610,0.183,-0.056,-0.370,-0.209,-0.383,1.000,0.009,0.310,0.074,0.224,0.598,0.527,-0.103,-0.345,0.552
Tristan Xerri,-0.154,0.175,-0.056,-0.180,0.156,0.162,0.216,-0.132,-0.075,0.224,0.471,0.258,-0.094,0.009,1.000,-0.266,-0.044,-0.081,-0.197,0.217,-0.135,0.261,-0.133
Caleb Daniel,0.416,0.177,-0.196,0.115,-0.065,-0.338,0.303,-0.084,0.341,-0.303,-0.483,-0.313,-0.373,0.310,-0.266,1.000,0.055,0.225,0.052,-0.138,-0.044,-0.071,0.378
Colby McKercher,0.015,0.054,-0.127,0.367,-0.536,0.030,-0.199,-0.668,0.260,-0.239,-0.192,-0.201,0.362,0.074,-0.044,0.055,1.000,0.400,0.308,-0.017,-0.238,0.013,0.089
Finn O'Sullivan,0.093,-0.048,-0.031,0.175,-0.295,0.323,0.614,0.059,0.445,-0.126,0.162,-0.069,0.098,0.224,-0.081,0.225,0.400,1.000,0.754,0.027,-0.315,0.340,0.234
Luke McDonald,-0.100,-0.090,0.042,0.427,-0.260,0.404,0.232,-0.065,0.798,0.159,-0.069,-0.428,-0.199,0.598,-0.197,0.052,0.308,0.754,1.000,0.000,-0.146,-0.303,0.212
Riley Hardeman,-0.085,-0.602,0.053,-0.170,-0.517,-0.318,0.080,-0.059,-0.133,0.054,0.009,0.054,-0.325,0.527,0.217,-0.138,-0.017,0.027,0.000,1.000,0.222,0.223,0.474
Charlie Comben,-0.174,-0.601,0.039,0.053,0.225,0.125,-0.207,0.257,0.000,0.138,-0.159,0.139,0.087,-0.103,-0.135,-0.044,-0.238,-0.315,-0.146,0.222,1.000,-0.020,0.202
Griffin Logue,-0.126,0.234,-0.155,-0.105,-0.116,0.099,0.344,-0.442,-0.019,-0.021,0.901,0.210,0.223,-0.345,0.261,-0.071,0.013,0.340,-0.303,0.223,-0.020,1.000,-0.251
Toby Pink,0.484,-0.363,-0.102,-0.167,0.068,-0.096,0.294,0.167,0.167,-0.018,-0.373,-0.225,-0.166,0.552,-0.133,0.378,0.089,0.234,0.212,0.474,0.202,-0.251,1.000
