Player,Jonty Faull,Tom Lynch,Maurice Rioli,Rhyan Mansell,Seth Campbell,Steely Green,Jack Ross,Tyler Sonsie,Dion Prestia,Hugo Ralphsmith,Jacob Hopper,James Trezise,Kamdyn McIntosh,Tim Taranto,Toby Nankervis,Jayden Short,Luke Trainor,Nathan Broad,Nick Vlastuin,Sam Banks,Tom Brown,Ben Miller,Noah Balta
Jonty Faull,1.000,0.233,0.227,0.283,-0.002,0.140,-0.005,0.063,-0.090,-0.310,0.040,-0.743,0.217,-0.064,0.414,-0.300,-0.111,0.352,0.336,0.069,0.074,-0.170,0.496
Tom Lynch,0.233,1.000,0.581,0.462,0.319,-0.228,0.256,0.039,-0.460,-0.310,-0.354,-0.254,0.393,0.354,0.015,-0.430,-0.248,-0.360,0.021,0.182,-0.246,0.066,-0.059
Maurice Rioli,0.227,0.581,1.000,0.613,0.053,-0.365,0.170,0.029,-0.473,-0.852,0.191,0.007,0.576,0.175,0.372,-0.324,-0.165,0.018,-0.119,0.032,-0.075,-0.080,-0.626
Rhyan Mansell,0.283,0.462,0.613,1.000,0.117,0.019,0.172,0.373,-0.255,-0.464,0.189,-0.052,0.428,-0.098,-0.094,-0.360,-0.328,0.045,0.068,0.001,-0.052,0.158,-0.310
Seth Campbell,-0.002,0.319,0.053,0.117,1.000,0.326,-0.341,-0.048,0.250,-0.636,-0.174,0.070,-0.014,0.070,-0.230,0.528,0.116,-0.120,-0.038,0.131,0.115,0.059,0.175
Steely Green,0.140,-0.228,-0.365,0.019,0.326,1.000,-0.257,-0.022,0.485,0.047,0.423,0.059,0.153,0.283,-0.202,0.421,-0.018,0.307,0.343,-0.357,0.306,-0.105,0.517
Jack Ross,-0.005,0.256,0.170,0.172,-0.341,-0.257,1.000,-0.084,0.039,0.092,-0.011,0.171,0.188,0.154,0.172,0.034,-0.201,-0.070,0.187,0.256,-0.462,-0.046,-0.046
Tyler Sonsie,0.063,0.039,0.029,0.373,-0.048,-0.022,-0.084,1.000,-0.006,0.150,0.454,-0.115,-0.277,-0.360,0.001,-0.044,-0.291,0.092,-0.036,0.269,-0.015,0.170,0.251
Dion Prestia,-0.090,-0.460,-0.473,-0.255,0.250,0.485,0.039,-0.006,1.000,0.873,0.385,-0.338,-0.446,0.193,-0.137,0.825,-0.518,0.068,0.316,0.657,0.447,-0.029,0.593
Hugo Ralphsmith,-0.310,-0.310,-0.852,-0.464,-0.636,0.047,0.092,0.150,0.873,1.000,0.352,0.511,-0.537,-0.261,0.028,0.471,-0.426,0.201,-0.320,0.173,0.133,-0.018,0.608
Jacob Hopper,0.040,-0.354,0.191,0.189,-0.174,0.423,-0.011,0.454,0.385,0.352,1.000,-0.032,-0.061,0.198,0.182,0.086,-0.128,0.219,-0.010,0.055,0.383,-0.309,0.088
James Trezise,-0.743,-0.254,0.007,-0.052,0.070,0.059,0.171,-0.115,-0.338,0.511,-0.032,1.000,-0.344,-0.237,0.017,0.332,0.122,-0.036,-0.314,-0.108,-0.244,0.139,-0.781
Kamdyn McIntosh,0.217,0.393,0.576,0.428,-0.014,0.153,0.188,-0.277,-0.446,-0.537,-0.061,-0.344,1.000,0.253,0.042,-0.046,0.135,-0.059,0.193,-0.126,0.192,0.086,-0.152
Tim Taranto,-0.064,0.354,0.175,-0.098,0.070,0.283,0.154,-0.360,0.193,-0.261,0.198,-0.237,0.253,1.000,-0.242,-0.071,-0.105,0.127,0.583,0.288,0.240,-0.480,0.346
Toby Nankervis,0.414,0.015,0.372,-0.094,-0.230,-0.202,0.172,0.001,-0.137,0.028,0.182,0.017,0.042,-0.242,1.000,0.040,0.329,0.114,-0.473,0.120,0.165,0.120,-0.161
Jayden Short,-0.300,-0.430,-0.324,-0.360,0.528,0.421,0.034,-0.044,0.825,0.471,0.086,0.332,-0.046,-0.071,0.040,1.000,0.402,0.128,0.140,0.148,0.202,0.388,0.174
Luke Trainor,-0.111,-0.248,-0.165,-0.328,0.116,-0.018,-0.201,-0.291,-0.518,-0.426,-0.128,0.122,0.135,-0.105,0.329,0.402,1.000,0.157,-0.259,-0.280,-0.004,0.039,-0.086
Nathan Broad,0.352,-0.360,0.018,0.045,-0.120,0.307,-0.070,0.092,0.068,0.201,0.219,-0.036,-0.059,0.127,0.114,0.128,0.157,1.000,0.350,0.320,0.288,-0.445,0.214
Nick Vlastuin,0.336,0.021,-0.119,0.068,-0.038,0.343,0.187,-0.036,0.316,-0.320,-0.010,-0.314,0.193,0.583,-0.473,0.140,-0.259,0.350,1.000,0.298,0.045,-0.255,0.421
Sam Banks,0.069,0.182,0.032,0.001,0.131,-0.357,0.256,0.269,0.657,0.173,0.055,-0.108,-0.126,0.288,0.120,0.148,-0.280,0.320,0.298,1.000,0.256,-0.247,0.086
Tom Brown,0.074,-0.246,-0.075,-0.052,0.115,0.306,-0.462,-0.015,0.447,0.133,0.383,-0.244,0.192,0.240,0.165,0.202,-0.004,0.288,0.045,0.256,1.000,0.052,0.091
Ben Miller,-0.170,0.066,-0.080,0.158,0.059,-0.105,-0.046,0.170,-0.029,-0.018,-0.309,0.139,0.086,-0.480,0.120,0.388,0.039,-0.445,-0.255,-0.247,0.052,1.000,-0.397
Noah Balta,0.496,-0.059,-0.626,-0.310,0.175,0.517,-0.046,0.251,0.593,0.608,0.088,-0.781,-0.152,0.346,-0.161,0.174,-0.086,0.214,0.421,0.086,0.091,-0.397,1.000
