Player,Jonty Faull,Tom Lynch,Maurice Rioli,Rhyan Mansell,Seth Campbell,Steely Green,Jack Ross,Tyler Sonsie,Dion Prestia,Hugo Ralphsmith,Jacob Hopper,James Trezise,Kamdyn McIntosh,Tim Taranto,Toby Nankervis,Jayden Short,Luke Trainor,Nathan Broad,Nick Vlastuin,Sam Banks,Tom Brown,Ben Miller,Noah Balta
Jonty Faull,1.000,0.113,0.308,0.544,0.173,0.079,0.127,0.140,-0.464,-0.317,-0.020,-0.829,0.422,-0.032,0.452,-0.090,-0.114,0.425,0.389,0.177,0.093,-0.125,0.370
Tom Lynch,0.113,1.000,0.523,0.493,0.265,-0.210,0.189,0.146,-0.527,-0.477,-0.411,-0.233,0.231,0.349,0.008,-0.449,-0.425,-0.408,0.164,0.147,-0.194,0.103,-0.025
Maurice Rioli,0.308,0.523,1.000,0.586,-0.037,-0.199,0.182,-0.059,-0.675,-0.735,0.138,-0.111,0.636,0.177,0.466,-0.554,-0.251,0.113,0.092,-0.036,-0.133,-0.244,-0.577
Rhyan Mansell,0.544,0.493,0.586,1.000,0.083,0.022,-0.034,0.587,-0.332,-0.205,0.206,-0.217,0.247,-0.071,-0.107,-0.338,-0.366,0.086,-0.006,0.163,0.063,0.139,-0.202
Seth Campbell,0.173,0.265,-0.037,0.083,1.000,0.351,-0.409,0.021,0.287,-0.661,-0.001,-0.147,0.052,0.232,-0.264,0.529,-0.029,-0.056,-0.034,0.206,0.183,-0.069,0.192
Steely Green,0.079,-0.210,-0.199,0.022,0.351,1.000,-0.291,-0.169,0.531,0.090,0.391,0.008,0.214,0.272,-0.184,0.401,0.098,0.334,0.174,-0.270,0.314,-0.213,0.466
Jack Ross,0.127,0.189,0.182,-0.034,-0.409,-0.291,1.000,0.065,-0.007,0.096,-0.049,0.135,-0.029,0.155,0.214,-0.026,-0.237,-0.156,0.216,0.044,-0.543,0.119,-0.030
Tyler Sonsie,0.140,0.146,-0.059,0.587,0.021,-0.169,0.065,1.000,0.090,0.029,0.410,-0.326,-0.442,-0.176,-0.234,-0.057,-0.156,0.060,0.047,0.329,0.168,0.230,0.378
Dion Prestia,-0.464,-0.527,-0.675,-0.332,0.287,0.531,-0.007,0.090,1.000,0.900,0.552,-0.073,-0.398,0.111,-0.193,0.908,-0.474,0.120,0.034,0.620,0.339,-0.067,0.673
Hugo Ralphsmith,-0.317,-0.477,-0.735,-0.205,-0.661,0.090,0.096,0.029,0.900,1.000,0.491,0.526,-0.595,-0.428,-0.033,0.056,-0.336,0.256,-0.420,0.237,0.120,0.107,0.204
Jacob Hopper,-0.020,-0.411,0.138,0.206,-0.001,0.391,-0.049,0.410,0.552,0.491,1.000,-0.052,-0.085,0.173,0.089,0.087,0.013,0.270,0.014,0.068,0.263,-0.389,0.286
James Trezise,-0.829,-0.233,-0.111,-0.217,-0.147,0.008,0.135,-0.326,-0.073,0.526,-0.052,1.000,-0.331,-0.150,0.076,0.219,0.115,0.062,-0.260,-0.093,-0.376,0.022,-0.741
Kamdyn McIntosh,0.422,0.231,0.636,0.247,0.052,0.214,-0.029,-0.442,-0.398,-0.595,-0.085,-0.331,1.000,0.224,0.225,0.071,0.075,0.049,0.232,-0.065,0.326,-0.009,-0.042
Tim Taranto,-0.032,0.349,0.177,-0.071,0.232,0.272,0.155,-0.176,0.111,-0.428,0.173,-0.150,0.224,1.000,-0.118,-0.100,-0.088,0.048,0.549,0.123,0.151,-0.397,0.252
Toby Nankervis,0.452,0.008,0.466,-0.107,-0.264,-0.184,0.214,-0.234,-0.193,-0.033,0.089,0.076,0.225,-0.118,1.000,0.092,0.373,0.205,-0.238,0.147,0.139,0.100,-0.102
Jayden Short,-0.090,-0.449,-0.554,-0.338,0.529,0.401,-0.026,-0.057,0.908,0.056,0.087,0.219,0.071,-0.100,0.092,1.000,0.271,0.106,-0.085,0.176,0.261,0.323,0.185
Luke Trainor,-0.114,-0.425,-0.251,-0.366,-0.029,0.098,-0.237,-0.156,-0.474,-0.336,0.013,0.115,0.075,-0.088,0.373,0.271,1.000,0.192,-0.194,-0.409,0.138,-0.053,0.115
Nathan Broad,0.425,-0.408,0.113,0.086,-0.056,0.334,-0.156,0.060,0.120,0.256,0.270,0.062,0.049,0.048,0.205,0.106,0.192,1.000,0.178,0.296,0.296,-0.410,0.306
Nick Vlastuin,0.389,0.164,0.092,-0.006,-0.034,0.174,0.216,0.047,0.034,-0.420,0.014,-0.260,0.232,0.549,-0.238,-0.085,-0.194,0.178,1.000,0.089,0.063,-0.126,0.227
Sam Banks,0.177,0.147,-0.036,0.163,0.206,-0.270,0.044,0.329,0.620,0.237,0.068,-0.093,-0.065,0.123,0.147,0.176,-0.409,0.296,0.089,1.000,0.410,0.032,0.075
Tom Brown,0.093,-0.194,-0.133,0.063,0.183,0.314,-0.543,0.168,0.339,0.120,0.263,-0.376,0.326,0.151,0.139,0.261,0.138,0.296,0.063,0.410,1.000,0.116,0.160
Ben Miller,-0.125,0.103,-0.244,0.139,-0.069,-0.213,0.119,0.230,-0.067,0.107,-0.389,0.022,-0.009,-0.397,0.100,0.323,-0.053,-0.410,-0.126,0.032,0.116,1.000,-0.490
Noah Balta,0.370,-0.025,-0.577,-0.202,0.192,0.466,-0.030,0.378,0.673,0.204,0.286,-0.741,-0.042,0.252,-0.102,0.185,0.115,0.306,0.227,0.075,0.160,-0.490,1.000
