Player,Cooper Sharman,Mitch Owens,Jack Higgins,Lance Collard,Max Hall,Bradley Hill,Darcy Wilson,Mason Wood,Hugo Garcia,Hunter Clark,Jack Macrae,Jack Steele,Marcus Windhager,Zak Jones,Rowan Marshall,Jack Sinclair,Jimmy Webster,Liam Stocker,Nasiah Wanganeen-Milera,Ryan Byrnes,Tobie Travaglia,Anthony Caminiti,Callum Wilkie
Cooper Sharman,1.000,0.525,-0.410,-0.061,-0.116,0.284,0.011,-0.064,0.194,0.062,-0.209,0.495,0.219,0.282,-0.445,-0.213,0.088,-0.043,-0.314,0.653,0.244,-0.169,0.137
Mitch Owens,0.525,1.000,-0.194,0.046,-0.118,0.431,-0.524,-0.132,0.024,-0.238,0.246,0.818,-0.018,0.101,-0.464,0.061,0.350,-0.014,-0.014,0.511,0.304,0.117,0.066
Jack Higgins,-0.410,-0.194,1.000,0.497,0.136,-0.280,0.280,0.136,-0.030,-0.515,0.420,-0.324,-0.054,0.069,0.297,0.062,0.533,-0.223,-0.189,-0.220,-0.369,0.483,0.182
Lance Collard,-0.061,0.046,0.497,1.000,-0.365,0.034,0.157,0.218,-0.036,-1.000,0.414,0.197,-0.139,-0.256,0.071,0.034,0.306,0.019,-0.022,-0.174,0.550,0.578,0.133
Max Hall,-0.116,-0.118,0.136,-0.365,1.000,-0.323,-0.070,-0.192,0.423,-0.192,-0.196,-0.003,0.344,0.240,0.095,0.007,-0.269,-0.197,0.216,-0.084,-0.305,-0.243,-0.427
Bradley Hill,0.284,0.431,-0.280,0.034,-0.323,1.000,-0.165,-0.166,-0.134,0.110,-0.138,0.186,0.082,-0.228,-0.088,0.203,0.549,0.137,-0.251,0.218,0.304,0.160,0.448
Darcy Wilson,0.011,-0.524,0.280,0.157,-0.070,-0.165,1.000,-0.123,-0.409,-0.277,0.017,-0.431,-0.289,-0.171,0.215,0.004,0.203,0.050,-0.554,0.008,-0.360,0.160,0.080
Mason Wood,-0.064,-0.132,0.136,0.218,-0.192,-0.166,-0.123,1.000,-0.009,-0.237,0.557,-0.040,0.348,0.311,0.084,-0.306,-0.152,-0.287,0.070,0.088,0.499,0.175,0.256
Hugo Garcia,0.194,0.024,-0.030,-0.036,0.423,-0.134,-0.409,-0.009,1.000,0.205,-0.125,-0.142,0.130,0.044,-0.330,-0.085,-0.047,0.567,-0.091,-0.090,0.354,-0.359,-0.159
Hunter Clark,0.062,-0.238,-0.515,-1.000,-0.192,0.110,-0.277,-0.237,0.205,1.000,-0.205,-0.317,-0.089,-0.156,0.000,0.247,-0.304,0.432,0.591,-0.479,0.637,-0.438,0.077
Jack Macrae,-0.209,0.246,0.420,0.414,-0.196,-0.138,0.017,0.557,-0.125,-0.205,1.000,-0.041,-0.230,0.002,0.044,-0.145,0.262,-0.257,0.315,0.020,0.015,0.644,0.338
Jack Steele,0.495,0.818,-0.324,0.197,-0.003,0.186,-0.431,-0.040,-0.142,-0.317,-0.041,1.000,0.164,0.046,-0.311,-0.133,-0.142,-0.061,-0.026,0.692,0.785,0.166,-0.098
Marcus Windhager,0.219,-0.018,-0.054,-0.139,0.344,0.082,-0.289,0.348,0.130,-0.089,-0.230,0.164,1.000,0.298,-0.042,-0.112,-0.161,-0.075,-0.118,0.168,0.083,-0.247,0.262
Zak Jones,0.282,0.101,0.069,-0.256,0.240,-0.228,-0.171,0.311,0.044,-0.156,0.002,0.046,0.298,1.000,0.183,0.332,-0.244,-0.517,0.081,0.168,0.247,0.116,-0.275
Rowan Marshall,-0.445,-0.464,0.297,0.071,0.095,-0.088,0.215,0.084,-0.330,0.000,0.044,-0.311,-0.042,0.183,1.000,0.354,0.065,-0.649,0.145,-0.140,-0.326,0.201,-0.008
Jack Sinclair,-0.213,0.061,0.062,0.034,0.007,0.203,0.004,-0.306,-0.085,0.247,-0.145,-0.133,-0.112,0.332,0.354,1.000,0.344,-0.078,0.077,0.158,0.323,0.246,-0.118
Jimmy Webster,0.088,0.350,0.533,0.306,-0.269,0.549,0.203,-0.152,-0.047,-0.304,0.262,-0.142,-0.161,-0.244,0.065,0.344,1.000,-0.102,-0.505,-0.106,-0.040,0.398,0.477
Liam Stocker,-0.043,-0.014,-0.223,0.019,-0.197,0.137,0.050,-0.287,0.567,0.432,-0.257,-0.061,-0.075,-0.517,-0.649,-0.078,-0.102,1.000,-0.271,-0.188,0.518,-0.323,0.142
Nasiah Wanganeen-Milera,-0.314,-0.014,-0.189,-0.022,0.216,-0.251,-0.554,0.070,-0.091,0.591,0.315,-0.026,-0.118,0.081,0.145,0.077,-0.505,-0.271,1.000,-0.409,0.308,-0.092,-0.234
Ryan Byrnes,0.653,0.511,-0.220,-0.174,-0.084,0.218,0.008,0.088,-0.090,-0.479,0.020,0.692,0.168,0.168,-0.140,0.158,-0.106,-0.188,-0.409,1.000,0.571,0.371,0.112
Tobie Travaglia,0.244,0.304,-0.369,0.550,-0.305,0.304,-0.360,0.499,0.354,0.637,0.015,0.785,0.083,0.247,-0.326,0.323,-0.040,0.518,0.308,0.571,1.000,0.244,-0.190
Anthony Caminiti,-0.169,0.117,0.483,0.578,-0.243,0.160,0.160,0.175,-0.359,-0.438,0.644,0.166,-0.247,0.116,0.201,0.246,0.398,-0.323,-0.092,0.371,0.244,1.000,0.290
Callum Wilkie,0.137,0.066,0.182,0.133,-0.427,0.448,0.080,0.256,-0.159,0.077,0.338,-0.098,0.262,-0.275,-0.008,-0.118,0.477,0.142,-0.234,0.112,-0.190,0.290,1.000
