Player,Cooper Sharman,Mitch Owens,Jack Higgins,Lance Collard,Max Hall,Bradley Hill,Darcy Wilson,Mason Wood,Hugo Garcia,Hunter Clark,Jack Macrae,Jack Steele,Marcus Windhager,Zak Jones,Rowan Marshall,Jack Sinclair,Jimmy Webster,Liam Stocker,Nasiah Wanganeen-Milera,Ryan Byrnes,Tobie Travaglia,Anthony Caminiti,Callum Wilkie
Cooper Sharman,1.000,0.452,-0.388,-0.143,-0.056,0.325,0.064,-0.002,0.143,-0.028,-0.085,0.445,0.187,0.299,-0.381,-0.106,0.032,-0.058,-0.326,0.648,0.239,-0.115,0.118
Mitch Owens,0.452,1.000,-0.119,-0.064,0.221,0.717,-0.246,-0.170,0.191,-0.388,0.119,0.499,0.014,0.082,-0.339,0.052,0.434,-0.293,0.023,0.353,0.181,0.110,0.037
Jack Higgins,-0.388,-0.119,1.000,0.426,0.089,-0.362,0.208,0.039,-0.016,-0.286,0.405,-0.352,-0.021,0.151,0.237,-0.074,0.559,-0.124,-0.271,-0.318,-0.412,0.453,0.184
Lance Collard,-0.143,-0.064,0.426,1.000,-0.369,-0.078,0.212,0.140,0.031,-1.000,0.523,0.225,-0.325,-0.201,0.040,-0.128,0.252,0.201,0.048,-0.188,0.505,0.624,0.173
Max Hall,-0.056,0.221,0.089,-0.369,1.000,0.019,-0.172,-0.248,0.632,-0.189,-0.255,0.132,0.495,0.324,-0.037,0.044,0.024,-0.311,-0.049,-0.024,-0.295,-0.211,-0.471
Bradley Hill,0.325,0.717,-0.362,-0.078,0.019,1.000,-0.357,-0.098,0.176,0.233,-0.174,0.306,0.250,-0.117,-0.128,0.182,0.421,-0.104,-0.039,0.329,0.376,0.082,0.378
Darcy Wilson,0.064,-0.246,0.208,0.212,-0.172,-0.357,1.000,-0.243,-0.502,-0.459,0.119,-0.342,-0.462,-0.090,0.121,0.101,0.233,0.035,-0.479,0.127,-0.065,0.216,0.068
Mason Wood,-0.002,-0.170,0.039,0.140,-0.248,-0.098,-0.243,1.000,0.241,0.004,0.235,-0.124,0.170,0.340,-0.043,-0.109,0.034,0.118,0.097,0.224,0.624,0.073,0.233
Hugo Garcia,0.143,0.191,-0.016,0.031,0.632,0.176,-0.502,0.241,1.000,0.010,-0.073,0.019,0.231,0.203,-0.196,-0.212,0.028,0.364,-0.104,-0.139,0.191,-0.197,-0.176
Hunter Clark,-0.028,-0.388,-0.286,-1.000,-0.189,0.233,-0.459,0.004,0.010,1.000,-0.092,-0.328,0.097,-0.169,0.027,0.353,0.093,0.249,0.507,-0.328,0.718,-0.527,0.026
Jack Macrae,-0.085,0.119,0.405,0.523,-0.255,-0.174,0.119,0.235,-0.073,-0.092,1.000,0.037,-0.355,0.166,0.106,-0.202,0.230,-0.185,0.258,-0.059,0.003,0.648,0.252
Jack Steele,0.445,0.499,-0.352,0.225,0.132,0.306,-0.342,-0.124,0.019,-0.328,0.037,1.000,0.238,0.110,-0.197,-0.227,-0.071,-0.238,0.051,0.645,0.736,0.144,-0.145
Marcus Windhager,0.187,0.014,-0.021,-0.325,0.495,0.250,-0.462,0.170,0.231,0.097,-0.355,0.238,1.000,0.392,-0.051,-0.066,0.038,-0.066,-0.170,0.124,-0.026,-0.305,0.094
Zak Jones,0.299,0.082,0.151,-0.201,0.324,-0.117,-0.090,0.340,0.203,-0.169,0.166,0.110,0.392,1.000,0.081,0.296,-0.151,-0.329,0.018,0.357,0.376,0.194,-0.396
Rowan Marshall,-0.381,-0.339,0.237,0.040,-0.037,-0.128,0.121,-0.043,-0.196,0.027,0.106,-0.197,-0.051,0.081,1.000,0.329,0.181,-0.472,0.188,-0.081,-0.247,0.081,-0.022
Jack Sinclair,-0.106,0.052,-0.074,-0.128,0.044,0.182,0.101,-0.109,-0.212,0.353,-0.202,-0.227,-0.066,0.296,0.329,1.000,0.332,-0.154,0.198,0.200,0.390,0.109,-0.209
Jimmy Webster,0.032,0.434,0.559,0.252,0.024,0.421,0.233,0.034,0.028,0.093,0.230,-0.071,0.038,-0.151,0.181,0.332,1.000,-0.148,-0.187,-0.184,0.060,0.425,0.515
Liam Stocker,-0.058,-0.293,-0.124,0.201,-0.311,-0.104,0.035,0.118,0.364,0.249,-0.185,-0.238,-0.066,-0.329,-0.472,-0.154,-0.148,1.000,-0.382,-0.090,0.556,-0.071,0.306
Nasiah Wanganeen-Milera,-0.326,0.023,-0.271,0.048,-0.049,-0.039,-0.479,0.097,-0.104,0.507,0.258,0.051,-0.170,0.018,0.188,0.198,-0.187,-0.382,1.000,-0.203,0.438,0.019,-0.202
Ryan Byrnes,0.648,0.353,-0.318,-0.188,-0.024,0.329,0.127,0.224,-0.139,-0.328,-0.059,0.645,0.124,0.357,-0.081,0.200,-0.184,-0.090,-0.203,1.000,0.661,0.221,-0.058
Tobie Travaglia,0.239,0.181,-0.412,0.505,-0.295,0.376,-0.065,0.624,0.191,0.718,0.003,0.736,-0.026,0.376,-0.247,0.390,0.060,0.556,0.438,0.661,1.000,0.319,-0.248
Anthony Caminiti,-0.115,0.110,0.453,0.624,-0.211,0.082,0.216,0.073,-0.197,-0.527,0.648,0.144,-0.305,0.194,0.081,0.109,0.425,-0.071,0.019,0.221,0.319,1.000,0.257
Callum Wilkie,0.118,0.037,0.184,0.173,-0.471,0.378,0.068,0.233,-0.176,0.026,0.252,-0.145,0.094,-0.396,-0.022,-0.209,0.515,0.306,-0.202,-0.058,-0.248,0.257,1.000
