Player,Hayden McLean,Braeden Campbell,Caiden Cleary,Will Hayward,Corey Warner,Justin McInerney,Angus Sheldrick,Chad Warner,Isaac Heeney,Jake Lloyd,James Jordon,James Rowbottom,Oliver Florent,Brodie Grundy,Callum Mills,Dane Rampe,Matt Roberts,Nick Blakey,Riley Bice,Sam Wicks,Joel Hamling,Lewis Melican,Tom McCartin
Hayden McLean,1.000,0.320,0.069,0.082,-0.455,0.371,0.044,0.179,0.185,-0.128,0.160,0.443,0.052,-0.123,0.417,0.344,0.089,0.296,0.291,0.202,0.673,0.238,0.060
Braeden Campbell,0.320,1.000,0.435,0.055,0.210,0.455,-0.353,0.010,0.217,0.322,0.229,0.457,0.141,0.095,0.503,0.394,0.354,0.099,0.422,-0.068,0.375,-0.117,-0.424
Caiden Cleary,0.069,0.435,1.000,0.264,0.603,-0.014,-0.549,-0.048,0.223,0.502,0.075,0.489,-0.156,-0.283,-0.930,-0.306,0.301,-0.218,0.764,-0.194,-0.340,-0.075,-0.567
Will Hayward,0.082,0.055,0.264,1.000,-0.432,-0.010,0.147,-0.043,0.579,-0.212,-0.120,0.030,-0.212,0.380,0.059,-0.222,-0.319,0.106,0.038,-0.159,-0.320,0.213,0.221
Corey Warner,-0.455,0.210,0.603,-0.432,1.000,0.523,-0.189,0.181,0.009,0.340,-0.075,-0.118,-0.329,-0.430,-0.189,-0.126,-0.057,-0.423,-0.243,-0.289,0.219,0.345,-0.199
Justin McInerney,0.371,0.455,-0.014,-0.010,0.523,1.000,0.162,0.337,0.216,-0.231,-0.147,0.280,-0.066,-0.135,0.357,0.281,0.250,-0.241,-0.019,-0.452,0.527,0.332,0.086
Angus Sheldrick,0.044,-0.353,-0.549,0.147,-0.189,0.162,1.000,0.327,0.234,-0.349,-0.350,-0.320,-0.354,0.436,-0.512,0.005,-0.303,0.237,-0.389,-0.198,-0.375,0.306,0.012
Chad Warner,0.179,0.010,-0.048,-0.043,0.181,0.337,0.327,1.000,0.335,-0.159,-0.096,0.012,-0.250,-0.005,-0.298,0.004,0.082,0.177,-0.100,0.003,0.001,0.077,-0.023
Isaac Heeney,0.185,0.217,0.223,0.579,0.009,0.216,0.234,0.335,1.000,-0.223,0.160,0.036,-0.375,0.212,0.445,-0.034,-0.073,0.049,-0.326,-0.119,-0.226,0.159,0.088
Jake Lloyd,-0.128,0.322,0.502,-0.212,0.340,-0.231,-0.349,-0.159,-0.223,1.000,0.195,0.132,-0.311,-0.275,0.174,-0.046,0.172,-0.018,0.589,0.430,-0.198,-0.079,-0.072
James Jordon,0.160,0.229,0.075,-0.120,-0.075,-0.147,-0.350,-0.096,0.160,0.195,1.000,0.192,0.238,-0.446,0.296,0.305,0.366,0.065,0.061,0.195,0.383,-0.160,0.091
James Rowbottom,0.443,0.457,0.489,0.030,-0.118,0.280,-0.320,0.012,0.036,0.132,0.192,1.000,0.100,-0.109,0.054,-0.040,0.579,-0.249,0.544,0.239,0.237,0.025,-0.157
Oliver Florent,0.052,0.141,-0.156,-0.212,-0.329,-0.066,-0.354,-0.250,-0.375,-0.311,0.238,0.100,1.000,-0.041,0.295,0.572,0.520,0.130,0.152,-0.132,0.464,-0.784,0.007
Brodie Grundy,-0.123,0.095,-0.283,0.380,-0.430,-0.135,0.436,-0.005,0.212,-0.275,-0.446,-0.109,-0.041,1.000,-0.225,0.182,-0.192,0.323,0.038,-0.304,-0.434,-0.004,-0.207
Callum Mills,0.417,0.503,-0.930,0.059,-0.189,0.357,-0.512,-0.298,0.445,0.174,0.296,0.054,0.295,-0.225,1.000,0.139,-0.434,0.227,-0.386,0.251,0.474,0.048,0.517
Dane Rampe,0.344,0.394,-0.306,-0.222,-0.126,0.281,0.005,0.004,-0.034,-0.046,0.305,-0.040,0.572,0.182,0.139,1.000,0.568,0.282,0.175,-0.017,0.435,-0.382,-0.073
Matt Roberts,0.089,0.354,0.301,-0.319,-0.057,0.250,-0.303,0.082,-0.073,0.172,0.366,0.579,0.520,-0.192,-0.434,0.568,1.000,-0.038,0.701,0.028,-0.180,-0.424,-0.380
Nick Blakey,0.296,0.099,-0.218,0.106,-0.423,-0.241,0.237,0.177,0.049,-0.018,0.065,-0.249,0.130,0.323,0.227,0.282,-0.038,1.000,-0.004,-0.113,0.015,-0.073,-0.087
Riley Bice,0.291,0.422,0.764,0.038,-0.243,-0.019,-0.389,-0.100,-0.326,0.589,0.061,0.544,0.152,0.038,-0.386,0.175,0.701,-0.004,1.000,0.199,-0.100,-0.181,-0.348
Sam Wicks,0.202,-0.068,-0.194,-0.159,-0.289,-0.452,-0.198,0.003,-0.119,0.430,0.195,0.239,-0.132,-0.304,0.251,-0.017,0.028,-0.113,0.199,1.000,-0.049,-0.192,0.066
Joel Hamling,0.673,0.375,-0.340,-0.320,0.219,0.527,-0.375,0.001,-0.226,-0.198,0.383,0.237,0.464,-0.434,0.474,0.435,-0.180,0.015,-0.100,-0.049,1.000,0.792,0.226
Lewis Melican,0.238,-0.117,-0.075,0.213,0.345,0.332,0.306,0.077,0.159,-0.079,-0.160,0.025,-0.784,-0.004,0.048,-0.382,-0.424,-0.073,-0.181,-0.192,0.792,1.000,0.122
Tom McCartin,0.060,-0.424,-0.567,0.221,-0.199,0.086,0.012,-0.023,0.088,-0.072,0.091,-0.157,0.007,-0.207,0.517,-0.073,-0.380,-0.087,-0.348,0.066,0.226,0.122,1.000
