Player,Hayden McLean,Braeden Campbell,Caiden Cleary,Will Hayward,Corey Warner,Justin McInerney,Angus Sheldrick,Chad Warner,Isaac Heeney,Jake Lloyd,James Jordon,James Rowbottom,Oliver Florent,Brodie Grundy,Callum Mills,Dane Rampe,Matt Roberts,Nick Blakey,Riley Bice,Sam Wicks,Joel Hamling,Lewis Melican,Tom McCartin
Hayden McLean,1.000,0.139,0.085,0.028,-0.463,0.279,0.075,0.157,0.281,-0.143,0.178,0.303,0.028,-0.119,0.451,0.502,0.152,0.096,0.286,0.272,0.623,0.276,0.089
Braeden Campbell,0.139,1.000,0.348,-0.016,0.132,0.375,-0.268,0.190,0.102,0.333,0.219,0.444,-0.028,-0.013,0.698,0.293,0.480,0.062,0.443,-0.110,0.309,-0.021,-0.351
Caiden Cleary,0.085,0.348,1.000,0.187,0.670,0.062,-0.416,0.126,0.135,0.492,0.061,0.477,-0.148,-0.111,-0.775,-0.144,0.134,-0.314,0.402,-0.105,-0.309,-0.070,-0.482
Will Hayward,0.028,-0.016,0.187,1.000,-0.284,0.012,0.051,0.147,0.335,-0.203,-0.119,0.064,0.054,0.083,-0.074,-0.273,-0.441,0.081,0.093,-0.341,-0.355,0.262,0.267
Corey Warner,-0.463,0.132,0.670,-0.284,1.000,0.455,-0.070,0.209,-0.052,0.319,-0.013,-0.290,-0.455,-0.417,0.000,-0.075,-0.212,-0.142,-0.372,-0.277,0.207,0.518,-0.061
Justin McInerney,0.279,0.375,0.062,0.012,0.455,1.000,0.325,0.306,0.268,-0.206,-0.065,0.193,-0.407,-0.336,0.556,0.210,0.357,-0.285,0.036,-0.287,0.351,0.323,-0.049
Angus Sheldrick,0.075,-0.268,-0.416,0.051,-0.070,0.325,1.000,0.333,0.329,-0.400,-0.245,-0.204,-0.149,0.276,-0.355,-0.004,-0.396,0.165,-0.352,-0.147,-0.387,0.256,-0.013
Chad Warner,0.157,0.190,0.126,0.147,0.209,0.306,0.333,1.000,0.185,-0.140,-0.086,0.201,-0.308,-0.071,-0.317,-0.154,0.279,-0.042,0.122,0.020,-0.075,0.050,-0.078
Isaac Heeney,0.281,0.102,0.135,0.335,-0.052,0.268,0.329,0.185,1.000,-0.354,0.380,-0.113,-0.041,0.101,0.492,0.108,-0.200,0.115,-0.427,-0.294,-0.042,0.040,0.052
Jake Lloyd,-0.143,0.333,0.492,-0.203,0.319,-0.206,-0.400,-0.140,-0.354,1.000,0.158,0.171,-0.285,-0.206,0.121,-0.048,0.277,-0.115,0.537,0.483,-0.128,-0.198,0.098
James Jordon,0.178,0.219,0.061,-0.119,-0.013,-0.065,-0.245,-0.086,0.380,0.158,1.000,0.130,0.207,-0.466,0.252,0.394,0.239,0.058,0.037,0.179,0.385,-0.198,0.025
James Rowbottom,0.303,0.444,0.477,0.064,-0.290,0.193,-0.204,0.201,-0.113,0.171,0.130,1.000,0.203,0.015,-0.041,0.003,0.640,-0.218,0.562,0.202,0.207,0.041,-0.123
Oliver Florent,0.028,-0.028,-0.148,0.054,-0.455,-0.407,-0.149,-0.308,-0.041,-0.285,0.207,0.203,1.000,0.155,0.232,0.511,0.248,0.079,0.465,0.029,0.253,-0.610,0.078
Brodie Grundy,-0.119,-0.013,-0.111,0.083,-0.417,-0.336,0.276,-0.071,0.101,-0.206,-0.466,0.015,0.155,1.000,-0.360,0.039,0.024,0.300,0.158,-0.202,-0.406,-0.100,-0.185
Callum Mills,0.451,0.698,-0.775,-0.074,0.000,0.556,-0.355,-0.317,0.492,0.121,0.252,-0.041,0.232,-0.360,1.000,0.207,-0.468,0.158,-0.541,0.007,0.564,0.225,0.417
Dane Rampe,0.502,0.293,-0.144,-0.273,-0.075,0.210,-0.004,-0.154,0.108,-0.048,0.394,0.003,0.511,0.039,0.207,1.000,0.413,0.248,0.309,0.013,0.496,-0.212,-0.060
Matt Roberts,0.152,0.480,0.134,-0.441,-0.212,0.357,-0.396,0.279,-0.200,0.277,0.239,0.640,0.248,0.024,-0.468,0.413,1.000,-0.276,0.704,0.230,0.033,-0.418,-0.399
Nick Blakey,0.096,0.062,-0.314,0.081,-0.142,-0.285,0.165,-0.042,0.115,-0.115,0.058,-0.218,0.079,0.300,0.158,0.248,-0.276,1.000,-0.071,-0.174,-0.052,-0.110,-0.043
Riley Bice,0.286,0.443,0.402,0.093,-0.372,0.036,-0.352,0.122,-0.427,0.537,0.037,0.562,0.465,0.158,-0.541,0.309,0.704,-0.071,1.000,0.353,-0.061,-0.301,-0.309
Sam Wicks,0.272,-0.110,-0.105,-0.341,-0.277,-0.287,-0.147,0.020,-0.294,0.483,0.179,0.202,0.029,-0.202,0.007,0.013,0.230,-0.174,0.353,1.000,0.022,-0.284,0.095
Joel Hamling,0.623,0.309,-0.309,-0.355,0.207,0.351,-0.387,-0.075,-0.042,-0.128,0.385,0.207,0.253,-0.406,0.564,0.496,0.033,-0.052,-0.061,0.022,1.000,0.878,0.265
Lewis Melican,0.276,-0.021,-0.070,0.262,0.518,0.323,0.256,0.050,0.040,-0.198,-0.198,0.041,-0.610,-0.100,0.225,-0.212,-0.418,-0.110,-0.301,-0.284,0.878,1.000,0.118
Tom McCartin,0.089,-0.351,-0.482,0.267,-0.061,-0.049,-0.013,-0.078,0.052,0.098,0.025,-0.123,0.078,-0.185,0.417,-0.060,-0.399,-0.043,-0.309,0.095,0.265,0.118,1.000
