Player,Archer Reid,Jack Williams,Oscar Allen,Jamie Cripps,Liam Ryan,Matthew Owies,Tyler Brockman,Jack Graham,Tim Kelly,Brady Hough,Clay Hall,Elijah Hewett,Harley Reid,Jack Hutchinson,Jayden Hunt,Tyrell Dewar,Bailey J. Williams,Matt Flynn,Liam Baker,Liam Duggan,Reuben Ginbey,Ryan Maric,Tom Cole,Harry Edwards,Sandy Brock
Archer Reid,1.000,0.239,-0.366,-0.729,-0.303,0.206,-0.617,0.062,0.018,-0.446,0.587,-0.182,0.362,-0.256,-0.123,0.250,-0.187,0.647,0.130,0.258,0.253,0.163,0.068,-0.704,0.540
Jack Williams,0.239,1.000,0.272,-0.374,0.102,-0.209,-0.098,0.388,0.133,-0.247,-0.164,0.009,-0.275,0.002,-0.297,0.067,0.249,0.131,0.329,-0.493,0.112,0.149,-0.792,-0.255,0.092
Oscar Allen,-0.366,0.272,1.000,-0.301,0.027,0.108,0.497,-0.513,-0.190,0.263,0.951,0.317,-0.311,0.374,0.211,-0.680,-0.272,-0.100,-0.156,0.221,0.274,0.148,-0.426,0.170,0.225
Jamie Cripps,-0.729,-0.374,-0.301,1.000,0.163,0.003,0.257,0.269,0.274,0.016,-0.046,-0.356,-0.338,-0.220,0.449,-0.173,0.282,-0.283,0.013,-0.274,-0.402,-0.231,0.186,0.062,-0.450
Liam Ryan,-0.303,0.102,0.027,0.163,1.000,-0.072,0.143,0.207,-0.147,0.034,-0.211,-0.298,-0.124,-0.313,-0.007,0.353,-0.114,0.068,-0.032,-0.040,-0.069,-0.043,-0.237,0.119,-0.130
Matthew Owies,0.206,-0.209,0.108,0.003,-0.072,1.000,0.056,0.250,-0.195,-0.193,0.324,0.007,0.204,0.183,-0.009,0.531,-0.226,-0.188,0.421,0.457,0.229,-0.001,-0.095,0.229,0.048
Tyler Brockman,-0.617,-0.098,0.497,0.257,0.143,0.056,1.000,-0.135,-0.360,0.096,0.131,0.231,-0.295,-0.267,0.227,0.128,0.185,0.143,-0.175,0.275,-0.133,-0.385,-0.086,0.299,-0.159
Jack Graham,0.062,0.388,-0.513,0.269,0.207,0.250,-0.135,1.000,-0.013,-0.103,-0.465,0.076,0.163,-0.577,-0.367,0.072,-0.067,0.139,0.250,0.007,-0.284,-0.425,0.419,-0.383,-0.321
Tim Kelly,0.018,0.133,-0.190,0.274,-0.147,-0.195,-0.360,-0.013,1.000,-0.292,0.127,0.067,-0.357,0.123,0.596,-0.564,-0.581,-0.092,-0.048,-0.468,-0.352,0.239,0.278,-0.206,-0.038
Brady Hough,-0.446,-0.247,0.263,0.016,0.034,-0.193,0.096,-0.103,-0.292,1.000,0.454,-0.039,0.005,0.160,-0.337,0.014,0.093,0.486,0.193,0.349,-0.279,-0.070,0.135,0.141,0.211
Clay Hall,0.587,-0.164,0.951,-0.046,-0.211,0.324,0.131,-0.465,0.127,0.454,1.000,-0.073,-0.111,0.768,0.213,-0.415,-0.058,0.131,0.157,0.425,-0.092,0.034,0.024,0.846,0.620
Elijah Hewett,-0.182,0.009,0.317,-0.356,-0.298,0.007,0.231,0.076,0.067,-0.039,-0.073,1.000,0.354,-0.345,-0.070,-0.260,-0.357,0.244,-0.224,0.400,0.088,-0.075,0.236,0.078,0.316
Harley Reid,0.362,-0.275,-0.311,-0.338,-0.124,0.204,-0.295,0.163,-0.357,0.005,-0.111,0.354,1.000,-0.088,-0.400,0.375,0.138,-0.102,-0.206,0.465,0.217,-0.083,0.327,0.294,0.211
Jack Hutchinson,-0.256,0.002,0.374,-0.220,-0.313,0.183,-0.267,-0.577,0.123,0.160,0.768,-0.345,-0.088,1.000,0.035,-0.137,-0.232,-0.094,0.450,-0.053,0.245,0.183,-0.162,0.729,0.189
Jayden Hunt,-0.123,-0.297,0.211,0.449,-0.007,-0.009,0.227,-0.367,0.596,-0.337,0.213,-0.070,-0.400,0.035,1.000,-0.510,-0.245,0.237,-0.374,-0.505,-0.559,0.407,-0.157,0.267,-0.106
Tyrell Dewar,0.250,0.067,-0.680,-0.173,0.353,0.531,0.128,0.072,-0.564,0.014,-0.415,-0.260,0.375,-0.137,-0.510,1.000,0.040,0.045,0.119,0.250,0.411,-0.259,-0.345,0.065,0.008
Bailey J. Williams,-0.187,0.249,-0.272,0.282,-0.114,-0.226,0.185,-0.067,-0.581,0.093,-0.058,-0.357,0.138,-0.232,-0.245,0.040,1.000,-0.210,0.189,-0.024,0.100,-0.100,0.022,0.164,-0.258
Matt Flynn,0.647,0.131,-0.100,-0.283,0.068,-0.188,0.143,0.139,-0.092,0.486,0.131,0.244,-0.102,-0.094,0.237,0.045,-0.210,1.000,0.108,0.047,-0.323,-0.001,0.274,-0.064,0.574
Liam Baker,0.130,0.329,-0.156,0.013,-0.032,0.421,-0.175,0.250,-0.048,0.193,0.157,-0.224,-0.206,0.450,-0.374,0.119,0.189,0.108,1.000,0.052,0.017,0.098,0.112,0.176,0.055
Liam Duggan,0.258,-0.493,0.221,-0.274,-0.040,0.457,0.275,0.007,-0.468,0.349,0.425,0.400,0.465,-0.053,-0.505,0.250,-0.024,0.047,0.052,1.000,0.285,-0.202,0.384,0.385,0.736
