Player,Archer Reid,Jack Williams,Oscar Allen,Jamie Cripps,Liam Ryan,Matthew Owies,Tyler Brockman,Jack Graham,Tim Kelly,Brady Hough,Clay Hall,Elijah Hewett,Harley Reid,Jack Hutchinson,Jayden Hunt,Tyrell Dewar,Bailey J. Williams,Matt Flynn,Liam Baker,Liam Duggan,Reuben Ginbey,Ryan Maric,Tom Cole,Harry Edwards,Sandy Brock
Archer Reid,1.000,0.216,-0.261,-0.531,-0.340,0.018,-0.691,0.096,0.182,-0.506,0.522,-0.016,0.036,-0.370,-0.061,0.118,-0.072,0.664,0.140,0.228,0.242,0.337,-0.035,-0.731,0.661
Jack Williams,0.216,1.000,0.081,-0.302,0.174,-0.232,-0.106,0.354,-0.100,-0.182,0.078,0.107,-0.250,-0.081,-0.238,0.141,0.266,0.090,0.130,-0.381,0.203,0.187,-0.848,-0.379,-0.123
Oscar Allen,-0.261,0.081,1.000,-0.354,0.063,0.218,0.325,-0.601,0.029,0.068,0.775,0.031,-0.329,0.478,0.319,-0.827,-0.449,0.073,0.039,0.044,0.127,0.190,0.006,0.127,0.378
Jamie Cripps,-0.531,-0.302,-0.354,1.000,-0.061,0.088,0.262,0.313,0.314,0.154,-0.282,-0.426,-0.362,-0.122,0.312,-0.096,0.315,-0.265,0.185,-0.377,-0.439,-0.153,0.241,0.103,-0.392
Liam Ryan,-0.340,0.174,0.063,-0.061,1.000,-0.078,0.034,0.180,-0.232,0.201,-0.285,-0.460,-0.182,-0.301,0.134,0.194,-0.099,0.142,-0.180,-0.030,-0.046,-0.016,-0.260,0.026,-0.161
Matthew Owies,0.018,-0.232,0.218,0.088,-0.078,1.000,0.170,0.260,-0.120,-0.094,0.313,-0.141,0.095,0.314,0.074,0.542,-0.223,-0.325,0.305,0.352,0.222,0.021,0.004,0.284,-0.037
Tyler Brockman,-0.691,-0.106,0.325,0.262,0.034,0.170,1.000,-0.087,-0.418,0.108,0.376,0.116,-0.133,-0.171,0.121,0.177,0.158,0.186,-0.256,0.340,-0.174,-0.429,-0.053,0.403,-0.229
Jack Graham,0.096,0.354,-0.601,0.313,0.180,0.260,-0.087,1.000,-0.101,-0.088,-0.479,-0.003,0.125,-0.504,-0.279,-0.009,0.039,0.028,0.155,0.079,-0.173,-0.339,0.408,-0.258,-0.354
Tim Kelly,0.182,-0.100,0.029,0.314,-0.232,-0.120,-0.418,-0.101,1.000,-0.340,-0.383,0.079,-0.311,0.083,0.519,-0.486,-0.365,-0.193,0.119,-0.370,-0.274,0.191,0.329,-0.159,0.246
Brady Hough,-0.506,-0.182,0.068,0.154,0.201,-0.094,0.108,-0.088,-0.340,1.000,0.330,-0.112,-0.018,-0.003,0.044,0.136,0.073,0.520,0.095,0.134,-0.325,-0.097,0.031,0.163,0.174
Clay Hall,0.522,0.078,0.775,-0.282,-0.285,0.313,0.376,-0.479,-0.383,0.330,1.000,-0.006,0.160,0.739,-0.103,0.000,0.000,0.304,0.226,0.707,0.043,-0.275,-0.060,0.850,0.714
Elijah Hewett,-0.016,0.107,0.031,-0.426,-0.460,-0.141,0.116,-0.003,0.079,-0.112,-0.006,1.000,0.579,-0.367,-0.116,-0.188,-0.251,0.159,-0.257,0.333,0.080,-0.197,0.243,0.037,0.316
Harley Reid,0.036,-0.250,-0.329,-0.362,-0.182,0.095,-0.133,0.125,-0.311,-0.018,0.160,0.579,1.000,-0.106,-0.250,0.263,0.165,-0.029,-0.078,0.474,0.166,-0.428,0.184,0.440,0.350
Jack Hutchinson,-0.370,-0.081,0.478,-0.122,-0.301,0.314,-0.171,-0.504,0.083,-0.003,0.739,-0.367,-0.106,1.000,0.125,-0.129,-0.137,-0.073,0.480,-0.117,0.178,0.275,-0.176,0.806,0.043
Jayden Hunt,-0.061,-0.238,0.319,0.312,0.134,0.074,0.121,-0.279,0.519,0.044,-0.103,-0.116,-0.250,0.125,1.000,-0.326,-0.407,0.491,0.065,-0.586,-0.654,0.580,-0.197,0.168,-0.372
Tyrell Dewar,0.118,0.141,-0.827,-0.096,0.194,0.542,0.177,-0.009,-0.486,0.136,0.000,-0.188,0.263,-0.129,-0.326,1.000,0.151,0.125,0.038,0.167,0.247,-0.297,-0.402,0.046,0.049
Bailey J. Williams,-0.072,0.266,-0.449,0.315,-0.099,-0.223,0.158,0.039,-0.365,0.073,0.000,-0.251,0.165,-0.137,-0.407,0.151,1.000,-0.355,0.258,-0.077,-0.005,-0.022,-0.144,0.110,-0.434
Matt Flynn,0.664,0.090,0.073,-0.265,0.142,-0.325,0.186,0.028,-0.193,0.520,0.304,0.159,-0.029,-0.073,0.491,0.125,-0.355,1.000,0.098,0.019,-0.294,0.016,0.070,-0.126,0.538
Liam Baker,0.140,0.130,0.039,0.185,-0.180,0.305,-0.256,0.155,0.119,0.095,0.226,-0.257,-0.078,0.480,0.065,0.038,0.258,0.098,1.000,-0.049,0.118,0.204,0.229,0.209,0.192
Liam Duggan,0.228,-0.381,0.044,-0.377,-0.030,0.352,0.340,0.079,-0.370,0.134,0.707,0.333,0.474,-0.117,-0.586,0.167,-0.077,0.019,-0.049,1.000,0.304,-0.303,0.343,0.461,0.705
Reuben Ginbey,0.242,0.203,0.127,-0.439,-0.046,0.222,-0.174,-0.173,-0.274,-0.325,0.043,0.080,0.166,0.178,-0.654,0.247,-0.005,-0.294,0.118,0.304,1.000,-0.031,0.105,-0.079,0.330
Ryan Maric,0.337,0.187,0.190,-0.153,-0.016,0.021,-0.429,-0.339,0.191,-0.097,-0.275,-0.197,-0.428,0.275,0.580,-0.297,-0.022,0.016,0.204,-0.303,-0.031,1.000,-0.303,-0.165,-0.112
Tom Cole,-0.035,-0.848,0.006,0.241,-0.260,0.004,-0.053,0.408,0.329,0.031,-0.060,0.243,0.184,-0.176,-0.197,-0.402,-0.144,0.070,0.229,0.343,0.105,-0.303,1.000,-0.074,0.456
Harry Edwards,-0.731,-0.379,0.127,0.103,0.026,0.284,0.403,-0.258,-0.159,0.163,0.850,0.037,0.440,0.806,0.168,0.046,0.110,-0.126,0.209,0.461,-0.079,-0.165,-0.074,1.000,0.370
