Player,Aaron Naughton,Buku Khamis,Sam Darcy,Lachlan McNeil,Laitham Vandermeer,Rhylee West,Joel Freijah,Ryley Sanders,Bailey Williams,Ed Richards,James Harmes,Marcus Bontempelli,Matthew Kennedy,Sam Davidson,Tom Liberatore,Tim English,Bailey Dale,Jason Johannisen,Lachlan Bramble,Luke Cleary,James O'Donnell,Rory Lobb
Aaron Naughton,1.000,-0.128,-0.259,-0.056,0.036,-0.253,0.185,-0.060,-0.224,-0.038,0.271,-0.117,-0.104,-0.388,-0.296,0.155,-0.121,-0.186,0.188,0.028,-0.223,-0.378
Buku Khamis,-0.128,1.000,-0.056,0.143,0.142,0.010,-0.232,-0.209,-0.390,0.325,0.009,0.099,0.250,-0.137,0.339,-0.131,0.118,0.151,-0.575,-0.085,0.225,-0.098
Sam Darcy,-0.259,-0.056,1.000,0.467,-0.175,0.290,-0.289,-0.239,-0.125,0.233,0.045,0.051,0.295,0.219,-0.007,0.277,-0.164,-0.361,-0.326,-0.309,-0.450,0.241
Lachlan McNeil,-0.056,0.143,0.467,1.000,0.050,0.453,0.041,0.211,0.149,0.349,-0.252,-0.181,0.394,0.384,0.280,0.291,0.169,-0.170,-0.094,-0.162,-0.281,0.422
Laitham Vandermeer,0.036,0.142,-0.175,0.050,1.000,0.130,0.195,0.086,-0.087,0.266,-0.036,-0.159,0.104,0.083,0.238,0.035,0.114,-0.249,-0.139,-0.425,0.007,0.227
Rhylee West,-0.253,0.010,0.290,0.453,0.130,1.000,0.000,0.079,-0.030,0.337,-0.517,0.081,0.345,-0.126,-0.044,0.028,0.229,-0.056,0.157,0.040,0.028,0.392
Joel Freijah,0.185,-0.232,-0.289,0.041,0.195,0.000,1.000,0.180,0.205,0.175,0.078,-0.289,0.104,-0.086,0.251,0.015,0.395,0.111,0.077,-0.020,-0.028,-0.332
Ryley Sanders,-0.060,-0.209,-0.239,0.211,0.086,0.079,0.180,1.000,0.424,-0.271,0.229,-0.328,0.073,0.337,0.180,-0.039,-0.010,0.115,0.465,0.183,-0.191,0.327
Bailey Williams,-0.224,-0.390,-0.125,0.149,-0.087,-0.030,0.205,0.424,1.000,-0.130,-0.012,0.052,0.164,0.685,-0.159,0.320,0.176,0.612,0.405,0.574,0.063,0.215
Ed Richards,-0.038,0.325,0.233,0.349,0.266,0.337,0.175,-0.271,-0.130,1.000,-0.427,0.210,0.095,-0.227,0.165,0.005,0.189,0.105,-0.267,-0.138,0.139,0.051
James Harmes,0.271,0.009,0.045,-0.252,-0.036,-0.517,0.078,0.229,-0.012,-0.427,1.000,-0.623,0.092,0.113,0.063,0.319,0.380,0.476,-0.126,0.187,0.181,-0.591
Marcus Bontempelli,-0.117,0.099,0.051,-0.181,-0.159,0.081,-0.289,-0.328,0.052,0.210,-0.623,1.000,-0.392,0.230,-0.206,0.149,-0.269,0.656,0.199,0.369,0.259,0.010
Matthew Kennedy,-0.104,0.250,0.295,0.394,0.104,0.345,0.104,0.073,0.164,0.095,0.092,-0.392,1.000,0.139,-0.005,0.252,0.291,-0.123,-0.298,-0.160,-0.226,0.329
Sam Davidson,-0.388,-0.137,0.219,0.384,0.083,-0.126,-0.086,0.337,0.685,-0.227,0.113,0.230,0.139,1.000,0.407,0.264,-0.162,0.415,0.133,0.196,-0.060,0.361
Tom Liberatore,-0.296,0.339,-0.007,0.280,0.238,-0.044,0.251,0.180,-0.159,0.165,0.063,-0.206,-0.005,0.407,1.000,-0.311,0.215,-0.142,-0.348,-0.227,0.047,0.075
Tim English,0.155,-0.131,0.277,0.291,0.035,0.028,0.015,-0.039,0.320,0.005,0.319,0.149,0.252,0.264,-0.311,1.000,0.202,0.193,0.150,0.450,0.059,-0.011
Bailey Dale,-0.121,0.118,-0.164,0.169,0.114,0.229,0.395,-0.010,0.176,0.189,0.380,-0.269,0.291,-0.162,0.215,0.202,1.000,0.337,-0.148,0.434,0.482,-0.153
Jason Johannisen,-0.186,0.151,-0.361,-0.170,-0.249,-0.056,0.111,0.115,0.612,0.105,0.476,0.656,-0.123,0.415,-0.142,0.193,0.337,1.000,0.124,0.560,0.556,-0.156
Lachlan Bramble,0.188,-0.575,-0.326,-0.094,-0.139,0.157,0.077,0.465,0.405,-0.267,-0.126,0.199,-0.298,0.133,-0.348,0.150,-0.148,0.124,1.000,0.643,-0.044,0.080
Luke Cleary,0.028,-0.085,-0.309,-0.162,-0.425,0.040,-0.020,0.183,0.574,-0.138,0.187,0.369,-0.160,0.196,-0.227,0.450,0.434,0.560,0.643,1.000,0.431,-0.273
James O'Donnell,-0.223,0.225,-0.450,-0.281,0.007,0.028,-0.028,-0.191,0.063,0.139,0.181,0.259,-0.226,-0.060,0.047,0.059,0.482,0.556,-0.044,0.431,1.000,-0.236
Rory Lobb,-0.378,-0.098,0.241,0.422,0.227,0.392,-0.332,0.327,0.215,0.051,-0.591,0.010,0.329,0.361,0.075,-0.011,-0.153,-0.156,0.080,-0.273,-0.236,1.000
